; Candidate 2925
; ADRP+ADD at VM 0xfffffff0086f6584 (fileoff 0x16f2584): page=0x1fea3b000 add_imm=0xd90

0xfffffff0086f6504: 00a00791  add	x0, x0, #0x1e8
0xfffffff0086f6508: fb7ff197  bl	#0xfffffff0083564f4
0xfffffff0086f650c: 603e1af9  str	x0, [x19, #0x3478]
0xfffffff0086f6510: c00400b4  cbz	x0, #0xfffffff0086f65a8
0xfffffff0086f6514: 6098ffb0  adrp	x0, #0xfffffff007a03000
0xfffffff0086f6518: 00a00891  add	x0, x0, #0x228
0xfffffff0086f651c: f67ff197  bl	#0xfffffff0083564f4
0xfffffff0086f6520: 60421af9  str	x0, [x19, #0x3480]
0xfffffff0086f6524: a00500b4  cbz	x0, #0xfffffff0086f65d8
0xfffffff0086f6528: 8098ff90  adrp	x0, #0xfffffff007a06000
0xfffffff0086f652c: 00e01591  add	x0, x0, #0x578
0xfffffff0086f6530: 01148252  mov	w1, #0x10a0
0xfffffff0086f6534: 2782f197  bl	#0xfffffff008356dd0
0xfffffff0086f6538: 60aa0df9  str	x0, [x19, #0x1b50]
0xfffffff0086f653c: 600600b4  cbz	x0, #0xfffffff0086f6608
0xfffffff0086f6540: 00008052  mov	w0, #0
0xfffffff0086f6544: 3d000014  b	#0xfffffff0086f6638
0xfffffff0086f6548: c852fff0  adrp	x8, #0xfffffff007151000
0xfffffff0086f654c: 08453d91  add	x8, x8, #0xf51
0xfffffff0086f6550: e80300f9  str	x8, [sp]
0xfffffff0086f6554: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6558: 00403691  add	x0, x0, #0xd90
0xfffffff0086f655c: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f6560: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f6564: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f6568: 63b01091  add	x3, x3, #0x42c
0xfffffff0086f656c: 02008052  mov	w2, #0
0xfffffff0086f6570: f0f2f097  bl	#0xfffffff008333130
0xfffffff0086f6574: 30000014  b	#0xfffffff0086f6634
0xfffffff0086f6578: c852fff0  adrp	x8, #0xfffffff007151000
0xfffffff0086f657c: 08453d91  add	x8, x8, #0xf51
0xfffffff0086f6580: e80300f9  str	x8, [sp]
0xfffffff0086f6584: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6588: 00403691  add	x0, x0, #0xd90
0xfffffff0086f658c: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f6590: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f6594: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f6598: 63901191  add	x3, x3, #0x464
0xfffffff0086f659c: 02008052  mov	w2, #0
0xfffffff0086f65a0: e4f2f097  bl	#0xfffffff008333130
0xfffffff0086f65a4: 24000014  b	#0xfffffff0086f6634
0xfffffff0086f65a8: c852fff0  adrp	x8, #0xfffffff007151000
0xfffffff0086f65ac: 08453d91  add	x8, x8, #0xf51
0xfffffff0086f65b0: e80300f9  str	x8, [sp]
0xfffffff0086f65b4: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f65b8: 00403691  add	x0, x0, #0xd90
0xfffffff0086f65bc: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f65c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f65c4: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f65c8: 63681291  add	x3, x3, #0x49a
0xfffffff0086f65cc: 02008052  mov	w2, #0
0xfffffff0086f65d0: d8f2f097  bl	#0xfffffff008333130
0xfffffff0086f65d4: 18000014  b	#0xfffffff0086f6634
0xfffffff0086f65d8: c852fff0  adrp	x8, #0xfffffff007151000
0xfffffff0086f65dc: 08453d91  add	x8, x8, #0xf51
0xfffffff0086f65e0: e80300f9  str	x8, [sp]
0xfffffff0086f65e4: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f65e8: 00403691  add	x0, x0, #0xd90
0xfffffff0086f65ec: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f65f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f65f4: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f65f8: 63301391  add	x3, x3, #0x4cc
0xfffffff0086f65fc: 02008052  mov	w2, #0
0xfffffff0086f6600: ccf2f097  bl	#0xfffffff008333130
