; Candidate 6132
; ADRP+ADD at VM 0xfffffff008816700 (fileoff 0x1812700): page=0x1fe9d3000 add_imm=0xe80

0xfffffff008816680: 49e58052  mov	w9, #0x72a
0xfffffff008816684: e8df02a9  stp	x8, x23, [sp, #0x28]
0xfffffff008816688: 4850ff90  adrp	x8, #0xfffffff00721e000
0xfffffff00881668c: 089d2491  add	x8, x8, #0x927
0xfffffff008816690: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008816694: 880e8052  mov	w8, #0x74
0xfffffff008816698: 8351ffd0  adrp	x3, #0xfffffff007248000
0xfffffff00881669c: 63781f91  add	x3, x3, #0x7de
0xfffffff0088166a0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088166a4: f60300f9  str	x22, [sp]
0xfffffff0088166a8: 804efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088166ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0088166b0: 818fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088166b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088166b8: 02008052  mov	w2, #0
0xfffffff0088166bc: 9d72ec97  bl	#0xfffffff008333130
0xfffffff0088166c0: 1a7d8012  mov	w26, #-0x3e9
0xfffffff0088166c4: 47000014  b	#0xfffffff0088167e0
0xfffffff0088166c8: b9760294  bl	#0xfffffff0088b41ac
0xfffffff0088166cc: fa0300aa  mov	x26, x0
0xfffffff0088166d0: 80008052  mov	w0, #4
0xfffffff0088166d4: 5f940194  bl	#0xfffffff00887b850
0xfffffff0088166d8: c84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088166dc: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088166e0: c9e98052  mov	w9, #0x74e
0xfffffff0088166e4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088166e8: 4850ff90  adrp	x8, #0xfffffff00721e000
0xfffffff0088166ec: 089d2491  add	x8, x8, #0x927
0xfffffff0088166f0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088166f4: 880e8052  mov	w8, #0x74
0xfffffff0088166f8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088166fc: fa0300f9  str	x26, [sp]
0xfffffff008816700: 804efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008816704: 00003a91  add	x0, x0, #0xe80
0xfffffff008816708: 818fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881670c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008816710: 8351ffd0  adrp	x3, #0xfffffff007248000
0xfffffff008816714: 637c2091  add	x3, x3, #0x81f
0xfffffff008816718: 02008052  mov	w2, #0
0xfffffff00881671c: 8572ec97  bl	#0xfffffff008333130
0xfffffff008816720: f80317aa  mov	x24, x23
0xfffffff008816724: f74f40f9  ldr	x23, [sp, #0x98]
0xfffffff008816728: e06f48a9  ldp	x0, x27, [sp, #0x80]
0xfffffff00881672c: 9aca0094  bl	#0xfffffff008849194
0xfffffff008816730: e0031baa  mov	x0, x27
0xfffffff008816734: 98ca0094  bl	#0xfffffff008849194
0xfffffff008816738: e04b40f9  ldr	x0, [sp, #0x90]
0xfffffff00881673c: 96ca0094  bl	#0xfffffff008849194
0xfffffff008816740: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff008816744: ce2cff97  bl	#0xfffffff0087e1a7c
0xfffffff008816748: 7f2200f9  str	xzr, [x19, #0x40]
0xfffffff00881674c: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff008816750: 36d50094  bl	#0xfffffff00884bc28
0xfffffff008816754: 7f2a00f9  str	xzr, [x19, #0x50]
0xfffffff008816758: da0640f9  ldr	x26, [x22, #8]
0xfffffff00881675c: 1a0100b4  cbz	x26, #0xfffffff00881677c
0xfffffff008816760: e0031aaa  mov	x0, x26
0xfffffff008816764: bc47ff97  bl	#0xfffffff0087e8654
0xfffffff008816768: a08ffff0  adrp	x0, #0xfffffff007a0d000
0xfffffff00881676c: 00601091  add	x0, x0, #0x418
0xfffffff008816770: e1031aaa  mov	x1, x26
0xfffffff008816774: e6ffec97  bl	#0xfffffff00835670c
0xfffffff008816778: df0600f9  str	xzr, [x22, #8]
0xfffffff00881677c: da0240f9  ldr	x26, [x22]
