; Candidate 15299
; ADRP+ADD at VM 0xfffffff009b4b74c (fileoff 0x2b4774c): page=0x1fdadd000 add_imm=0xed0

0xfffffff009b4b6cc: 40000054  b.eq	#0xfffffff009b4b6d4
0xfffffff009b4b6d0: 408e38d4  brk	#0xc472
0xfffffff009b4b6d4: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b4b6d8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4b6dc: e00313aa  mov	x0, x19
0xfffffff009b4b6e0: 010080d2  mov	x1, #0
0xfffffff009b4b6e4: f10308aa  mov	x17, x8
0xfffffff009b4b6e8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4b6ec: 31093fd7  blraa	x9, x17
0xfffffff009b4b6f0: f80300aa  mov	x24, x0
0xfffffff009b4b6f4: 700240f9  ldr	x16, [x19]
0xfffffff009b4b6f8: f10313aa  mov	x17, x19
0xfffffff009b4b6fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4b700: 301ac1da  autda	x16, x17
0xfffffff009b4b704: f10310aa  mov	x17, x16
0xfffffff009b4b708: f147c1da  xpacd	x17
0xfffffff009b4b70c: 1f0211eb  cmp	x16, x17
0xfffffff009b4b710: 40000054  b.eq	#0xfffffff009b4b718
0xfffffff009b4b714: 408e38d4  brk	#0xc472
0xfffffff009b4b718: 08620891  add	x8, x16, #0x218
0xfffffff009b4b71c: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4b720: e00313aa  mov	x0, x19
0xfffffff009b4b724: 010080d2  mov	x1, #0
0xfffffff009b4b728: f10308aa  mov	x17, x8
0xfffffff009b4b72c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4b730: 31093fd7  blraa	x9, x17
0xfffffff009b4b734: e8d6fef0  adrp	x8, #0xfffffff00762a000
0xfffffff009b4b738: 08990591  add	x8, x8, #0x166
0xfffffff009b4b73c: e9d6fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b4b740: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4b744: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4b748: f80300a9  stp	x24, x0, [sp]
0xfffffff009b4b74c: e0d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b4b750: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4b754: 03d7fe90  adrp	x3, #0xfffffff00762b000
0xfffffff009b4b758: 633c3d91  add	x3, x3, #0xf4f
0xfffffff009b4b75c: e10317aa  mov	x1, x23
0xfffffff009b4b760: e20314aa  mov	x2, x20
0xfffffff009b4b764: 739e9f97  bl	#0xfffffff008333130
0xfffffff009b4b768: b00240f9  ldr	x16, [x21]
0xfffffff009b4b76c: f10315aa  mov	x17, x21
0xfffffff009b4b770: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4b774: 301ac1da  autda	x16, x17
0xfffffff009b4b778: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff009b4b77c: e90310aa  mov	x9, x16
0xfffffff009b4b780: e00315aa  mov	x0, x21
0xfffffff009b4b784: f10309aa  mov	x17, x9
0xfffffff009b4b788: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff009b4b78c: 11093fd7  blraa	x8, x17
0xfffffff009b4b790: 40310034  cbz	w0, #0xfffffff009b4bdb8
0xfffffff009b4b794: 16008052  mov	w22, #0
0xfffffff009b4b798: ffff0829  stp	wzr, wzr, [sp, #0x44]
0xfffffff009b4b79c: 18008052  mov	w24, #0
0xfffffff009b4b7a0: bb831af8  stur	x27, [x29, #-0x58]
0xfffffff009b4b7a4: f51f00f9  str	x21, [sp, #0x38]
0xfffffff009b4b7a8: b00240f9  ldr	x16, [x21]
0xfffffff009b4b7ac: f10315aa  mov	x17, x21
0xfffffff009b4b7b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4b7b4: 301ac1da  autda	x16, x17
0xfffffff009b4b7b8: 112380d2  mov	x17, #0x118
0xfffffff009b4b7bc: 1002118b  add	x16, x16, x17
0xfffffff009b4b7c0: 080240f9  ldr	x8, [x16]
0xfffffff009b4b7c4: e90310aa  mov	x9, x16
0xfffffff009b4b7c8: e00315aa  mov	x0, x21
