; Candidate 7047
; ADRP+ADD at VM 0xfffffff0088537ec (fileoff 0x184f7ec): page=0x1fe996000 add_imm=0xe80

0xfffffff00885376c: 01090054  b.ne	#0xfffffff00885388c
0xfffffff008853770: 990a40f9  ldr	x25, [x20, #0x10]
0xfffffff008853774: e00314aa  mov	x0, x20
0xfffffff008853778: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00885377c: 2294fe97  bl	#0xfffffff0087f8804
0xfffffff008853780: f60300aa  mov	x22, x0
0xfffffff008853784: e00314aa  mov	x0, x20
0xfffffff008853788: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00885378c: 2194fe97  bl	#0xfffffff0087f8810
0xfffffff008853790: 1600160b  add	w22, w0, w22
0xfffffff008853794: e00314aa  mov	x0, x20
0xfffffff008853798: 01fcbf12  mov	w1, #0x1fffff
0xfffffff00885379c: 2094fe97  bl	#0xfffffff0087f881c
0xfffffff0088537a0: da02002b  adds	w26, w22, w0
0xfffffff0088537a4: 200b0054  b.eq	#0xfffffff008853908
0xfffffff0088537a8: f67e8012  mov	w22, #-0x3f8
0xfffffff0088537ac: 5c000014  b	#0xfffffff00885391c
0xfffffff0088537b0: 7f820194  bl	#0xfffffff0088b41ac
0xfffffff0088537b4: f60300aa  mov	x22, x0
0xfffffff0088537b8: e0008052  mov	w0, #7
0xfffffff0088537bc: 25a00094  bl	#0xfffffff00887b850
0xfffffff0088537c0: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088537c4: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088537c8: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088537cc: 884eff90  adrp	x8, #0xfffffff007223000
0xfffffff0088537d0: 09b91291  add	x9, x8, #0x4ae
0xfffffff0088537d4: a84eff90  adrp	x8, #0xfffffff007227000
0xfffffff0088537d8: 08811191  add	x8, x8, #0x460
0xfffffff0088537dc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088537e0: 880c8052  mov	w8, #0x64
0xfffffff0088537e4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088537e8: f60300f9  str	x22, [sp]
0xfffffff0088537ec: a04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088537f0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088537f4: a18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088537f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088537fc: 0350ff90  adrp	x3, #0xfffffff007253000
0xfffffff008853800: 63781491  add	x3, x3, #0x51e
0xfffffff008853804: 02008052  mov	w2, #0
0xfffffff008853808: 4a7eeb97  bl	#0xfffffff008333130
0xfffffff00885380c: 94faffb5  cbnz	x20, #0xfffffff00885375c
0xfffffff008853810: 800c8052  mov	w0, #0x64
0xfffffff008853814: 81008052  mov	w1, #4
0xfffffff008853818: ee9f0094  bl	#0xfffffff00887b7d0
0xfffffff00885381c: 20070034  cbz	w0, #0xfffffff008853900
0xfffffff008853820: 800c8052  mov	w0, #0x64
0xfffffff008853824: fd9f0094  bl	#0xfffffff00887b818
0xfffffff008853828: f70300aa  mov	x23, x0
0xfffffff00885382c: 60820194  bl	#0xfffffff0088b41ac
0xfffffff008853830: f60300aa  mov	x22, x0
0xfffffff008853834: 80008052  mov	w0, #4
0xfffffff008853838: 06a00094  bl	#0xfffffff00887b850
0xfffffff00885383c: d7020034  cbz	w23, #0xfffffff008853894
0xfffffff008853840: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008853844: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff008853848: 894efff0  adrp	x9, #0xfffffff007226000
0xfffffff00885384c: 2af10c91  add	x10, x9, #0x33c
0xfffffff008853850: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008853854: 489e8052  mov	w8, #0x4f2
0xfffffff008853858: 894eff90  adrp	x9, #0xfffffff007223000
0xfffffff00885385c: 29b91291  add	x9, x9, #0x4ae
0xfffffff008853860: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008853864: a84eff90  adrp	x8, #0xfffffff007227000
0xfffffff008853868: 08811191  add	x8, x8, #0x460
