; Candidate 4316
; ADRP+ADD at VM 0xfffffff00879ef58 (fileoff 0x179af58): page=0x1fe993000 add_imm=0xd90

0xfffffff00879eed8: 28194eb9  ldr	w8, [x9, #0xe18]
0xfffffff00879eedc: 0a050051  sub	w10, w8, #1
0xfffffff00879eee0: 627264b9  ldr	w2, [x19, #0x2470]
0xfffffff00879eee4: 291d4eb9  ldr	w9, [x9, #0xe1c]
0xfffffff00879eee8: 2a000a2b  adds	w10, w1, w10
0xfffffff00879eeec: 43090054  b.lo	#0xfffffff00879f014
0xfffffff00879eef0: 0c008052  mov	w12, #0
0xfffffff00879eef4: 0b008052  mov	w11, #0
0xfffffff00879eef8: 0d008052  mov	w13, #0
0xfffffff00879eefc: 2e008052  mov	w14, #1
0xfffffff00879ef00: a3010014  b	#0xfffffff00879f58c
0xfffffff00879ef04: a84dff90  adrp	x8, #0xfffffff007152000
0xfffffff00879ef08: 08391291  add	x8, x8, #0x48e
0xfffffff00879ef0c: e80300f9  str	x8, [sp]
0xfffffff00879ef10: 804cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879ef14: 00403691  add	x0, x0, #0xd90
0xfffffff00879ef18: e192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879ef1c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879ef20: 634dff90  adrp	x3, #0xfffffff00714a000
0xfffffff00879ef24: 63f81291  add	x3, x3, #0x4be
0xfffffff00879ef28: 02008052  mov	w2, #0
0xfffffff00879ef2c: 8150ee97  bl	#0xfffffff008333130
0xfffffff00879ef30: a6010014  b	#0xfffffff00879f5c8
0xfffffff00879ef34: 08008052  mov	w8, #0
0xfffffff00879ef38: b4278052  mov	w20, #0x13d
0xfffffff00879ef3c: 95000014  b	#0xfffffff00879f190
0xfffffff00879ef40: e9af41b9  ldr	w9, [sp, #0x1ac]
0xfffffff00879ef44: e80315aa  mov	x8, x21
0xfffffff00879ef48: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00879ef4c: 884dfff0  adrp	x8, #0xfffffff007151000
0xfffffff00879ef50: 08491591  add	x8, x8, #0x552
0xfffffff00879ef54: e80300f9  str	x8, [sp]
0xfffffff00879ef58: 804cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879ef5c: 00403691  add	x0, x0, #0xd90
0xfffffff00879ef60: e192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879ef64: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879ef68: 434dfff0  adrp	x3, #0xfffffff007149000
0xfffffff00879ef6c: 63ac3b91  add	x3, x3, #0xeeb
0xfffffff00879ef70: 02008052  mov	w2, #0
0xfffffff00879ef74: 6f50ee97  bl	#0xfffffff008333130
0xfffffff00879ef78: 08008052  mov	w8, #0
0xfffffff00879ef7c: 83000014  b	#0xfffffff00879f188
0xfffffff00879ef80: 804cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879ef84: 00403691  add	x0, x0, #0xd90
0xfffffff00879ef88: e192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879ef8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879ef90: 634dff90  adrp	x3, #0xfffffff00714a000
0xfffffff00879ef94: 638c1391  add	x3, x3, #0x4e3
0xfffffff00879ef98: 02008052  mov	w2, #0
0xfffffff00879ef9c: 6550ee97  bl	#0xfffffff008333130
0xfffffff00879efa0: 8a010014  b	#0xfffffff00879f5c8
0xfffffff00879efa4: 884dfff0  adrp	x8, #0xfffffff007151000
0xfffffff00879efa8: 08491591  add	x8, x8, #0x552
0xfffffff00879efac: e80300f9  str	x8, [sp]
0xfffffff00879efb0: 804cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879efb4: 00403691  add	x0, x0, #0xd90
0xfffffff00879efb8: e192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879efbc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879efc0: 434dfff0  adrp	x3, #0xfffffff007149000
0xfffffff00879efc4: 63ec3c91  add	x3, x3, #0xf3b
0xfffffff00879efc8: 02008052  mov	w2, #0
0xfffffff00879efcc: 5950ee97  bl	#0xfffffff008333130
0xfffffff00879efd0: 08008052  mov	w8, #0
0xfffffff00879efd4: 6d000014  b	#0xfffffff00879f188
