; Candidate 226
; ADRP+ADD at VM 0xfffffff007e34188 (fileoff 0xe30188): page=0x23c3000 add_imm=0xe2c

0xfffffff007e34108: 693a8052  mov	w9, #0x1d3
0xfffffff007e3410c: e82700a9  stp	x8, x9, [sp]
0xfffffff007e34110: 8093ffb0  adrp	x0, #0xfffffff0070a5000
0xfffffff007e34114: 00102591  add	x0, x0, #0x944
0xfffffff007e34118: fd801994  bl	#0xfffffff00849450c
0xfffffff007e3411c: e01c01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e34120: 00803491  add	x0, x0, #0xd20
0xfffffff007e34124: e10313aa  mov	x1, x19
0xfffffff007e34128: 42008052  mov	w2, #2
0xfffffff007e3412c: 73defd97  bl	#0xfffffff007dabaf8
0xfffffff007e34130: aefcff17  b	#0xfffffff007e333e8
0xfffffff007e34134: e01c01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e34138: 00803491  add	x0, x0, #0xd20
0xfffffff007e3413c: e10313aa  mov	x1, x19
0xfffffff007e34140: 89e1fd97  bl	#0xfffffff007dac764
0xfffffff007e34144: dcffff17  b	#0xfffffff007e340b4
0xfffffff007e34148: 31b01994  bl	#0xfffffff0084a020c
