; Candidate 6533
; ADRP+ADD at VM 0xfffffff008832318 (fileoff 0x182e318): page=0x1fe9b7000 add_imm=0xe80

0xfffffff008832298: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff00883229c: 482f8052  mov	w8, #0x17a
0xfffffff0088322a0: 894fff90  adrp	x9, #0xfffffff007222000
0xfffffff0088322a4: 298d3691  add	x9, x9, #0xda3
0xfffffff0088322a8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088322ac: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff0088322b0: 08813991  add	x8, x8, #0xe60
0xfffffff0088322b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088322b8: 080b8052  mov	w8, #0x58
0xfffffff0088322bc: 604ffff0  adrp	x0, #0xfffffff007221000
0xfffffff0088322c0: 00e01f91  add	x0, x0, #0x7f8
0xfffffff0088322c4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088322c8: 6614d697  bl	#0xfffffff007db7460
0xfffffff0088322cc: 5f000014  b	#0xfffffff008832448
0xfffffff0088322d0: b7070294  bl	#0xfffffff0088b41ac
0xfffffff0088322d4: f50300aa  mov	x21, x0
0xfffffff0088322d8: c0008052  mov	w0, #6
0xfffffff0088322dc: 5d250194  bl	#0xfffffff00887b850
0xfffffff0088322e0: f60300aa  mov	x22, x0
0xfffffff0088322e4: 600640f9  ldr	x0, [x19, #8]
0xfffffff0088322e8: 9ce4ff97  bl	#0xfffffff00882b558
0xfffffff0088322ec: 68264529  ldp	w8, w9, [x19, #0x28]
0xfffffff0088322f0: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0088322f4: e90314aa  mov	x9, x20
0xfffffff0088322f8: e0a702a9  stp	x0, x9, [sp, #0x28]
0xfffffff0088322fc: aa2f8052  mov	w10, #0x17d
0xfffffff008832300: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832304: 088d3691  add	x8, x8, #0xda3
0xfffffff008832308: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00883230c: 080b8052  mov	w8, #0x58
0xfffffff008832310: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff008832314: f50300f9  str	x21, [sp]
0xfffffff008832318: a04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883231c: 00003a91  add	x0, x0, #0xe80
0xfffffff008832320: a18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008832324: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008832328: c350fff0  adrp	x3, #0xfffffff00724d000
0xfffffff00883232c: 63541a91  add	x3, x3, #0x695
0xfffffff008832330: 02008052  mov	w2, #0
0xfffffff008832334: 7f03ec97  bl	#0xfffffff008333130
0xfffffff008832338: 680240a9  ldp	x8, x0, [x19]
0xfffffff00883233c: 15454039  ldrb	w21, [x8, #0x11]
0xfffffff008832340: 86e4ff97  bl	#0xfffffff00882b558
0xfffffff008832344: bf020071  cmp	w21, #0
0xfffffff008832348: 0818457a  ccmp	w0, #5, #8, ne
0xfffffff00883234c: 6a000054  b.ge	#0xfffffff008832358
0xfffffff008832350: 15008052  mov	w21, #0
0xfffffff008832354: 8b000014  b	#0xfffffff008832580
0xfffffff008832358: 9f2a0071  cmp	w20, #0xa
0xfffffff00883235c: 4b030054  b.lt	#0xfffffff0088323c4
0xfffffff008832360: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff008832364: 280d0035  cbnz	w8, #0xfffffff008832508
0xfffffff008832368: 000b8052  mov	w0, #0x58
0xfffffff00883236c: c1008052  mov	w1, #6
0xfffffff008832370: 18250194  bl	#0xfffffff00887b7d0
0xfffffff008832374: 200c0034  cbz	w0, #0xfffffff0088324f8
0xfffffff008832378: 000b8052  mov	w0, #0x58
0xfffffff00883237c: 27250194  bl	#0xfffffff00887b818
0xfffffff008832380: f60300aa  mov	x22, x0
0xfffffff008832384: 8a070294  bl	#0xfffffff0088b41ac
0xfffffff008832388: f50300aa  mov	x21, x0
0xfffffff00883238c: c0008052  mov	w0, #6
0xfffffff008832390: 30250194  bl	#0xfffffff00887b850
0xfffffff008832394: d6080034  cbz	w22, #0xfffffff0088324ac
