; Candidate 10732
; ADRP+ADD at VM 0xfffffff008de4888 (fileoff 0x1de0888): page=0x1fe5e0000 add_imm=0xe15

0xfffffff008de4808: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de480c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de4810: eb0300f9  str	x11, [sp]
0xfffffff008de4814: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4818: 00543891  add	x0, x0, #0xe15
0xfffffff008de481c: 01cad597  bl	#0xfffffff008357020
0xfffffff008de4820: 1e000014  b	#0xfffffff008de4898
0xfffffff008de4824: 88d98052  mov	w8, #0x6cc
0xfffffff008de4828: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de482c: 29490d91  add	x9, x9, #0x352
0xfffffff008de4830: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de4834: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4838: 08493991  add	x8, x8, #0xe52
0xfffffff008de483c: ea2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de4840: 4a3d0a91  add	x10, x10, #0x28f
0xfffffff008de4844: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de4848: ea0300f9  str	x10, [sp]
0xfffffff008de484c: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4850: 00543891  add	x0, x0, #0xe15
0xfffffff008de4854: f3c9d597  bl	#0xfffffff008357020
0xfffffff008de4858: 94008012  mov	w20, #-5
0xfffffff008de485c: 0f000014  b	#0xfffffff008de4898
0xfffffff008de4860: a8d98052  mov	w8, #0x6cd
0xfffffff008de4864: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4868: 29490d91  add	x9, x9, #0x352
0xfffffff008de486c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de4870: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4874: 08493991  add	x8, x8, #0xe52
0xfffffff008de4878: ea2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de487c: 4a951191  add	x10, x10, #0x465
0xfffffff008de4880: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de4884: ea0300f9  str	x10, [sp]
0xfffffff008de4888: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de488c: 00543891  add	x0, x0, #0xe15
0xfffffff008de4890: e4c9d597  bl	#0xfffffff008357020
0xfffffff008de4894: d4018012  mov	w20, #-0xf
0xfffffff008de4898: c8088052  mov	w8, #0x46
0xfffffff008de489c: a9ffff17  b	#0xfffffff008de4740
0xfffffff008de48a0: 6be5bd97  bl	#0xfffffff007d5de4c
0xfffffff008de48a4: 7f2303d5  pacibsp	
0xfffffff008de48a8: ff4303d1  sub	sp, sp, #0xd0
0xfffffff008de48ac: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff008de48b0: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff008de48b4: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff008de48b8: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff008de48bc: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff008de48c0: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008de48c4: fd030391  add	x29, sp, #0xc0
0xfffffff008de48c8: f80307aa  mov	x24, x7
0xfffffff008de48cc: e62700f9  str	x6, [sp, #0x48]
0xfffffff008de48d0: fa0305aa  mov	x26, x5
0xfffffff008de48d4: fb0304aa  mov	x27, x4
0xfffffff008de48d8: fc0303aa  mov	x28, x3
0xfffffff008de48dc: f60302aa  mov	x22, x2
0xfffffff008de48e0: f50301aa  mov	x21, x1
0xfffffff008de48e4: f40300aa  mov	x20, x0
0xfffffff008de48e8: d3a800f0  adrp	x19, #0xfffffff00a2ff000
0xfffffff008de48ec: 73422c91  add	x19, x19, #0xb10
0xfffffff008de48f0: 68024039  ldrb	w8, [x19]
0xfffffff008de48f4: e92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de48f8: 29711291  add	x9, x9, #0x49c
0xfffffff008de48fc: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de4900: 4a9d0c91  add	x10, x10, #0x327
0xfffffff008de4904: 1f290071  cmp	w8, #0xa
