; Candidate 10128
; ADRP+ADD at VM 0xfffffff008caebb8 (fileoff 0x1caabb8): page=0x1fee0b000 add_imm=0xce8

0xfffffff008caeb38: 10823a91  add	x16, x16, #0xea0
0xfffffff008caeb3c: 10420091  add	x16, x16, #0x10
0xfffffff008caeb40: f10300aa  mov	x17, x0
0xfffffff008caeb44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008caeb48: 300ac1da  pacda	x16, x17
0xfffffff008caeb4c: 100000f9  str	x16, [x0]
0xfffffff008caeb50: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008caeb54: ff0f5fd6  retab	
0xfffffff008caeb58: 5f2403d5  bti	c
0xfffffff008caeb5c: b746ff17  b	#0xfffffff008c80638
0xfffffff008caeb60: 5f2403d5  bti	c
0xfffffff008caeb64: b546ff17  b	#0xfffffff008c80638
0xfffffff008caeb68: 7f2303d5  pacibsp	
0xfffffff008caeb6c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008caeb70: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008caeb74: fd430091  add	x29, sp, #0x10
0xfffffff008caeb78: f30300aa  mov	x19, x0
0xfffffff008caeb7c: af46ff97  bl	#0xfffffff008c80638
0xfffffff008caeb80: 4070fff0  adrp	x0, #0xfffffff007ab9000
0xfffffff008caeb84: 00a03391  add	x0, x0, #0xce8
0xfffffff008caeb88: e10313aa  mov	x1, x19
0xfffffff008caeb8c: 02288052  mov	w2, #0x140
0xfffffff008caeb90: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008caeb94: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008caeb98: ff2303d5  autibsp	
0xfffffff008caeb9c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008caeba0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008caeba8
0xfffffff008caeba4: 208e38d4  brk	#0xc471
0xfffffff008caeba8: bde2d817  b	#0xfffffff0082e769c
0xfffffff008caebac: 5f2403d5  bti	c
0xfffffff008caebb0: e20301aa  mov	x2, x1
0xfffffff008caebb4: e10300aa  mov	x1, x0
0xfffffff008caebb8: 4070fff0  adrp	x0, #0xfffffff007ab9000
0xfffffff008caebbc: 00a03391  add	x0, x0, #0xce8
0xfffffff008caebc0: b7e2d817  b	#0xfffffff0082e769c
0xfffffff008caebc4: 5f2403d5  bti	c
0xfffffff008caebc8: c0b10090  adrp	x0, #0xfffffff00a2e6000
0xfffffff008caebcc: 00602691  add	x0, x0, #0x998
0xfffffff008caebd0: c0035fd6  ret	
0xfffffff008caebd4: 7f2303d5  pacibsp	
0xfffffff008caebd8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008caebdc: fd030091  mov	x29, sp
0xfffffff008caebe0: 4135ffb0  adrp	x1, #0xfffffff007357000
0xfffffff008caebe4: 21702191  add	x1, x1, #0x85c
0xfffffff008caebe8: c2b10090  adrp	x2, #0xfffffff00a2e6000
0xfffffff008caebec: 42601791  add	x2, x2, #0x5d8
0xfffffff008caebf0: 03288052  mov	w3, #0x140
0xfffffff008caebf4: d1d3d897  bl	#0xfffffff0082e3b38
0xfffffff008caebf8: 5070ff90  adrp	x16, #0xfffffff007ab6000
0xfffffff008caebfc: 10e21791  add	x16, x16, #0x5f8
0xfffffff008caec00: 10420091  add	x16, x16, #0x10
0xfffffff008caec04: f10300aa  mov	x17, x0
0xfffffff008caec08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008caec0c: 300ac1da  pacda	x16, x17
0xfffffff008caec10: 100000f9  str	x16, [x0]
0xfffffff008caec14: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008caec18: ff0f5fd6  retab	
0xfffffff008caec1c: 7f2303d5  pacibsp	
0xfffffff008caec20: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008caec24: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008caec28: fd430091  add	x29, sp, #0x10
0xfffffff008caec2c: 4070fff0  adrp	x0, #0xfffffff007ab9000
0xfffffff008caec30: 00a03391  add	x0, x0, #0xce8
0xfffffff008caec34: 01288052  mov	w1, #0x140
