; Candidate 8465
; ADRP+ADD at VM 0xfffffff0088ac3e4 (fileoff 0x18a83e4): page=0x1fe93d000 add_imm=0xe80

0xfffffff0088ac364: 00050034  cbz	w0, #0xfffffff0088ac404
0xfffffff0088ac368: c00f8052  mov	w0, #0x7e
0xfffffff0088ac36c: 2b3dff97  bl	#0xfffffff00887b818
0xfffffff0088ac370: f80300aa  mov	x24, x0
0xfffffff0088ac374: 8e1f0094  bl	#0xfffffff0088b41ac
0xfffffff0088ac378: f70300aa  mov	x23, x0
0xfffffff0088ac37c: e0008052  mov	w0, #7
0xfffffff0088ac380: 343dff97  bl	#0xfffffff00887b850
0xfffffff0088ac384: 98010034  cbz	w24, #0xfffffff0088ac3b4
0xfffffff0088ac388: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0088ac38c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088ac390: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088ac394: 08092091  add	x8, x8, #0x802
0xfffffff0088ac398: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ac39c: c80f8052  mov	w8, #0x7e
0xfffffff0088ac3a0: 204cfff0  adrp	x0, #0xfffffff007233000
0xfffffff0088ac3a4: 009c2391  add	x0, x0, #0x8e7
0xfffffff0088ac3a8: f72300a9  stp	x23, x8, [sp]
0xfffffff0088ac3ac: 2d2cd497  bl	#0xfffffff007db7460
0xfffffff0088ac3b0: 15000014  b	#0xfffffff0088ac404
0xfffffff0088ac3b4: 7e1f0094  bl	#0xfffffff0088b41ac
0xfffffff0088ac3b8: f70300aa  mov	x23, x0
0xfffffff0088ac3bc: e0008052  mov	w0, #7
0xfffffff0088ac3c0: 243dff97  bl	#0xfffffff00887b850
0xfffffff0088ac3c4: e80316aa  mov	x8, x22
0xfffffff0088ac3c8: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff0088ac3cc: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088ac3d0: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088ac3d4: 08092091  add	x8, x8, #0x802
0xfffffff0088ac3d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ac3dc: c80f8052  mov	w8, #0x7e
0xfffffff0088ac3e0: f72300a9  stp	x23, x8, [sp]
0xfffffff0088ac3e4: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ac3e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ac3ec: e18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088ac3f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ac3f4: a34dfff0  adrp	x3, #0xfffffff007263000
0xfffffff0088ac3f8: 63182591  add	x3, x3, #0x946
0xfffffff0088ac3fc: 02008052  mov	w2, #0
0xfffffff0088ac400: 4c1bea97  bl	#0xfffffff008333130
0xfffffff0088ac404: e00316aa  mov	x0, x22
0xfffffff0088ac408: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088ac40c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088ac410: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088ac414: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088ac418: ff430291  add	sp, sp, #0x90
0xfffffff0088ac41c: ff0f5fd6  retab	
0xfffffff0088ac420: 631f0094  bl	#0xfffffff0088b41ac
0xfffffff0088ac424: f60300aa  mov	x22, x0
0xfffffff0088ac428: c0008052  mov	w0, #6
0xfffffff0088ac42c: 093dff97  bl	#0xfffffff00887b850
0xfffffff0088ac430: e80315aa  mov	x8, x21
0xfffffff0088ac434: 690240b9  ldr	w9, [x19]
0xfffffff0088ac438: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0088ac43c: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff0088ac440: 8a788052  mov	w10, #0x3c4
0xfffffff0088ac444: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088ac448: 08092091  add	x8, x8, #0x802
0xfffffff0088ac44c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0088ac450: c80f8052  mov	w8, #0x7e
0xfffffff0088ac454: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088ac458: f60300f9  str	x22, [sp]
0xfffffff0088ac45c: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ac460: 00003a91  add	x0, x0, #0xe80
