; Candidate 2369
; ADRP+ADD at VM 0xfffffff00862fd2c (fileoff 0x162bd2c): page=0x1feade000 add_imm=0xea3

0xfffffff00862fcac: 0900bc52  mov	w9, #-0x20000000
0xfffffff00862fcb0: 0901090b  add	w9, w8, w9
0xfffffff00862fcb4: 0a7d1813  asr	w10, w8, #0x18
0xfffffff00862fcb8: 297d1853  lsr	w9, w9, #0x18
0xfffffff00862fcbc: 3f7d0171  cmp	w9, #0x5f
0xfffffff00862fcc0: 09048052  mov	w9, #0x20
0xfffffff00862fcc4: 4a31891a  csel	w10, w10, w9, lo
0xfffffff00862fcc8: 0b5d1853  lsl	w11, w8, #8
0xfffffff00862fccc: 6b1d0812  and	w11, w11, #0xff000000
0xfffffff00862fcd0: 0ce0af52  mov	w12, #0x7f000000
0xfffffff00862fcd4: 7f010c6b  cmp	w11, w12
0xfffffff00862fcd8: 6811557a  ccmp	w11, w21, #8, ne
0xfffffff00862fcdc: 6b7d1813  asr	w11, w11, #0x18
0xfffffff00862fce0: 2bb18b1a  csel	w11, w9, w11, lt
0xfffffff00862fce4: 0d3d1053  lsl	w13, w8, #0x10
0xfffffff00862fce8: ad1d0812  and	w13, w13, #0xff000000
0xfffffff00862fcec: bf010c6b  cmp	w13, w12
0xfffffff00862fcf0: a811557a  ccmp	w13, w21, #8, ne
0xfffffff00862fcf4: ad7d1813  asr	w13, w13, #0x18
0xfffffff00862fcf8: 2db18d1a  csel	w13, w9, w13, lt
0xfffffff00862fcfc: 0e1d0853  lsl	w14, w8, #0x18
0xfffffff00862fd00: df010c6b  cmp	w14, w12
0xfffffff00862fd04: c811557a  ccmp	w14, w21, #8, ne
0xfffffff00862fd08: 081d0013  sxtb	w8, w8
0xfffffff00862fd0c: 28b1881a  csel	w8, w9, w8, lt
0xfffffff00862fd10: f656ffd0  adrp	x22, #0xfffffff00710d000
0xfffffff00862fd14: d6163e91  add	x22, x22, #0xf85
0xfffffff00862fd18: 3757ffb0  adrp	x23, #0xfffffff007114000
0xfffffff00862fd1c: f7c21e91  add	x23, x23, #0x7b0
0xfffffff00862fd20: f75b00a9  stp	x23, x22, [sp]
0xfffffff00862fd24: ed2302a9  stp	x13, x8, [sp, #0x20]
0xfffffff00862fd28: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff00862fd2c: e056ffd0  adrp	x0, #0xfffffff00710d000
0xfffffff00862fd30: 008c3a91  add	x0, x0, #0xea3
0xfffffff00862fd34: fafdff97  bl	#0xfffffff00862f51c
0xfffffff00862fd38: 700240f9  ldr	x16, [x19]
0xfffffff00862fd3c: f10313aa  mov	x17, x19
0xfffffff00862fd40: 7145f0f2  movk	x17, #0x822b, lsl #48
0xfffffff00862fd44: 301ac1da  autda	x16, x17
0xfffffff00862fd48: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff00862fd4c: e90310aa  mov	x9, x16
0xfffffff00862fd50: a2d300d1  sub	x2, x29, #0x34
0xfffffff00862fd54: e00313aa  mov	x0, x19
0xfffffff00862fd58: 810c8052  mov	w1, #0x64
0xfffffff00862fd5c: 23008052  mov	w3, #1
0xfffffff00862fd60: f10309aa  mov	x17, x9
0xfffffff00862fd64: d107f2f2  movk	x17, #0x903e, lsl #48
0xfffffff00862fd68: 11093fd7  blraa	x8, x17
0xfffffff00862fd6c: a0070034  cbz	w0, #0xfffffff00862fe60
0xfffffff00862fd70: f40300aa  mov	x20, x0
0xfffffff00862fd74: 700240f9  ldr	x16, [x19]
0xfffffff00862fd78: f10313aa  mov	x17, x19
0xfffffff00862fd7c: 7145f0f2  movk	x17, #0x822b, lsl #48
0xfffffff00862fd80: 301ac1da  autda	x16, x17
0xfffffff00862fd84: 080240f9  ldr	x8, [x16]
0xfffffff00862fd88: e90310aa  mov	x9, x16
0xfffffff00862fd8c: e00313aa  mov	x0, x19
0xfffffff00862fd90: f10309aa  mov	x17, x9
0xfffffff00862fd94: b1e1e3f2  movk	x17, #0x1f0d, lsl #48
0xfffffff00862fd98: 11093fd7  blraa	x8, x17
0xfffffff00862fd9c: f41300f9  str	x20, [sp, #0x20]
0xfffffff00862fda0: a8228052  mov	w8, #0x115
0xfffffff00862fda4: e956ffd0  adrp	x9, #0xfffffff00710d000
0xfffffff00862fda8: 29113291  add	x9, x9, #0xc84
