; Candidate 5478
; ADRP+ADD at VM 0xfffffff0087f30e8 (fileoff 0x17ef0e8): page=0x1fe9f6000 add_imm=0xe80

0xfffffff0087f3068: b80b0034  cbz	w24, #0xfffffff0087f31dc
0xfffffff0087f306c: c002c03d  ldr	q0, [x22]
0xfffffff0087f3070: c82641a9  ldp	x8, x9, [x22, #0x10]
0xfffffff0087f3074: 6a1a40b9  ldr	w10, [x19, #0x18]
0xfffffff0087f3078: e8a705a9  stp	x8, x9, [sp, #0x58]
0xfffffff0087f307c: e083843c  stur	q0, [sp, #0x48]
0xfffffff0087f3080: f4ab03a9  stp	x20, x10, [sp, #0x38]
0xfffffff0087f3084: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3088: 08951d91  add	x8, x8, #0x765
0xfffffff0087f308c: 49208052  mov	w9, #0x102
0xfffffff0087f3090: e8e702a9  stp	x8, x25, [sp, #0x28]
0xfffffff0087f3094: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3098: 08b11e91  add	x8, x8, #0x7ac
0xfffffff0087f309c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f30a0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f30a4: e80e8052  mov	w8, #0x77
0xfffffff0087f30a8: 0051ffd0  adrp	x0, #0xfffffff007215000
0xfffffff0087f30ac: 00081f91  add	x0, x0, #0x7c2
0xfffffff0087f30b0: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f30b4: eb10d797  bl	#0xfffffff007db7460
0xfffffff0087f30b8: 65000014  b	#0xfffffff0087f324c
0xfffffff0087f30bc: 3c040394  bl	#0xfffffff0088b41ac
0xfffffff0087f30c0: f70300aa  mov	x23, x0
0xfffffff0087f30c4: 00018052  mov	w0, #8
0xfffffff0087f30c8: e2210294  bl	#0xfffffff00887b850
0xfffffff0087f30cc: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0087f30d0: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f30d4: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f30d8: 08b11e91  add	x8, x8, #0x7ac
0xfffffff0087f30dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f30e0: e80e8052  mov	w8, #0x77
0xfffffff0087f30e4: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f30e8: a04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f30ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f30f0: a190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f30f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f30f8: 6352ffb0  adrp	x3, #0xfffffff007240000
0xfffffff0087f30fc: 63a80891  add	x3, x3, #0x22a
0xfffffff0087f3100: 02008052  mov	w2, #0
0xfffffff0087f3104: 0b00ed97  bl	#0xfffffff008333130
0xfffffff0087f3108: 73f7ffb5  cbnz	x19, #0xfffffff0087f2ff4
0xfffffff0087f310c: e00e8052  mov	w0, #0x77
0xfffffff0087f3110: 81008052  mov	w1, #4
0xfffffff0087f3114: af210294  bl	#0xfffffff00887b7d0
0xfffffff0087f3118: e0050034  cbz	w0, #0xfffffff0087f31d4
0xfffffff0087f311c: e00e8052  mov	w0, #0x77
0xfffffff0087f3120: be210294  bl	#0xfffffff00887b818
0xfffffff0087f3124: f80300aa  mov	x24, x0
0xfffffff0087f3128: 21040394  bl	#0xfffffff0088b41ac
0xfffffff0087f312c: f70300aa  mov	x23, x0
0xfffffff0087f3130: 80008052  mov	w0, #4
0xfffffff0087f3134: c7210294  bl	#0xfffffff00887b850
0xfffffff0087f3138: 18020034  cbz	w24, #0xfffffff0087f3178
0xfffffff0087f313c: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087f3140: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff0087f3144: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3148: 08d11a91  add	x8, x8, #0x6b4
0xfffffff0087f314c: 691e8052  mov	w9, #0xf3
0xfffffff0087f3150: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f3154: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3158: 08b11e91  add	x8, x8, #0x7ac
0xfffffff0087f315c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f3160: e80e8052  mov	w8, #0x77
0xfffffff0087f3164: 0051ffd0  adrp	x0, #0xfffffff007215000
