; Candidate 7886
; ADRP+ADD at VM 0xfffffff008885d70 (fileoff 0x1881d70): page=0x1fe964000 add_imm=0xe80

0xfffffff008885cf0: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff008885cf4: 08108052  mov	w8, #0x80
0xfffffff008885cf8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008885cfc: 484dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008885d00: 08d11a91  add	x8, x8, #0x6b4
0xfffffff008885d04: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008885d08: 480d8052  mov	w8, #0x6a
0xfffffff008885d0c: 404dff90  adrp	x0, #0xfffffff00722d000
0xfffffff008885d10: 001c1991  add	x0, x0, #0x647
0xfffffff008885d14: f92300a9  stp	x25, x8, [sp]
0xfffffff008885d18: d2c5d497  bl	#0xfffffff007db7460
0xfffffff008885d1c: 5c0b0034  cbz	w28, #0xfffffff008885e84
0xfffffff008885d20: e00313aa  mov	x0, x19
0xfffffff008885d24: fc000094  bl	#0xfffffff008886114
0xfffffff008885d28: f90300aa  mov	x25, x0
0xfffffff008885d2c: 84000014  b	#0xfffffff008885f3c
0xfffffff008885d30: 1fb90094  bl	#0xfffffff0088b41ac
0xfffffff008885d34: f90300aa  mov	x25, x0
0xfffffff008885d38: e0008052  mov	w0, #7
0xfffffff008885d3c: c5d6ff97  bl	#0xfffffff00887b850
0xfffffff008885d40: e80318aa  mov	x8, x24
0xfffffff008885d44: e90317aa  mov	x9, x23
0xfffffff008885d48: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008885d4c: e80316aa  mov	x8, x22
0xfffffff008885d50: e90315aa  mov	x9, x21
0xfffffff008885d54: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff008885d58: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008885d5c: 484dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008885d60: 08d11a91  add	x8, x8, #0x6b4
0xfffffff008885d64: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008885d68: 480d8052  mov	w8, #0x6a
0xfffffff008885d6c: f92300a9  stp	x25, x8, [sp]
0xfffffff008885d70: 204bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008885d74: 00003a91  add	x0, x0, #0xe80
0xfffffff008885d78: 018cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008885d7c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008885d80: a34efff0  adrp	x3, #0xfffffff00725c000
0xfffffff008885d84: 63b41791  add	x3, x3, #0x5ed
0xfffffff008885d88: 02008052  mov	w2, #0
0xfffffff008885d8c: e9b4ea97  bl	#0xfffffff008333130
0xfffffff008885d90: 53f8ffb5  cbnz	x19, #0xfffffff008885c98
0xfffffff008885d94: 400d8052  mov	w0, #0x6a
0xfffffff008885d98: 81008052  mov	w1, #4
0xfffffff008885d9c: 8dd6ff97  bl	#0xfffffff00887b7d0
0xfffffff008885da0: c00c0034  cbz	w0, #0xfffffff008885f38
0xfffffff008885da4: 400d8052  mov	w0, #0x6a
0xfffffff008885da8: 9cd6ff97  bl	#0xfffffff00887b818
0xfffffff008885dac: fa0300aa  mov	x26, x0
0xfffffff008885db0: ffb80094  bl	#0xfffffff0088b41ac
0xfffffff008885db4: f90300aa  mov	x25, x0
0xfffffff008885db8: 80008052  mov	w0, #4
0xfffffff008885dbc: a5d6ff97  bl	#0xfffffff00887b850
0xfffffff008885dc0: 5a080034  cbz	w26, #0xfffffff008885ec8
0xfffffff008885dc4: e80318aa  mov	x8, x24
0xfffffff008885dc8: e90317aa  mov	x9, x23
0xfffffff008885dcc: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff008885dd0: e80316aa  mov	x8, x22
0xfffffff008885dd4: e90315aa  mov	x9, x21
0xfffffff008885dd8: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008885ddc: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff008885de0: 484dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008885de4: 08491c91  add	x8, x8, #0x712
0xfffffff008885de8: a90f8052  mov	w9, #0x7d
0xfffffff008885dec: e92302a9  stp	x9, x8, [sp, #0x20]
