; Candidate 15318
; ADRP+ADD at VM 0xfffffff009b4e964 (fileoff 0x2b4a964): page=0x1fdada000 add_imm=0xed0

0xfffffff009b4e8e4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4e8e8: 31093fd7  blraa	x9, x17
0xfffffff009b4e8ec: fb0300aa  mov	x27, x0
0xfffffff009b4e8f0: 700240f9  ldr	x16, [x19]
0xfffffff009b4e8f4: f10313aa  mov	x17, x19
0xfffffff009b4e8f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4e8fc: 301ac1da  autda	x16, x17
0xfffffff009b4e900: f10310aa  mov	x17, x16
0xfffffff009b4e904: f147c1da  xpacd	x17
0xfffffff009b4e908: 1f0211eb  cmp	x16, x17
0xfffffff009b4e90c: 40000054  b.eq	#0xfffffff009b4e914
0xfffffff009b4e910: 408e38d4  brk	#0xc472
0xfffffff009b4e914: 08620891  add	x8, x16, #0x218
0xfffffff009b4e918: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4e91c: e00313aa  mov	x0, x19
0xfffffff009b4e920: 010080d2  mov	x1, #0
0xfffffff009b4e924: f10308aa  mov	x17, x8
0xfffffff009b4e928: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4e92c: 31093fd7  blraa	x9, x17
0xfffffff009b4e930: 081b40b9  ldr	w8, [x24, #0x18]
0xfffffff009b4e934: 09751e53  lsl	w9, w8, #2
0xfffffff009b4e938: 29010411  add	w9, w9, #0x100
0xfffffff009b4e93c: 6a8e41f9  ldr	x10, [x19, #0x318]
0xfffffff009b4e940: 494969b8  ldr	w9, [x10, w9, uxtw]
0xfffffff009b4e944: e95b03a9  stp	x9, x22, [sp, #0x30]
0xfffffff009b4e948: e82302a9  stp	x8, x8, [sp, #0x20]
0xfffffff009b4e94c: e8d6fe90  adrp	x8, #0xfffffff00762a000
0xfffffff009b4e950: 08551491  add	x8, x8, #0x515
0xfffffff009b4e954: c9d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b4e958: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4e95c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4e960: fb0300a9  stp	x27, x0, [sp]
0xfffffff009b4e964: c0d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b4e968: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4e96c: e3d6fed0  adrp	x3, #0xfffffff00762c000
0xfffffff009b4e970: 63300a91  add	x3, x3, #0x28c
0xfffffff009b4e974: e1031aaa  mov	x1, x26
0xfffffff009b4e978: e20319aa  mov	x2, x25
0xfffffff009b4e97c: ed919f97  bl	#0xfffffff008333130
0xfffffff009b4e980: 091b40b9  ldr	w9, [x24, #0x18]
0xfffffff009b4e984: 88018052  mov	w8, #0xc
0xfffffff009b4e988: 284d089b  madd	x8, x9, x8, x19
0xfffffff009b4e98c: 17910e39  strb	w23, [x8, #0x3a4]
0xfffffff009b4e990: ea6a1b53  lsl	w10, w23, #5
0xfffffff009b4e994: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b4e998: 4a01088b  add	x10, x10, x8
0xfffffff009b4e99c: 8b360e53  lsl	w11, w20, #0x12
0xfffffff009b4e9a0: 6959092a  orr	w9, w11, w9, lsl #22
0xfffffff009b4e9a4: 2901152a  orr	w9, w9, w21
0xfffffff009b4e9a8: 0b009052  mov	w11, #0x8000
0xfffffff009b4e9ac: 0b00a372  movk	w11, #0x1800, lsl #16
0xfffffff009b4e9b0: 29010b2a  orr	w9, w9, w11
0xfffffff009b4e9b4: 490109b9  str	w9, [x10, #0x900]
0xfffffff009b4e9b8: 9a010014  b	#0xfffffff009b4f020
0xfffffff009b4e9bc: 291d0011  add	w9, w9, #7
0xfffffff009b4e9c0: 098f01b8  str	w9, [x24, #0x18]!
0xfffffff009b4e9c4: 3f1d0071  cmp	w9, #7
0xfffffff009b4e9c8: 831c0054  b.lo	#0xfffffff009b4ed58
0xfffffff009b4e9cc: bf061071  cmp	w21, #0x401
0xfffffff009b4e9d0: eb000054  b.lt	#0xfffffff009b4e9ec
0xfffffff009b4e9d4: e00313aa  mov	x0, x19
0xfffffff009b4e9d8: e10317aa  mov	x1, x23
0xfffffff009b4e9dc: e20315aa  mov	x2, x21
0xfffffff009b4e9e0: e30318aa  mov	x3, x24
