; Candidate 9619
; ADRP+ADD at VM 0xfffffff008a82e14 (fileoff 0x1a7ee14): page=0x1fe830000 add_imm=0xcfa

0xfffffff008a82d94: f60300f9  str	x22, [sp]
0xfffffff008a82d98: a250e397  bl	#0xfffffff008357020
0xfffffff008a82d9c: 087fffb0  adrp	x8, #0xfffffff007a63000
0xfffffff008a82da0: 088941f9  ldr	x8, [x8, #0x310]
0xfffffff008a82da4: 603a48f9  ldr	x0, [x19, #0x1070]
0xfffffff008a82da8: 010140f9  ldr	x1, [x8]
0xfffffff008a82dac: 100040f9  ldr	x16, [x0]
0xfffffff008a82db0: f10300aa  mov	x17, x0
0xfffffff008a82db4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a82db8: 301ac1da  autda	x16, x17
0xfffffff008a82dbc: 118780d2  mov	x17, #0x438
0xfffffff008a82dc0: 1002118b  add	x16, x16, x17
0xfffffff008a82dc4: 080240f9  ldr	x8, [x16]
0xfffffff008a82dc8: e90310aa  mov	x9, x16
0xfffffff008a82dcc: 100000b0  adrp	x16, #0xfffffff008a83000
0xfffffff008a82dd0: 10521191  add	x16, x16, #0x454
0xfffffff008a82dd4: 519a80d2  mov	x17, #0x4d2
0xfffffff008a82dd8: 3002c1da  pacia	x16, x17
0xfffffff008a82ddc: e20310aa  mov	x2, x16
0xfffffff008a82de0: e30313aa  mov	x3, x19
0xfffffff008a82de4: 040080d2  mov	x4, #0
0xfffffff008a82de8: f10309aa  mov	x17, x9
0xfffffff008a82dec: f101f0f2  movk	x17, #0x800f, lsl #48
0xfffffff008a82df0: 11093fd7  blraa	x8, x17
0xfffffff008a82df4: 605208f9  str	x0, [x19, #0x10a0]
0xfffffff008a82df8: 20008052  mov	w0, #1
0xfffffff008a82dfc: 010080d2  mov	x1, #0
0xfffffff008a82e00: 020080d2  mov	x2, #0
0xfffffff008a82e04: 9577e297  bl	#0xfffffff008320c58
0xfffffff008a82e08: 605e08f9  str	x0, [x19, #0x10b8]
0xfffffff008a82e0c: 68074039  ldrb	w8, [x27, #1]
0xfffffff008a82e10: 680c0034  cbz	w8, #0xfffffff008a82f9c
0xfffffff008a82e14: 8041ff90  adrp	x0, #0xfffffff0072b2000
0xfffffff008a82e18: 00e83391  add	x0, x0, #0xcfa
0xfffffff008a82e1c: 010080d2  mov	x1, #0
0xfffffff008a82e20: 9c1ce497  bl	#0xfffffff00838a090
0xfffffff008a82e24: f50300aa  mov	x21, x0
0xfffffff008a82e28: 087fffb0  adrp	x8, #0xfffffff007a63000
0xfffffff008a82e2c: 088d41f9  ldr	x8, [x8, #0x318]
0xfffffff008a82e30: 000140f9  ldr	x0, [x8]
0xfffffff008a82e34: 100000b0  adrp	x16, #0xfffffff008a83000
0xfffffff008a82e38: 10121691  add	x16, x16, #0x584
0xfffffff008a82e3c: d13b8cd2  mov	x17, #0x61de
0xfffffff008a82e40: 3002c1da  pacia	x16, x17
0xfffffff008a82e44: e20310aa  mov	x2, x16
0xfffffff008a82e48: e10315aa  mov	x1, x21
0xfffffff008a82e4c: e30313aa  mov	x3, x19
0xfffffff008a82e50: 040080d2  mov	x4, #0
0xfffffff008a82e54: 05008052  mov	w5, #0
0xfffffff008a82e58: 3f1be497  bl	#0xfffffff008389b54
0xfffffff008a82e5c: 605a08f9  str	x0, [x19, #0x10b0]
0xfffffff008a82e60: 087fffb0  adrp	x8, #0xfffffff007a63000
0xfffffff008a82e64: 088541f9  ldr	x8, [x8, #0x308]
0xfffffff008a82e68: 000140f9  ldr	x0, [x8]
0xfffffff008a82e6c: 100000b0  adrp	x16, #0xfffffff008a83000
0xfffffff008a82e70: 10a21791  add	x16, x16, #0x5e8
0xfffffff008a82e74: d13b8cd2  mov	x17, #0x61de
0xfffffff008a82e78: 3002c1da  pacia	x16, x17
0xfffffff008a82e7c: e20310aa  mov	x2, x16
0xfffffff008a82e80: e10315aa  mov	x1, x21
0xfffffff008a82e84: e30313aa  mov	x3, x19
0xfffffff008a82e88: 040080d2  mov	x4, #0
0xfffffff008a82e8c: 05008052  mov	w5, #0
0xfffffff008a82e90: 311be497  bl	#0xfffffff008389b54
