; Candidate 7214
; ADRP+ADD at VM 0xfffffff00885fd44 (fileoff 0x185bd44): page=0x1fe98a000 add_imm=0xe80

0xfffffff00885fcc4: 68781f12  and	w8, w3, #0xfffffffe
0xfffffff00885fcc8: 5f000871  cmp	w2, #0x200
0xfffffff00885fccc: 09408052  mov	w9, #0x200
0xfffffff00885fcd0: 53b0891a  csel	w19, w2, w9, lt
0xfffffff00885fcd4: 1f090071  cmp	w8, #2
0xfffffff00885fcd8: 6418417a  ccmp	w3, #1, #4, ne
0xfffffff00885fcdc: 3fc83338  strb	wzr, [x1, w19, sxtw]
0xfffffff00885fce0: a8008012  mov	w8, #-6
0xfffffff00885fce4: 01119f5a  csinv	w1, w8, wzr, ne
0xfffffff00885fce8: 20088052  mov	w0, #0x41
0xfffffff00885fcec: b96e0094  bl	#0xfffffff00887b7d0
0xfffffff00885fcf0: a0030034  cbz	w0, #0xfffffff00885fd64
0xfffffff00885fcf4: 20088052  mov	w0, #0x41
0xfffffff00885fcf8: c86e0094  bl	#0xfffffff00887b818
0xfffffff00885fcfc: a84240b9  ldr	w8, [x21, #0x40]
0xfffffff00885fd00: 494eff90  adrp	x9, #0xfffffff007227000
0xfffffff00885fd04: 29613e91  add	x9, x9, #0xf98
0xfffffff00885fd08: 8a4dffb0  adrp	x10, #0xfffffff007210000
0xfffffff00885fd0c: 4a5d3391  add	x10, x10, #0xcd7
0xfffffff00885fd10: 1f010072  tst	w8, #1
0xfffffff00885fd14: 4901899a  csel	x9, x10, x9, eq
0xfffffff00885fd18: 20010034  cbz	w0, #0xfffffff00885fd3c
0xfffffff00885fd1c: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff00885fd20: e90300f9  str	x9, [sp]
0xfffffff00885fd24: 404eff90  adrp	x0, #0xfffffff007227000
0xfffffff00885fd28: 00203e91  add	x0, x0, #0xf88
0xfffffff00885fd2c: cd5dd597  bl	#0xfffffff007db7460
0xfffffff00885fd30: 0d000014  b	#0xfffffff00885fd64
0xfffffff00885fd34: 13008052  mov	w19, #0
0xfffffff00885fd38: 0b000014  b	#0xfffffff00885fd64
0xfffffff00885fd3c: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff00885fd40: e90300f9  str	x9, [sp]
0xfffffff00885fd44: 404cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885fd48: 00003a91  add	x0, x0, #0xe80
0xfffffff00885fd4c: 418dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885fd50: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885fd54: a34fffd0  adrp	x3, #0xfffffff007255000
0xfffffff00885fd58: 63382f91  add	x3, x3, #0xbce
0xfffffff00885fd5c: 02008052  mov	w2, #0
0xfffffff00885fd60: f44ceb97  bl	#0xfffffff008333130
0xfffffff00885fd64: e00313aa  mov	x0, x19
0xfffffff00885fd68: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00885fd6c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00885fd70: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00885fd74: ff430191  add	sp, sp, #0x50
0xfffffff00885fd78: ff0f5fd6  retab	
0xfffffff00885fd7c: 7f2303d5  pacibsp	
0xfffffff00885fd80: ff4302d1  sub	sp, sp, #0x90
0xfffffff00885fd84: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00885fd88: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00885fd8c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00885fd90: fd030291  add	x29, sp, #0x80
0xfffffff00885fd94: f40301aa  mov	x20, x1
0xfffffff00885fd98: f30300aa  mov	x19, x0
0xfffffff00885fd9c: bf7f3da9  stp	xzr, xzr, [x29, #-0x30]
0xfffffff00885fda0: 006040f9  ldr	x0, [x0, #0xc0]
0xfffffff00885fda4: a2a300d1  sub	x2, x29, #0x28
0xfffffff00885fda8: a3b300d1  sub	x3, x29, #0x2c
0xfffffff00885fdac: a4c300d1  sub	x4, x29, #0x30
0xfffffff00885fdb0: ee6a0094  bl	#0xfffffff00887a968
0xfffffff00885fdb4: 600c0035  cbnz	w0, #0xfffffff00885ff40
0xfffffff00885fdb8: 88060051  sub	w8, w20, #1
0xfffffff00885fdbc: 1f0d0071  cmp	w8, #3
0xfffffff00885fdc0: e8040054  b.hi	#0xfffffff00885fe5c
