; Candidate 6273
; ADRP+ADD at VM 0xfffffff00881e994 (fileoff 0x181a994): page=0x1fe9cb000 add_imm=0xe80

0xfffffff00881e914: fa0300aa  mov	x26, x0
0xfffffff00881e918: 25560294  bl	#0xfffffff0088b41ac
0xfffffff00881e91c: f90300aa  mov	x25, x0
0xfffffff00881e920: e0008052  mov	w0, #7
0xfffffff00881e924: cb730194  bl	#0xfffffff00887b850
0xfffffff00881e928: da010034  cbz	w26, #0xfffffff00881e960
0xfffffff00881e92c: e80318aa  mov	x8, x24
0xfffffff00881e930: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff00881e934: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00881e938: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881e93c: 0850ffd0  adrp	x8, #0xfffffff007220000
0xfffffff00881e940: 08410091  add	x8, x8, #0x10
0xfffffff00881e944: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881e948: a80e8052  mov	w8, #0x75
0xfffffff00881e94c: 0050ffd0  adrp	x0, #0xfffffff007220000
0xfffffff00881e950: 00f80291  add	x0, x0, #0xbe
0xfffffff00881e954: f92300a9  stp	x25, x8, [sp]
0xfffffff00881e958: c262d697  bl	#0xfffffff007db7460
0xfffffff00881e95c: 16000014  b	#0xfffffff00881e9b4
0xfffffff00881e960: 13560294  bl	#0xfffffff0088b41ac
0xfffffff00881e964: f90300aa  mov	x25, x0
0xfffffff00881e968: e0008052  mov	w0, #7
0xfffffff00881e96c: b9730194  bl	#0xfffffff00887b850
0xfffffff00881e970: e80318aa  mov	x8, x24
0xfffffff00881e974: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff00881e978: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00881e97c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881e980: 0850ffd0  adrp	x8, #0xfffffff007220000
0xfffffff00881e984: 08410091  add	x8, x8, #0x10
0xfffffff00881e988: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881e98c: a80e8052  mov	w8, #0x75
0xfffffff00881e990: f92300a9  stp	x25, x8, [sp]
0xfffffff00881e994: 404efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881e998: 00003a91  add	x0, x0, #0xe80
0xfffffff00881e99c: 418fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881e9a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881e9a4: 6351ff90  adrp	x3, #0xfffffff00724a000
0xfffffff00881e9a8: 639c1391  add	x3, x3, #0x4e7
0xfffffff00881e9ac: 02008052  mov	w2, #0
0xfffffff00881e9b0: e051ec97  bl	#0xfffffff008333130
0xfffffff00881e9b4: e00318aa  mov	x0, x24
0xfffffff00881e9b8: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff00881e9bc: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff00881e9c0: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00881e9c4: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff00881e9c8: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff00881e9cc: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff00881e9d0: ff830391  add	sp, sp, #0xe0
0xfffffff00881e9d4: ff0f5fd6  retab	
0xfffffff00881e9d8: 7f2303d5  pacibsp	
0xfffffff00881e9dc: ff4302d1  sub	sp, sp, #0x90
0xfffffff00881e9e0: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff00881e9e4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00881e9e8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00881e9ec: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00881e9f0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00881e9f4: fd030291  add	x29, sp, #0x80
0xfffffff00881e9f8: f50302aa  mov	x21, x2
0xfffffff00881e9fc: f40301aa  mov	x20, x1
0xfffffff00881ea00: f30300aa  mov	x19, x0
0xfffffff00881ea04: a00e8052  mov	w0, #0x75
0xfffffff00881ea08: 01018052  mov	w1, #8
0xfffffff00881ea0c: 71730194  bl	#0xfffffff00887b7d0
0xfffffff00881ea10: 00050034  cbz	w0, #0xfffffff00881eab0
