; Candidate 2856
; ADRP+ADD at VM 0xfffffff0086eefc0 (fileoff 0x16eafc0): page=0x1fea43000 add_imm=0xd90

0xfffffff0086eef40: 0a011b33  bfi	w10, w8, #5, #1
0xfffffff0086eef44: 2aad02b9  str	w10, [x9, #0x2ac]
0xfffffff0086eef48: 88324cb9  ldr	w8, [x20, #0xc30]
0xfffffff0086eef4c: 28090034  cbz	w8, #0xfffffff0086ef070
0xfffffff0086eef50: 0800b052  mov	w8, #-0xffffffff80000000
0xfffffff0086eef54: 682e03b9  str	w8, [x19, #0x32c]
0xfffffff0086eef58: 89822c91  add	x9, x20, #0xb20
0xfffffff0086eef5c: 8aca4bb9  ldr	w10, [x20, #0xbc8]
0xfffffff0086eef60: 48010533  bfi	w8, w10, #0x1b, #1
0xfffffff0086eef64: 682e03b9  str	w8, [x19, #0x32c]
0xfffffff0086eef68: 8aca4bb9  ldr	w10, [x20, #0xbc8]
0xfffffff0086eef6c: 4b791f53  lsl	w11, w10, #1
0xfffffff0086eef70: 4b090133  bfxil	w11, w10, #1, #2
0xfffffff0086eef74: 4b0d0333  bfxil	w11, w10, #3, #1
0xfffffff0086eef78: 68090833  bfi	w8, w11, #0x18, #3
0xfffffff0086eef7c: 682e03b9  str	w8, [x19, #0x32c]
0xfffffff0086eef80: 20c1ca3c  ldur	q0, [x9, #0xac]
0xfffffff0086eef84: 21c1cb3c  ldur	q1, [x9, #0xbc]
0xfffffff0086eef88: 22c1cc3c  ldur	q2, [x9, #0xcc]
0xfffffff0086eef8c: 610a1aad  stp	q1, q2, [x19, #0x340]
0xfffffff0086eef90: 60ce803d  str	q0, [x19, #0x330]
0xfffffff0086eef94: 28c14df8  ldur	x8, [x9, #0xdc]
0xfffffff0086eef98: 68b201f9  str	x8, [x19, #0x360]
0xfffffff0086eef9c: 28414ef8  ldur	x8, [x9, #0xe4]
0xfffffff0086eefa0: 68b601f9  str	x8, [x19, #0x368]
0xfffffff0086eefa4: 88ca4bb9  ldr	w8, [x20, #0xbc8]
0xfffffff0086eefa8: 1f051f72  tst	w8, #6
0xfffffff0086eefac: a0050054  b.eq	#0xfffffff0086ef060
0xfffffff0086eefb0: 88051837  tbnz	w8, #3, #0xfffffff0086ef060
0xfffffff0086eefb4: 0853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086eefb8: 08bd1991  add	x8, x8, #0x66f
0xfffffff0086eefbc: e80300f9  str	x8, [sp]
0xfffffff0086eefc0: 0052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086eefc4: 00403691  add	x0, x0, #0xd90
0xfffffff0086eefc8: 6198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eefcc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eefd0: 2352ffd0  adrp	x3, #0xfffffff007134000
0xfffffff0086eefd4: 63680f91  add	x3, x3, #0x3da
0xfffffff0086eefd8: 02008052  mov	w2, #0
0xfffffff0086eefdc: 5510f197  bl	#0xfffffff008333130
0xfffffff0086eefe0: 1e000014  b	#0xfffffff0086ef058
0xfffffff0086eefe4: 282a4179  ldrh	w8, [x17, #0x94]
0xfffffff0086eefe8: 01050011  add	w1, w8, #1
0xfffffff0086eefec: 08a64139  ldrb	w8, [x16, #0x69]
0xfffffff0086eeff0: 02210051  sub	w2, w8, #8
0xfffffff0086eeff4: e00313aa  mov	x0, x19
0xfffffff0086eeff8: e30302aa  mov	x3, x2
0xfffffff0086eeffc: f70310aa  mov	x23, x16
0xfffffff0086ef000: 3a000094  bl	#0xfffffff0086ef0e8
0xfffffff0086ef004: a0020035  cbnz	w0, #0xfffffff0086ef058
0xfffffff0086ef008: 684e48b9  ldr	w8, [x19, #0x84c]
0xfffffff0086ef00c: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0086ef010: 2a7141b9  ldr	w10, [x9, #0x170]
0xfffffff0086ef014: 087d0653  lsr	w8, w8, #6
0xfffffff0086ef018: 0a2d1a33  bfi	w10, w8, #6, #0xc
0xfffffff0086ef01c: 2a7101b9  str	w10, [x9, #0x170]
0xfffffff0086ef020: 68422191  add	x8, x19, #0x850
0xfffffff0086ef024: f00317aa  mov	x16, x23
0xfffffff0086ef028: 34ffff17  b	#0xfffffff0086eecf8
0xfffffff0086ef02c: 0853ff90  adrp	x8, #0xfffffff00714f000
0xfffffff0086ef030: 08bd1991  add	x8, x8, #0x66f
0xfffffff0086ef034: e80300f9  str	x8, [sp]
0xfffffff0086ef038: 0052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086ef03c: 00403691  add	x0, x0, #0xd90
