; Candidate 9114
; ADRP+ADD at VM 0xfffffff0089f7f50 (fileoff 0x19f3f50): page=0x1fe89d000 add_imm=0xdf4

0xfffffff0089f7ed0: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff0089f7ed4: e90310aa  mov	x9, x16
0xfffffff0089f7ed8: e00315aa  mov	x0, x21
0xfffffff0089f7edc: f10309aa  mov	x17, x9
0xfffffff0089f7ee0: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff0089f7ee4: 11093fd7  blraa	x8, x17
0xfffffff0089f7ee8: 000200b4  cbz	x0, #0xfffffff0089f7f28
0xfffffff0089f7eec: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0089f7ef0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0089f7ef4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0089f7ef8: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0089f7efc: ffc30191  add	sp, sp, #0x70
0xfffffff0089f7f00: ff0f5fd6  retab	
0xfffffff0089f7f04: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f7f08: e844ffd0  adrp	x8, #0xfffffff007295000
0xfffffff0089f7f0c: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f7f10: 69918052  mov	w9, #0x48b
0xfffffff0089f7f14: ea44ffb0  adrp	x10, #0xfffffff007294000
0xfffffff0089f7f18: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f7f1c: eb44ffd0  adrp	x11, #0xfffffff007295000
0xfffffff0089f7f20: 6b992391  add	x11, x11, #0x8e6
0xfffffff0089f7f24: 09000014  b	#0xfffffff0089f7f48
0xfffffff0089f7f28: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f7f2c: e844ffd0  adrp	x8, #0xfffffff007295000
0xfffffff0089f7f30: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f7f34: e9918052  mov	w9, #0x48f
0xfffffff0089f7f38: ea44ffb0  adrp	x10, #0xfffffff007294000
0xfffffff0089f7f3c: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f7f40: eb44ffd0  adrp	x11, #0xfffffff007295000
0xfffffff0089f7f44: 6bcd2391  add	x11, x11, #0x8f3
0xfffffff0089f7f48: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0089f7f4c: eb2b00a9  stp	x11, x10, [sp]
0xfffffff0089f7f50: e044ffb0  adrp	x0, #0xfffffff007294000
0xfffffff0089f7f54: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f7f58: 42fdce97  bl	#0xfffffff007db7460
0xfffffff0089f7f5c: 000080d2  mov	x0, #0
0xfffffff0089f7f60: e3ffff17  b	#0xfffffff0089f7eec
0xfffffff0089f7f64: 7f2303d5  pacibsp	
0xfffffff0089f7f68: ff0302d1  sub	sp, sp, #0x80
0xfffffff0089f7f6c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0089f7f70: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0089f7f74: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0089f7f78: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0089f7f7c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0089f7f80: fdc30191  add	x29, sp, #0x70
0xfffffff0089f7f84: f30301aa  mov	x19, x1
0xfffffff0089f7f88: f40300aa  mov	x20, x0
0xfffffff0089f7f8c: 215440f9  ldr	x1, [x1, #0xa8]
0xfffffff0089f7f90: 02008052  mov	w2, #0
0xfffffff0089f7f94: 9af8ff97  bl	#0xfffffff0089f61fc
0xfffffff0089f7f98: 60e60239  strb	w0, [x19, #0xb9]
0xfffffff0089f7f9c: 615640f9  ldr	x1, [x19, #0xa8]
0xfffffff0089f7fa0: e00314aa  mov	x0, x20
0xfffffff0089f7fa4: 7ef8ff97  bl	#0xfffffff0089f619c
0xfffffff0089f7fa8: f50300aa  mov	x21, x0
0xfffffff0089f7fac: 685640f9  ldr	x8, [x19, #0xa8]
0xfffffff0089f7fb0: 896a40f9  ldr	x9, [x20, #0xd0]
0xfffffff0089f7fb4: 0801098b  add	x8, x8, x9
0xfffffff0089f7fb8: 080500d1  sub	x8, x8, #1
0xfffffff0089f7fbc: 89ba40b9  ldr	w9, [x20, #0xb8]
0xfffffff0089f7fc0: 8a5a40f9  ldr	x10, [x20, #0xb0]
0xfffffff0089f7fc4: 0b008092  mov	x11, #-1
0xfffffff0089f7fc8: 492d099b  madd	x9, x10, x9, x11
0xfffffff0089f7fcc: 1f0109eb  cmp	x8, x9
