; Candidate 9084
; ADRP+ADD at VM 0xfffffff0089f3960 (fileoff 0x19ef960): page=0x1fe8a1000 add_imm=0xdf4

0xfffffff0089f38e0: 082d47f9  ldr	x8, [x8, #0xe58]
0xfffffff0089f38e4: 09411591  add	x9, x8, #0x550
0xfffffff0089f38e8: 08a942f9  ldr	x8, [x8, #0x550]
0xfffffff0089f38ec: e00313aa  mov	x0, x19
0xfffffff0089f38f0: e10316aa  mov	x1, x22
0xfffffff0089f38f4: e20315aa  mov	x2, x21
0xfffffff0089f38f8: e30317aa  mov	x3, x23
0xfffffff0089f38fc: e40313aa  mov	x4, x19
0xfffffff0089f3900: e50314aa  mov	x5, x20
0xfffffff0089f3904: f10309aa  mov	x17, x9
0xfffffff0089f3908: 516af6f2  movk	x17, #0xb352, lsl #48
0xfffffff0089f390c: 11093fd7  blraa	x8, x17
0xfffffff0089f3910: f40300aa  mov	x20, x0
0xfffffff0089f3914: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff0089f3918: 89e3ce97  bl	#0xfffffff007dac73c
0xfffffff0089f391c: e00314aa  mov	x0, x20
0xfffffff0089f3920: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0089f3924: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0089f3928: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0089f392c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0089f3930: ffc30191  add	sp, sp, #0x70
0xfffffff0089f3934: ff0f5fd6  retab	
0xfffffff0089f3938: 0845ffb0  adrp	x8, #0xfffffff007294000
0xfffffff0089f393c: 08893991  add	x8, x8, #0xe62
0xfffffff0089f3940: 89228052  mov	w9, #0x114
0xfffffff0089f3944: 0a45ffb0  adrp	x10, #0xfffffff007294000
0xfffffff0089f3948: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f394c: 0b45ffb0  adrp	x11, #0xfffffff007294000
0xfffffff0089f3950: 6ba53891  add	x11, x11, #0xe29
0xfffffff0089f3954: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f3958: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f395c: eb0300f9  str	x11, [sp]
0xfffffff0089f3960: 0045ffb0  adrp	x0, #0xfffffff007294000
0xfffffff0089f3964: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f3968: be0ecf97  bl	#0xfffffff007db7460
0xfffffff0089f396c: 40588052  mov	w0, #0x2c2
0xfffffff0089f3970: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0089f3974: ebffff17  b	#0xfffffff0089f3920
0xfffffff0089f3978: 5f2403d5  bti	c
0xfffffff0089f397c: 5ec3e317  b	#0xfffffff0082e46f4
0xfffffff0089f3980: 7f2303d5  pacibsp	
0xfffffff0089f3984: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0089f3988: fd030091  mov	x29, sp
0xfffffff0089f398c: 40c700f0  adrp	x0, #0xfffffff00a2de000
0xfffffff0089f3990: 00a00691  add	x0, x0, #0x1a8
0xfffffff0089f3994: 0145ffb0  adrp	x1, #0xfffffff007294000
0xfffffff0089f3998: 21142c91  add	x1, x1, #0xb05
0xfffffff0089f399c: a282ff90  adrp	x2, #0xfffffff007a47000
0xfffffff0089f39a0: 421447f9  ldr	x2, [x2, #0xe28]
0xfffffff0089f39a4: 031f8052  mov	w3, #0xf8
0xfffffff0089f39a8: 64c0e397  bl	#0xfffffff0082e3b38
0xfffffff0089f39ac: b082ffb0  adrp	x16, #0xfffffff007a48000
0xfffffff0089f39b0: 10021491  add	x16, x16, #0x500
0xfffffff0089f39b4: 10420091  add	x16, x16, #0x10
0xfffffff0089f39b8: f10300aa  mov	x17, x0
0xfffffff0089f39bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089f39c0: 300ac1da  pacda	x16, x17
0xfffffff0089f39c4: 100000f9  str	x16, [x0]
0xfffffff0089f39c8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0089f39cc: ff0f5fd6  retab	
0xfffffff0089f39d0: 5f2403d5  bti	c
0xfffffff0089f39d4: 40c700f0  adrp	x0, #0xfffffff00a2de000
0xfffffff0089f39d8: 00a00691  add	x0, x0, #0x1a8
0xfffffff0089f39dc: 46c3e317  b	#0xfffffff0082e46f4
