; Candidate 6153
; ADRP+ADD at VM 0xfffffff008817870 (fileoff 0x1813870): page=0x1fea07000 add_imm=0xe91

0xfffffff0088177f0: f85f4fa9  ldp	x24, x23, [sp, #0xf0]
0xfffffff0088177f4: fa674ea9  ldp	x26, x25, [sp, #0xe0]
0xfffffff0088177f8: fc6f4da9  ldp	x28, x27, [sp, #0xd0]
0xfffffff0088177fc: ffc30491  add	sp, sp, #0x130
0xfffffff008817800: ff0f5fd6  retab	
0xfffffff008817804: e0031baa  mov	x0, x27
0xfffffff008817808: a18358f8  ldur	x1, [x29, #-0x78]
0xfffffff00881780c: 49e6ff97  bl	#0xfffffff008811130
0xfffffff008817810: 800c0034  cbz	w0, #0xfffffff0088179a0
0xfffffff008817814: fc0300aa  mov	x28, x0
0xfffffff008817818: 800e8052  mov	w0, #0x74
0xfffffff00881781c: 81008052  mov	w1, #4
0xfffffff008817820: ec8f0194  bl	#0xfffffff00887b7d0
0xfffffff008817824: 600f0034  cbz	w0, #0xfffffff008817a10
0xfffffff008817828: 800e8052  mov	w0, #0x74
0xfffffff00881782c: fb8f0194  bl	#0xfffffff00887b818
0xfffffff008817830: a00318b8  stur	w0, [x29, #-0x80]
0xfffffff008817834: 5e720294  bl	#0xfffffff0088b41ac
0xfffffff008817838: a08317f8  stur	x0, [x29, #-0x88]
0xfffffff00881783c: 80008052  mov	w0, #4
0xfffffff008817840: 04900194  bl	#0xfffffff00887b850
0xfffffff008817844: a80358b8  ldur	w8, [x29, #-0x80]
0xfffffff008817848: 680b0034  cbz	w8, #0xfffffff0088179b4
0xfffffff00881784c: c84fffb0  adrp	x8, #0xfffffff007210000
0xfffffff008817850: 08b92791  add	x8, x8, #0x9ee
0xfffffff008817854: e9018152  mov	w9, #0x80f
0xfffffff008817858: e8ef02a9  stp	x8, x27, [sp, #0x28]
0xfffffff00881785c: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817860: 080d3491  add	x8, x8, #0xd03
0xfffffff008817864: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008817868: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881786c: 880e8052  mov	w8, #0x74
0xfffffff008817870: 2050fff0  adrp	x0, #0xfffffff00721e000
0xfffffff008817874: 00443a91  add	x0, x0, #0xe91
0xfffffff008817878: e80700f9  str	x8, [sp, #8]
0xfffffff00881787c: a88357f8  ldur	x8, [x29, #-0x88]
0xfffffff008817880: e80300f9  str	x8, [sp]
0xfffffff008817884: f77ed697  bl	#0xfffffff007db7460
0xfffffff008817888: 62000014  b	#0xfffffff008817a10
0xfffffff00881788c: 48720294  bl	#0xfffffff0088b41ac
0xfffffff008817890: a00318f8  stur	x0, [x29, #-0x80]
0xfffffff008817894: 80008052  mov	w0, #4
0xfffffff008817898: ee8f0194  bl	#0xfffffff00887b850
0xfffffff00881789c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088178a0: e84700f9  str	x8, [sp, #0x88]
0xfffffff0088178a4: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff0088178a8: e84300f9  str	x8, [sp, #0x80]
0xfffffff0088178ac: e8031aaa  mov	x8, x26
0xfffffff0088178b0: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff0088178b4: e82707a9  stp	x8, x9, [sp, #0x70]
0xfffffff0088178b8: f86706a9  stp	x24, x25, [sp, #0x60]
0xfffffff0088178bc: f65f05a9  stp	x22, x23, [sp, #0x50]
0xfffffff0088178c0: f45704a9  stp	x20, x21, [sp, #0x40]
0xfffffff0088178c4: fb4f03a9  stp	x27, x19, [sp, #0x30]
0xfffffff0088178c8: c84fffb0  adrp	x8, #0xfffffff007210000
0xfffffff0088178cc: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088178d0: 69018152  mov	w9, #0x80b
0xfffffff0088178d4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088178d8: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff0088178dc: 080d3491  add	x8, x8, #0xd03
0xfffffff0088178e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088178e4: 880e8052  mov	w8, #0x74
0xfffffff0088178e8: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff0088178ec: 630c2f91  add	x3, x3, #0xbc3
