; Candidate 2854
; ADRP+ADD at VM 0xfffffff0086ed930 (fileoff 0x16e9930): page=0x1ff315000 add_imm=0xe28

0xfffffff0086ed8b0: 0100088b  add	x1, x0, x8
0xfffffff0086ed8b4: 05ba0194  bl	#0xfffffff00875c0c8
0xfffffff0086ed8b8: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0086ed8bc: 1f6c09f9  str	xzr, [x0, #0x12d8]
0xfffffff0086ed8c0: 1f7009f9  str	xzr, [x0, #0x12e0]
0xfffffff0086ed8c4: 700240f9  ldr	x16, [x19]
0xfffffff0086ed8c8: f10313aa  mov	x17, x19
0xfffffff0086ed8cc: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0086ed8d0: 301ac1da  autda	x16, x17
0xfffffff0086ed8d4: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff0086ed8d8: e90310aa  mov	x9, x16
0xfffffff0086ed8dc: e00313aa  mov	x0, x19
0xfffffff0086ed8e0: 010080d2  mov	x1, #0
0xfffffff0086ed8e4: f10309aa  mov	x17, x9
0xfffffff0086ed8e8: 3173e4f2  movk	x17, #0x2399, lsl #48
0xfffffff0086ed8ec: 11093fd7  blraa	x8, x17
0xfffffff0086ed8f0: 7f1600f9  str	xzr, [x19, #0x28]
0xfffffff0086ed8f4: e00313aa  mov	x0, x19
0xfffffff0086ed8f8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086ed8fc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0086ed900: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0086ed904: ff2303d5  autibsp	
0xfffffff0086ed908: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086ed90c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086ed914
0xfffffff0086ed910: 208e38d4  brk	#0xc471
0xfffffff0086ed914: e72e0114  b	#0xfffffff0087394b0
0xfffffff0086ed918: 7f2303d5  pacibsp	
0xfffffff0086ed91c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086ed920: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086ed924: fd430091  add	x29, sp, #0x10
0xfffffff0086ed928: f30300aa  mov	x19, x0
0xfffffff0086ed92c: aaffff97  bl	#0xfffffff0086ed7d4
0xfffffff0086ed930: a098ffb0  adrp	x0, #0xfffffff007a02000
0xfffffff0086ed934: 00a03891  add	x0, x0, #0xe28
0xfffffff0086ed938: e10313aa  mov	x1, x19
0xfffffff0086ed93c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086ed940: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0086ed944: ff2303d5  autibsp	
0xfffffff0086ed948: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086ed94c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086ed954
0xfffffff0086ed950: 208e38d4  brk	#0xc471
0xfffffff0086ed954: 6ea3f117  b	#0xfffffff00835670c
0xfffffff0086ed958: 7f2303d5  pacibsp	
0xfffffff0086ed95c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086ed960: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086ed964: fd430091  add	x29, sp, #0x10
0xfffffff0086ed968: f30301aa  mov	x19, x1
0xfffffff0086ed96c: f40300aa  mov	x20, x0
0xfffffff0086ed970: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff0086ed974: 008945f9  ldr	x0, [x8, #0xb10]
0xfffffff0086ed978: 808e02f8  str	x0, [x20, #0x28]!
0xfffffff0086ed97c: 9fc21eb8  stur	wzr, [x20, #-0x14]
0xfffffff0086ed980: 80821ff8  stur	x0, [x20, #-8]
0xfffffff0086ed984: 01008052  mov	w1, #0
0xfffffff0086ed988: 82f58952  mov	w2, #0x4fac
0xfffffff0086ed98c: 4200a072  movk	w2, #2, lsl #16
0xfffffff0086ed990: 8c7cd997  bl	#0xfffffff007d4cbc0
0xfffffff0086ed994: 88c25eb8  ldur	w8, [x20, #-0x14]
0xfffffff0086ed998: 887a68f8  ldr	x8, [x20, x8, lsl #3]
0xfffffff0086ed99c: 131100b9  str	w19, [x8, #0x10]
0xfffffff0086ed9a0: 29208052  mov	w9, #0x101
0xfffffff0086ed9a4: 09310079  strh	w9, [x8, #0x18]
0xfffffff0086ed9a8: 00008052  mov	w0, #0
0xfffffff0086ed9ac: fd7b41a9  ldp	x29, x30, [sp, #0x10]
