; Candidate 2224
; ADRP+ADD at VM 0xfffffff0085b82b4 (fileoff 0x15b42b4): page=0x1feb3f000 add_imm=0xd17

0xfffffff0085b8234: 21160054  b.ne	#0xfffffff0085b84f8
0xfffffff0085b8238: 68c24a39  ldrb	w8, [x19, #0x2b0]
0xfffffff0085b823c: 88110034  cbz	w8, #0xfffffff0085b846c
0xfffffff0085b8240: 68a642b9  ldr	w8, [x19, #0x2a4]
0xfffffff0085b8244: 48110034  cbz	w8, #0xfffffff0085b846c
0xfffffff0085b8248: ff0f00f9  str	xzr, [sp, #0x18]
0xfffffff0085b824c: e0630091  add	x0, sp, #0x18
0xfffffff0085b8250: 7059df97  bl	#0xfffffff007d8e810
0xfffffff0085b8254: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff0085b8258: 60c242bd  ldr	s0, [x19, #0x2c0]
0xfffffff0085b825c: 0100391e  fcvtzu	w1, s0
0xfffffff0085b8260: 60ca42bd  ldr	s0, [x19, #0x2c8]
0xfffffff0085b8264: 0200391e  fcvtzu	w2, s0
0xfffffff0085b8268: 60ce42bd  ldr	s0, [x19, #0x2cc]
0xfffffff0085b826c: 0300391e  fcvtzu	w3, s0
0xfffffff0085b8270: 60d242bd  ldr	s0, [x19, #0x2d0]
0xfffffff0085b8274: 0400391e  fcvtzu	w4, s0
0xfffffff0085b8278: 60d642bd  ldr	s0, [x19, #0x2d4]
0xfffffff0085b827c: 0500391e  fcvtzu	w5, s0
0xfffffff0085b8280: 06008052  mov	w6, #0
0xfffffff0085b8284: 6e464d94  bl	#0xfffffff009909c3c
0xfffffff0085b8288: f70300aa  mov	x23, x0
0xfffffff0085b828c: 687a42b9  ldr	w8, [x19, #0x278]
0xfffffff0085b8290: 1f1d0071  cmp	w8, #7
0xfffffff0085b8294: 63010054  b.lo	#0xfffffff0085b82c0
0xfffffff0085b8298: 60c242bd  ldr	s0, [x19, #0x2c0]
0xfffffff0085b829c: 0800381e  fcvtzs	w8, s0
0xfffffff0085b82a0: 097d8052  mov	w9, #0x3e8
0xfffffff0085b82a4: 087d091b  mul	w8, w8, w9
0xfffffff0085b82a8: e959fff0  adrp	x9, #0xfffffff0070f7000
0xfffffff0085b82ac: 29593591  add	x9, x9, #0xd56
0xfffffff0085b82b0: e92300a9  stp	x9, x8, [sp]
0xfffffff0085b82b4: e059fff0  adrp	x0, #0xfffffff0070f7000
0xfffffff0085b82b8: 005c3491  add	x0, x0, #0xd17
0xfffffff0085b82bc: 597bf697  bl	#0xfffffff008357020
0xfffffff0085b82c0: 970e00b4  cbz	x23, #0xfffffff0085b8490
0xfffffff0085b82c4: f00240f9  ldr	x16, [x23]
0xfffffff0085b82c8: f10317aa  mov	x17, x23
0xfffffff0085b82cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085b82d0: 301ac1da  autda	x16, x17
0xfffffff0085b82d4: 112280d2  mov	x17, #0x110
0xfffffff0085b82d8: 1002118b  add	x16, x16, x17
0xfffffff0085b82dc: 080240f9  ldr	x8, [x16]
0xfffffff0085b82e0: e90310aa  mov	x9, x16
0xfffffff0085b82e4: d4008052  mov	w20, #6
0xfffffff0085b82e8: 9401a072  movk	w20, #0xc, lsl #16
0xfffffff0085b82ec: 81020032  orr	w1, w20, #1
0xfffffff0085b82f0: 00e4002f  movi	d0, #0000000000000000
0xfffffff0085b82f4: e00317aa  mov	x0, x23
0xfffffff0085b82f8: 02008052  mov	w2, #0
0xfffffff0085b82fc: f10309aa  mov	x17, x9
0xfffffff0085b8300: 1176ebf2  movk	x17, #0x5bb0, lsl #48
0xfffffff0085b8304: 11093fd7  blraa	x8, x17
0xfffffff0085b8308: f00240f9  ldr	x16, [x23]
0xfffffff0085b830c: f10317aa  mov	x17, x23
0xfffffff0085b8310: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085b8314: 301ac1da  autda	x16, x17
0xfffffff0085b8318: f10310aa  mov	x17, x16
0xfffffff0085b831c: f147c1da  xpacd	x17
0xfffffff0085b8320: 1f0211eb  cmp	x16, x17
0xfffffff0085b8324: 40000054  b.eq	#0xfffffff0085b832c
0xfffffff0085b8328: 408e38d4  brk	#0xc472
0xfffffff0085b832c: 08420491  add	x8, x16, #0x110
0xfffffff0085b8330: 098a40f9  ldr	x9, [x16, #0x110]
