; Candidate 1210
; ADRP+ADD at VM 0xfffffff0082950b0 (fileoff 0x12910b0): page=0x1ff6e7000 add_imm=0xd70

0xfffffff008295030: 02000014  b	#0xfffffff008295038
0xfffffff008295034: c0008052  mov	w0, #6
0xfffffff008295038: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00829503c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008295040: ff0f5fd6  retab	
0xfffffff008295044: 5f2403d5  bti	c
0xfffffff008295048: 200200b4  cbz	x0, #0xfffffff00829508c
0xfffffff00829504c: 7f2303d5  pacibsp	
0xfffffff008295050: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008295054: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008295058: fd430091  add	x29, sp, #0x10
0xfffffff00829505c: f30300aa  mov	x19, x0
0xfffffff008295060: 20b7fff0  adrp	x0, #0xfffffff00797c000
0xfffffff008295064: 00c03591  add	x0, x0, #0xd70
0xfffffff008295068: 81008052  mov	w1, #4
0xfffffff00829506c: 9a47ec97  bl	#0xfffffff007da6ed4
0xfffffff008295070: e80300aa  mov	x8, x0
0xfffffff008295074: 00008052  mov	w0, #0
0xfffffff008295078: 680200f9  str	x8, [x19]
0xfffffff00829507c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008295080: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008295084: ff2303d5  autibsp	
0xfffffff008295088: c0035fd6  ret	
0xfffffff00829508c: c0028052  mov	w0, #0x16
0xfffffff008295090: c0035fd6  ret	
0xfffffff008295094: 7f2303d5  pacibsp	
0xfffffff008295098: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00829509c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0082950a0: fd430091  add	x29, sp, #0x10
0xfffffff0082950a4: c10100b4  cbz	x1, #0xfffffff0082950dc
0xfffffff0082950a8: f40301aa  mov	x20, x1
0xfffffff0082950ac: f30300aa  mov	x19, x0
0xfffffff0082950b0: 20b7fff0  adrp	x0, #0xfffffff00797c000
0xfffffff0082950b4: 00c03591  add	x0, x0, #0xd70
0xfffffff0082950b8: 81008052  mov	w1, #4
0xfffffff0082950bc: 8647ec97  bl	#0xfffffff007da6ed4
0xfffffff0082950c0: 800200f9  str	x0, [x20]
0xfffffff0082950c4: 930000b4  cbz	x19, #0xfffffff0082950d4
0xfffffff0082950c8: e10313aa  mov	x1, x19
0xfffffff0082950cc: 02168052  mov	w2, #0xb0
0xfffffff0082950d0: 30deea97  bl	#0xfffffff007d4c990
0xfffffff0082950d4: 00008052  mov	w0, #0
0xfffffff0082950d8: 02000014  b	#0xfffffff0082950e0
0xfffffff0082950dc: c0028052  mov	w0, #0x16
0xfffffff0082950e0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0082950e4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0082950e8: ff0f5fd6  retab	
0xfffffff0082950ec: 5f2403d5  bti	c
0xfffffff0082950f0: 000200b4  cbz	x0, #0xfffffff008295130
0xfffffff0082950f4: 3f500071  cmp	w1, #0x14
0xfffffff0082950f8: c8010054  b.hi	#0xfffffff008295130
0xfffffff0082950fc: e80300aa  mov	x8, x0
0xfffffff008295100: a0058052  mov	w0, #0x2d
0xfffffff008295104: f003012a  mov	w16, w1
0xfffffff008295108: 1f5200f1  cmp	x16, #0x14
0xfffffff00829510c: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008295110: 11000090  adrp	x17, #0xfffffff008295000
0xfffffff008295114: 31820b91  add	x17, x17, #0x2e0
0xfffffff008295118: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00829511c: 11000010  adr	x17, #0xfffffff00829511c
0xfffffff008295120: 3002108b  add	x16, x17, x16
0xfffffff008295124: 00021fd6  br	x16
0xfffffff008295128: 9f2403d5  bti	j
0xfffffff00829512c: c0035fd6  ret	
