; Candidate 6305
; ADRP+ADD at VM 0xfffffff00882166c (fileoff 0x181d66c): page=0x1fe9c8000 add_imm=0xe80

0xfffffff0088215ec: ff430391  add	sp, sp, #0xd0
0xfffffff0088215f0: ff0f5fd6  retab	
0xfffffff0088215f4: ee4a0294  bl	#0xfffffff0088b41ac
0xfffffff0088215f8: f50300aa  mov	x21, x0
0xfffffff0088215fc: 00018052  mov	w0, #8
0xfffffff008821600: 94680194  bl	#0xfffffff00887b850
0xfffffff008821604: 170200b4  cbz	x23, #0xfffffff008821644
0xfffffff008821608: e8aa43b9  ldr	w8, [x23, #0x3a8]
0xfffffff00882160c: 0f000014  b	#0xfffffff008821648
0xfffffff008821610: 08008012  mov	w8, #-1
0xfffffff008821614: e86b03a9  stp	x8, x26, [sp, #0x30]
0xfffffff008821618: 683f8252  mov	w8, #0x11fb
0xfffffff00882161c: e85f02a9  stp	x8, x23, [sp, #0x20]
0xfffffff008821620: e84ffff0  adrp	x8, #0xfffffff007220000
0xfffffff008821624: 08f51891  add	x8, x8, #0x63d
0xfffffff008821628: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882162c: 880e8052  mov	w8, #0x74
0xfffffff008821630: e04ffff0  adrp	x0, #0xfffffff007220000
0xfffffff008821634: 00641991  add	x0, x0, #0x659
0xfffffff008821638: f52300a9  stp	x21, x8, [sp]
0xfffffff00882163c: 8957d697  bl	#0xfffffff007db7460
0xfffffff008821640: 13000014  b	#0xfffffff00882168c
0xfffffff008821644: 08008012  mov	w8, #-1
0xfffffff008821648: e9031aaa  mov	x9, x26
0xfffffff00882164c: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008821650: 683f8252  mov	w8, #0x11fb
0xfffffff008821654: e85f02a9  stp	x8, x23, [sp, #0x20]
0xfffffff008821658: e84ffff0  adrp	x8, #0xfffffff007220000
0xfffffff00882165c: 08f51891  add	x8, x8, #0x63d
0xfffffff008821660: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008821664: 880e8052  mov	w8, #0x74
0xfffffff008821668: f52300a9  stp	x21, x8, [sp]
0xfffffff00882166c: 404eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008821670: 00003a91  add	x0, x0, #0xe80
0xfffffff008821674: 218ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008821678: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882167c: 4351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff008821680: 63c42891  add	x3, x3, #0xa31
0xfffffff008821684: 02008052  mov	w2, #0
0xfffffff008821688: aa46ec97  bl	#0xfffffff008333130
0xfffffff00882168c: 00008052  mov	w0, #0
0xfffffff008821690: 57faffb4  cbz	x23, #0xfffffff0088215d8
0xfffffff008821694: e8aa43b9  ldr	w8, [x23, #0x3a8]
0xfffffff008821698: 08faff37  tbnz	w8, #0x1f, #0xfffffff0088215d8
0xfffffff00882169c: 1f011a6b  cmp	w8, w26
0xfffffff0088216a0: caf9ff54  b.ge	#0xfffffff0088215d8
0xfffffff0088216a4: 800e8052  mov	w0, #0x74
0xfffffff0088216a8: 01018052  mov	w1, #8
0xfffffff0088216ac: 49680194  bl	#0xfffffff00887b7d0
0xfffffff0088216b0: e0070034  cbz	w0, #0xfffffff0088217ac
0xfffffff0088216b4: 800e8052  mov	w0, #0x74
0xfffffff0088216b8: 58680194  bl	#0xfffffff00887b818
0xfffffff0088216bc: f60300aa  mov	x22, x0
0xfffffff0088216c0: bb4a0294  bl	#0xfffffff0088b41ac
0xfffffff0088216c4: f50300aa  mov	x21, x0
0xfffffff0088216c8: 00018052  mov	w0, #8
0xfffffff0088216cc: 61680194  bl	#0xfffffff00887b850
0xfffffff0088216d0: 16030034  cbz	w22, #0xfffffff008821730
0xfffffff0088216d4: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff0088216d8: 894a40f9  ldr	x9, [x20, #0x90]
0xfffffff0088216dc: eaaa43b9  ldr	w10, [x23, #0x3a8]
0xfffffff0088216e0: 4b550011  add	w11, w10, #0x15
0xfffffff0088216e4: 6c5a40b9  ldr	w12, [x19, #0x58]
0xfffffff0088216e8: 8d1240b9  ldr	w13, [x20, #0x10]
