; Candidate 8291
; ADRP+ADD at VM 0xfffffff0088a15cc (fileoff 0x189d5cc): page=0x1fe948000 add_imm=0xe80

0xfffffff0088a154c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088a1550: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a1554: 09311091  add	x9, x8, #0x40c
0xfffffff0088a1558: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a155c: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a1560: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a1564: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a1568: a80f8052  mov	w8, #0x7d
0xfffffff0088a156c: 804cff90  adrp	x0, #0xfffffff007231000
0xfffffff0088a1570: 00f01a91  add	x0, x0, #0x6bc
0xfffffff0088a1574: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a1578: ba57d497  bl	#0xfffffff007db7460
0xfffffff0088a157c: 1a000014  b	#0xfffffff0088a15e4
0xfffffff0088a1580: 0b4b0094  bl	#0xfffffff0088b41ac
0xfffffff0088a1584: f70300aa  mov	x23, x0
0xfffffff0088a1588: e0008052  mov	w0, #7
0xfffffff0088a158c: b168ff97  bl	#0xfffffff00887b850
0xfffffff0088a1590: e80318aa  mov	x8, x24
0xfffffff0088a1594: 690240b9  ldr	w9, [x19]
0xfffffff0088a1598: f6a304a9  stp	x22, x8, [sp, #0x48]
0xfffffff0088a159c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088a15a0: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff0088a15a4: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a15a8: 0a311091  add	x10, x8, #0x40c
0xfffffff0088a15ac: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a15b0: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a15b4: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0088a15b8: a80f8052  mov	w8, #0x7d
0xfffffff0088a15bc: 034eff90  adrp	x3, #0xfffffff007261000
0xfffffff0088a15c0: 63e01e91  add	x3, x3, #0x7b8
0xfffffff0088a15c4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a15c8: f70300f9  str	x23, [sp]
0xfffffff0088a15cc: 404aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a15d0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a15d4: 218bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a15d8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a15dc: 02008052  mov	w2, #0
0xfffffff0088a15e0: d446ea97  bl	#0xfffffff008333130
0xfffffff0088a15e4: e00318aa  mov	x0, x24
0xfffffff0088a15e8: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff0088a15ec: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff0088a15f0: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff0088a15f4: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff0088a15f8: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff0088a15fc: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff0088a1600: ff830491  add	sp, sp, #0x120
0xfffffff0088a1604: ff0f5fd6  retab	
0xfffffff0088a1608: f87c8012  mov	w24, #-0x3e8
0xfffffff0088a160c: c0ffff17  b	#0xfffffff0088a150c
0xfffffff0088a1610: 187d8012  mov	w24, #-0x3e9
0xfffffff0088a1614: beffff17  b	#0xfffffff0088a150c
0xfffffff0088a1618: e54a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a161c: f70300aa  mov	x23, x0
0xfffffff0088a1620: 80008052  mov	w0, #4
0xfffffff0088a1624: 8b68ff97  bl	#0xfffffff00887b850
0xfffffff0088a1628: 680340f9  ldr	x8, [x27]
0xfffffff0088a162c: 690240b9  ldr	w9, [x19]
0xfffffff0088a1630: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a1634: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a1638: 088d1591  add	x8, x8, #0x563
0xfffffff0088a163c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a1640: 8a9f8052  mov	w10, #0x4fc
0xfffffff0088a1644: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a1648: 08311091  add	x8, x8, #0x40c
