; Candidate 843
; ADRP+ADD at VM 0xfffffff0080dc6b4 (fileoff 0x10d86b4): page=0x1fef9b000 add_imm=0xe86

0xfffffff0080dc634: 1901198b  add	x25, x8, x25
0xfffffff0080dc638: e82e42b9  ldr	w8, [x23, #0x22c]
0xfffffff0080dc63c: f9a300a9  stp	x25, x8, [sp, #8]
0xfffffff0080dc640: f80300f9  str	x24, [sp]
0xfffffff0080dc644: 8079ff90  adrp	x0, #0xfffffff00700c000
0xfffffff0080dc648: 00000091  add	x0, x0, #0
0xfffffff0080dc64c: 037fffb0  adrp	x3, #0xfffffff0070bd000
0xfffffff0080dc650: 63703791  add	x3, x3, #0xddc
0xfffffff0080dc654: 02028052  mov	w2, #0x10
0xfffffff0080dc658: b65a0994  bl	#0xfffffff008333130
0xfffffff0080dc65c: 77008052  mov	w23, #3
0xfffffff0080dc660: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0080dc664: 490701f0  adrp	x9, #0xfffffff00a1c7000
0xfffffff0080dc668: 29010091  add	x9, x9, #0
0xfffffff0080dc66c: 290140f9  ldr	x9, [x9]
0xfffffff0080dc670: 3f0108eb  cmp	x9, x8
0xfffffff0080dc674: c1030054  b.ne	#0xfffffff0080dc6ec
0xfffffff0080dc678: e00317aa  mov	x0, x23
0xfffffff0080dc67c: fd7b4fa9  ldp	x29, x30, [sp, #0xf0]
0xfffffff0080dc680: f44f4ea9  ldp	x20, x19, [sp, #0xe0]
0xfffffff0080dc684: f6574da9  ldp	x22, x21, [sp, #0xd0]
0xfffffff0080dc688: f85f4ca9  ldp	x24, x23, [sp, #0xc0]
0xfffffff0080dc68c: fa674ba9  ldp	x26, x25, [sp, #0xb0]
0xfffffff0080dc690: fc6f4aa9  ldp	x28, x27, [sp, #0xa0]
0xfffffff0080dc694: ff030491  add	sp, sp, #0x100
0xfffffff0080dc698: ff0f5fd6  retab	
0xfffffff0080dc69c: c07cffd0  adrp	x0, #0xfffffff007076000
0xfffffff0080dc6a0: 00883d91  add	x0, x0, #0xf62
0xfffffff0080dc6a4: c17cffd0  adrp	x1, #0xfffffff007076000
0xfffffff0080dc6a8: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080dc6ac: a2e68052  mov	w2, #0x735
0xfffffff0080dc6b0: 590c0f94  bl	#0xfffffff00849f814
0xfffffff0080dc6b4: c07cfff0  adrp	x0, #0xfffffff007077000
0xfffffff0080dc6b8: 00183a91  add	x0, x0, #0xe86
0xfffffff0080dc6bc: c17cffd0  adrp	x1, #0xfffffff007076000
0xfffffff0080dc6c0: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080dc6c4: c2e68052  mov	w2, #0x736
0xfffffff0080dc6c8: 530c0f94  bl	#0xfffffff00849f814
0xfffffff0080dc6cc: e8df8052  mov	w8, #0x6ff
0xfffffff0080dc6d0: c97cffd0  adrp	x9, #0xfffffff007076000
0xfffffff0080dc6d4: 29052391  add	x9, x9, #0x8c1
0xfffffff0080dc6d8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080dc6dc: fb2300a9  stp	x27, x8, [sp]
0xfffffff0080dc6e0: a07dffd0  adrp	x0, #0xfffffff007092000
0xfffffff0080dc6e4: 00b03191  add	x0, x0, #0xc6c
0xfffffff0080dc6e8: 89df0e94  bl	#0xfffffff00849450c
0xfffffff0080dc6ec: d805f297  bl	#0xfffffff007d5de4c
0xfffffff0080dc6f0: c07cffd0  adrp	x0, #0xfffffff007076000
0xfffffff0080dc6f4: 00c03e91  add	x0, x0, #0xfb0
0xfffffff0080dc6f8: c17cffd0  adrp	x1, #0xfffffff007076000
0xfffffff0080dc6fc: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080dc700: e2e68052  mov	w2, #0x737
0xfffffff0080dc704: 440c0f94  bl	#0xfffffff00849f814
0xfffffff0080dc708: 7f2303d5  pacibsp	
0xfffffff0080dc70c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0080dc710: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0080dc714: fd430091  add	x29, sp, #0x10
0xfffffff0080dc718: 08504039  ldrb	w8, [x0, #0x14]
0xfffffff0080dc71c: 68032837  tbnz	w8, #5, #0xfffffff0080dc788
0xfffffff0080dc720: f30300aa  mov	x19, x0
0xfffffff0080dc724: 081840f9  ldr	x8, [x0, #0x30]
0xfffffff0080dc728: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff0080dc72c: 001940f9  ldr	x0, [x8, #0x30]
0xfffffff0080dc730: 080c40b9  ldr	w8, [x0, #0xc]
