; Candidate 7124
; ADRP+ADD at VM 0xfffffff008859140 (fileoff 0x1855140): page=0x1fe990000 add_imm=0xe80

0xfffffff0088590c0: 098d40b9  ldr	w9, [x8, #0x8c]
0xfffffff0088590c4: 087d40b9  ldr	w8, [x8, #0x7c]
0xfffffff0088590c8: 3f01086b  cmp	w9, w8
0xfffffff0088590cc: ea0c0054  b.ge	#0xfffffff008859268
0xfffffff0088590d0: 882640b9  ldr	w8, [x20, #0x24]
0xfffffff0088590d4: 1f090071  cmp	w8, #2
0xfffffff0088590d8: 61100054  b.ne	#0xfffffff0088592e4
0xfffffff0088590dc: 346c0194  bl	#0xfffffff0088b41ac
0xfffffff0088590e0: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0088590e4: 097940b9  ldr	w9, [x8, #0x78]
0xfffffff0088590e8: 3f050071  cmp	w9, #1
0xfffffff0088590ec: 61180054  b.ne	#0xfffffff0088593f8
0xfffffff0088590f0: 08b59452  mov	w8, #0xa5a8
0xfffffff0088590f4: 0802a072  movk	w8, #0x10, lsl #16
0xfffffff0088590f8: 286b68b8  ldr	w8, [x25, x8]
0xfffffff0088590fc: 28180035  cbnz	w8, #0xfffffff008859400
0xfffffff008859100: f4000014  b	#0xfffffff0088594d0
0xfffffff008859104: 2a6c0194  bl	#0xfffffff0088b41ac
0xfffffff008859108: f60300aa  mov	x22, x0
0xfffffff00885910c: e0008052  mov	w0, #7
0xfffffff008859110: d0890094  bl	#0xfffffff00887b850
0xfffffff008859114: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008859118: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00885911c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008859120: 684effb0  adrp	x8, #0xfffffff007226000
0xfffffff008859124: 09413f91  add	x9, x8, #0xfd0
0xfffffff008859128: 684effd0  adrp	x8, #0xfffffff007227000
0xfffffff00885912c: 08811191  add	x8, x8, #0x460
0xfffffff008859130: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008859134: 880c8052  mov	w8, #0x64
0xfffffff008859138: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885913c: f60300f9  str	x22, [sp]
0xfffffff008859140: 804cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008859144: 00003a91  add	x0, x0, #0xe80
0xfffffff008859148: 618dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00885914c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008859150: c34ffff0  adrp	x3, #0xfffffff007254000
0xfffffff008859154: 63f01891  add	x3, x3, #0x63c
0xfffffff008859158: 02008052  mov	w2, #0
0xfffffff00885915c: f567eb97  bl	#0xfffffff008333130
0xfffffff008859160: 14f9ffb5  cbnz	x20, #0xfffffff008859080
0xfffffff008859164: 800c8052  mov	w0, #0x64
0xfffffff008859168: 81008052  mov	w1, #4
0xfffffff00885916c: 99890094  bl	#0xfffffff00887b7d0
0xfffffff008859170: 600b0034  cbz	w0, #0xfffffff0088592dc
0xfffffff008859174: 800c8052  mov	w0, #0x64
0xfffffff008859178: a8890094  bl	#0xfffffff00887b818
0xfffffff00885917c: f70300aa  mov	x23, x0
0xfffffff008859180: 0b6c0194  bl	#0xfffffff0088b41ac
0xfffffff008859184: f60300aa  mov	x22, x0
0xfffffff008859188: 80008052  mov	w0, #4
0xfffffff00885918c: b1890094  bl	#0xfffffff00887b850
0xfffffff008859190: 17070034  cbz	w23, #0xfffffff008859270
0xfffffff008859194: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008859198: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00885919c: 694effb0  adrp	x9, #0xfffffff007226000
0xfffffff0088591a0: 2af10c91  add	x10, x9, #0x33c
0xfffffff0088591a4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088591a8: 08408152  mov	w8, #0xa00
0xfffffff0088591ac: 694effb0  adrp	x9, #0xfffffff007226000
0xfffffff0088591b0: 29413f91  add	x9, x9, #0xfd0
0xfffffff0088591b4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088591b8: 684effd0  adrp	x8, #0xfffffff007227000
0xfffffff0088591bc: 08811191  add	x8, x8, #0x460
