; Candidate 3443
; ADRP+ADD at VM 0xfffffff00873ee1c (fileoff 0x173ae1c): page=0x1fe9f3000 add_imm=0xd90

0xfffffff00873ed9c: e2dc0090  adrp	x2, #0xfffffff00a2da000
0xfffffff00873eda0: 42702091  add	x2, x2, #0x81c
0xfffffff00873eda4: 41008052  mov	w1, #2
0xfffffff00873eda8: 5c030094  bl	#0xfffffff00873fb18
0xfffffff00873edac: 700240f9  ldr	x16, [x19]
0xfffffff00873edb0: f10313aa  mov	x17, x19
0xfffffff00873edb4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873edb8: 301ac1da  autda	x16, x17
0xfffffff00873edbc: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff00873edc0: e90310aa  mov	x9, x16
0xfffffff00873edc4: c150ffb0  adrp	x1, #0xfffffff007157000
0xfffffff00873edc8: 21d42a91  add	x1, x1, #0xab5
0xfffffff00873edcc: e00313aa  mov	x0, x19
0xfffffff00873edd0: e20316aa  mov	x2, x22
0xfffffff00873edd4: f10309aa  mov	x17, x9
0xfffffff00873edd8: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff00873eddc: 11093fd7  blraa	x8, x17
0xfffffff00873ede0: d00240f9  ldr	x16, [x22]
0xfffffff00873ede4: f10316aa  mov	x17, x22
0xfffffff00873ede8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873edec: 301ac1da  autda	x16, x17
0xfffffff00873edf0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00873edf4: e90310aa  mov	x9, x16
0xfffffff00873edf8: e00316aa  mov	x0, x22
0xfffffff00873edfc: f10309aa  mov	x17, x9
0xfffffff00873ee00: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00873ee04: 11093fd7  blraa	x8, x17
0xfffffff00873ee08: 480b8052  mov	w8, #0x5a
0xfffffff00873ee0c: 68fa01b9  str	w8, [x19, #0x1f8]
0xfffffff00873ee10: 68f258f9  ldr	x8, [x19, #0x31e0]
0xfffffff00873ee14: a80200b4  cbz	x8, #0xfffffff00873ee68
0xfffffff00873ee18: fb0300f9  str	x27, [sp]
0xfffffff00873ee1c: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873ee20: 00403691  add	x0, x0, #0xd90
0xfffffff00873ee24: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873ee28: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873ee2c: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873ee30: 63782591  add	x3, x3, #0x95e
0xfffffff00873ee34: 02008052  mov	w2, #0
0xfffffff00873ee38: bed0ef97  bl	#0xfffffff008333130
0xfffffff00873ee3c: 60f258f9  ldr	x0, [x19, #0x31e0]
0xfffffff00873ee40: 68af0094  bl	#0xfffffff00876abe0
0xfffffff00873ee44: 76f258f9  ldr	x22, [x19, #0x31e0]
0xfffffff00873ee48: f60000b4  cbz	x22, #0xfffffff00873ee64
0xfffffff00873ee4c: e00316aa  mov	x0, x22
0xfffffff00873ee50: 03ae0094  bl	#0xfffffff00876a65c
0xfffffff00873ee54: 2096ffd0  adrp	x0, #0xfffffff007a04000
0xfffffff00873ee58: 00a01c91  add	x0, x0, #0x728
0xfffffff00873ee5c: e10316aa  mov	x1, x22
0xfffffff00873ee60: 2b5ef097  bl	#0xfffffff00835670c
0xfffffff00873ee64: 7ff218f9  str	xzr, [x19, #0x31e0]
0xfffffff00873ee68: 2096ffd0  adrp	x0, #0xfffffff007a04000
0xfffffff00873ee6c: 00a01d91  add	x0, x0, #0x768
0xfffffff00873ee70: a15df097  bl	#0xfffffff0083564f4
0xfffffff00873ee74: dfad0094  bl	#0xfffffff00876a5f0
0xfffffff00873ee78: 60f218f9  str	x0, [x19, #0x31e0]
0xfffffff00873ee7c: e00400b4  cbz	x0, #0xfffffff00873ef18
0xfffffff00873ee80: 61b241b9  ldr	w1, [x19, #0x1b0]
0xfffffff00873ee84: e2da49b9  ldr	w2, [x23, #0x9d8]
0xfffffff00873ee88: ebae0094  bl	#0xfffffff00876aa34
0xfffffff00873ee8c: 40090034  cbz	w0, #0xfffffff00873efb4
0xfffffff00873ee90: fb0300a9  stp	x27, x0, [sp]
0xfffffff00873ee94: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873ee98: 00403691  add	x0, x0, #0xd90
