; Candidate 6269
; ADRP+ADD at VM 0xfffffff00881e484 (fileoff 0x181a484): page=0x1fe9cb000 add_imm=0xe80

0xfffffff00881e404: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881e408: a80e8052  mov	w8, #0x75
0xfffffff00881e40c: 0050ffb0  adrp	x0, #0xfffffff00721f000
0xfffffff00881e410: 00c03c91  add	x0, x0, #0xf30
0xfffffff00881e414: f52300a9  stp	x21, x8, [sp]
0xfffffff00881e418: 1264d697  bl	#0xfffffff007db7460
0xfffffff00881e41c: 22000014  b	#0xfffffff00881e4a4
0xfffffff00881e420: a0835df8  ldur	x0, [x29, #-0x28]
0xfffffff00881e424: 01008052  mov	w1, #0
0xfffffff00881e428: 02cd8052  mov	w2, #0x668
0xfffffff00881e42c: 2200a072  movk	w2, #1, lsl #16
0xfffffff00881e430: e4b9d497  bl	#0xfffffff007d4cbc0
0xfffffff00881e434: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff00881e438: a80200f9  str	x8, [x21]
0xfffffff00881e43c: 1a000014  b	#0xfffffff00881e4a4
0xfffffff00881e440: 5b570294  bl	#0xfffffff0088b41ac
0xfffffff00881e444: f50300aa  mov	x21, x0
0xfffffff00881e448: 80008052  mov	w0, #4
0xfffffff00881e44c: 01750194  bl	#0xfffffff00887b850
0xfffffff00881e450: e80313aa  mov	x8, x19
0xfffffff00881e454: 895a40b9  ldr	w9, [x20, #0x58]
0xfffffff00881e458: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff00881e45c: 884fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881e460: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881e464: a9948152  mov	w9, #0xca5
0xfffffff00881e468: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff00881e46c: 0850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881e470: 08b13d91  add	x8, x8, #0xf6c
0xfffffff00881e474: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881e478: a80e8052  mov	w8, #0x75
0xfffffff00881e47c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881e480: f50300f9  str	x21, [sp]
0xfffffff00881e484: 404efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881e488: 00003a91  add	x0, x0, #0xe80
0xfffffff00881e48c: 418fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881e490: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881e494: 6351ff90  adrp	x3, #0xfffffff00724a000
0xfffffff00881e498: 63980e91  add	x3, x3, #0x3a6
0xfffffff00881e49c: 02008052  mov	w2, #0
0xfffffff00881e4a0: 2453ec97  bl	#0xfffffff008333130
0xfffffff00881e4a4: e00313aa  mov	x0, x19
0xfffffff00881e4a8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00881e4ac: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00881e4b0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00881e4b4: ff030291  add	sp, sp, #0x80
0xfffffff00881e4b8: ff0f5fd6  retab	
0xfffffff00881e4bc: 7f2303d5  pacibsp	
0xfffffff00881e4c0: ff8303d1  sub	sp, sp, #0xe0
0xfffffff00881e4c4: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff00881e4c8: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff00881e4cc: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff00881e4d0: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff00881e4d4: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff00881e4d8: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff00881e4dc: fd430391  add	x29, sp, #0xd0
0xfffffff00881e4e0: f70304aa  mov	x23, x4
0xfffffff00881e4e4: f50303aa  mov	x21, x3
0xfffffff00881e4e8: f60302aa  mov	x22, x2
0xfffffff00881e4ec: f40301aa  mov	x20, x1
0xfffffff00881e4f0: f30300aa  mov	x19, x0
0xfffffff00881e4f4: bf7f3aa9  stp	xzr, xzr, [x29, #-0x60]
0xfffffff00881e4f8: a00e8052  mov	w0, #0x75
0xfffffff00881e4fc: e1008052  mov	w1, #7
0xfffffff00881e500: b4740194  bl	#0xfffffff00887b7d0
