; Candidate 13789
; ADRP+ADD at VM 0xfffffff00958b51c (fileoff 0x258751c): page=0x1fe661000 add_imm=0xce8

0xfffffff00958b49c: 97720091  add	x23, x20, #0x1c
0xfffffff00958b4a0: e0031caa  mov	x0, x28
0xfffffff00958b4a4: e10317aa  mov	x1, x23
0xfffffff00958b4a8: 07fbff97  bl	#0xfffffff00958a0c4
0xfffffff00958b4ac: c0050034  cbz	w0, #0xfffffff00958b564
0xfffffff00958b4b0: fb0300aa  mov	x27, x0
0xfffffff00958b4b4: 150080d2  mov	x21, #0
0xfffffff00958b4b8: fa2740f9  ldr	x26, [sp, #0x48]
0xfffffff00958b4bc: ba0000b4  cbz	x26, #0xfffffff00958b4d0
0xfffffff00958b4c0: 400f40f9  ldr	x0, [x26, #0x18]
0xfffffff00958b4c4: 600000b4  cbz	x0, #0xfffffff00958b4d0
0xfffffff00958b4c8: 01008052  mov	w1, #0
0xfffffff00958b4cc: d5590094  bl	#0xfffffff0095a1c20
0xfffffff00958b4d0: 330100b4  cbz	x19, #0xfffffff00958b4f4
0xfffffff00958b4d4: 0033ffb0  adrp	x0, #0xfffffff007bec000
0xfffffff00958b4d8: 00a03191  add	x0, x0, #0xc68
0xfffffff00958b4dc: e10313aa  mov	x1, x19
0xfffffff00958b4e0: 8b2cb797  bl	#0xfffffff00835670c
0xfffffff00958b4e4: e16f00d0  adrp	x1, #0xfffffff00a389000
0xfffffff00958b4e8: 21c00391  add	x1, x1, #0xf0
0xfffffff00958b4ec: e0448092  mov	x0, #-0x228
0xfffffff00958b4f0: 785fb597  bl	#0xfffffff0082e32d0
0xfffffff00958b4f4: 340100b4  cbz	x20, #0xfffffff00958b518
0xfffffff00958b4f8: 0033ffb0  adrp	x0, #0xfffffff007bec000
0xfffffff00958b4fc: 00a03291  add	x0, x0, #0xca8
0xfffffff00958b500: e10314aa  mov	x1, x20
0xfffffff00958b504: 822cb797  bl	#0xfffffff00835670c
0xfffffff00958b508: e16f00d0  adrp	x1, #0xfffffff00a389000
0xfffffff00958b50c: 21c00391  add	x1, x1, #0xf0
0xfffffff00958b510: e0448092  mov	x0, #-0x228
0xfffffff00958b514: 6f5fb597  bl	#0xfffffff0082e32d0
0xfffffff00958b518: 350100b4  cbz	x21, #0xfffffff00958b53c
0xfffffff00958b51c: 0033ffb0  adrp	x0, #0xfffffff007bec000
0xfffffff00958b520: 00a03391  add	x0, x0, #0xce8
0xfffffff00958b524: e10315aa  mov	x1, x21
0xfffffff00958b528: 792cb797  bl	#0xfffffff00835670c
0xfffffff00958b52c: e16f00d0  adrp	x1, #0xfffffff00a389000
0xfffffff00958b530: 21c00391  add	x1, x1, #0xf0
0xfffffff00958b534: e0408092  mov	x0, #-0x208
0xfffffff00958b538: 665fb597  bl	#0xfffffff0082e32d0
0xfffffff00958b53c: 603f0013  sxth	w0, w27
0xfffffff00958b540: fe680094  bl	#0xfffffff0095a5938
0xfffffff00958b544: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff00958b548: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff00958b54c: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00958b550: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff00958b554: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff00958b558: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff00958b55c: ff830391  add	sp, sp, #0xe0
0xfffffff00958b560: ff0f5fd6  retab	
0xfffffff00958b564: f71700f9  str	x23, [sp, #0x28]
0xfffffff00958b568: bb021912  and	w27, w21, #0x80
0xfffffff00958b56c: 0033ffb0  adrp	x0, #0xfffffff007bec000
0xfffffff00958b570: 00a02c91  add	x0, x0, #0xb28
0xfffffff00958b574: e02bb797  bl	#0xfffffff0083564f4
0xfffffff00958b578: f50300aa  mov	x21, x0
0xfffffff00958b57c: a00000b4  cbz	x0, #0xfffffff00958b590
0xfffffff00958b580: e16f00d0  adrp	x1, #0xfffffff00a389000
0xfffffff00958b584: 21c00391  add	x1, x1, #0xf0
0xfffffff00958b588: 00418052  mov	w0, #0x208
0xfffffff00958b58c: 515fb597  bl	#0xfffffff0082e32d0
0xfffffff00958b590: f52300f9  str	x21, [sp, #0x40]
0xfffffff00958b594: b5031af8  stur	x21, [x29, #-0x60]
0xfffffff00958b598: 68fefeb0  adrp	x8, #0xfffffff007558000
