; Candidate 16590
; ADRP+ADD at VM 0xfffffff009ef9414 (fileoff 0x2ef5414): page=0x1fd953000 add_imm=0xe1b

0xfffffff009ef9394: 20f6ff54  b.eq	#0xfffffff009ef9258
0xfffffff009ef9398: 694e51f9  ldr	x9, [x19, #0x2298]
0xfffffff009ef939c: 690400b4  cbz	x9, #0xfffffff009ef9428
0xfffffff009ef93a0: 0c008052  mov	w12, #0
0xfffffff009ef93a4: 4a090091  add	x10, x10, #2
0xfffffff009ef93a8: 4de15f38  ldurb	w13, [x10, #-2]
0xfffffff009ef93ac: bf210071  cmp	w13, #8
0xfffffff009ef93b0: 00010054  b.eq	#0xfffffff009ef93d0
0xfffffff009ef93b4: 4d454078  ldrh	w13, [x10], #4
0xfffffff009ef93b8: ad1d0011  add	w13, w13, #7
0xfffffff009ef93bc: ad351d12  and	w13, w13, #0x1fff8
0xfffffff009ef93c0: ac010c0b  add	w12, w13, w12
0xfffffff009ef93c4: 080500f1  subs	x8, x8, #1
0xfffffff009ef93c8: 01ffff54  b.ne	#0xfffffff009ef93a8
0xfffffff009ef93cc: 17000014  b	#0xfffffff009ef9428
0xfffffff009ef93d0: 68412c8b  add	x8, x11, w12, uxtw
0xfffffff009ef93d4: 4a014079  ldrh	w10, [x10]
0xfffffff009ef93d8: 5fa10071  cmp	w10, #0x28
0xfffffff009ef93dc: 040940fa  ccmp	x8, #0, #4, eq
0xfffffff009ef93e0: 40020054  b.eq	#0xfffffff009ef9428
0xfffffff009ef93e4: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff009ef93e8: 1f0500b1  cmn	x8, #1
0xfffffff009ef93ec: 001149fa  ccmp	x8, x9, #0, ne
0xfffffff009ef93f0: c2010054  b.hs	#0xfffffff009ef9428
0xfffffff009ef93f4: 083e8452  mov	w8, #0x21f0
0xfffffff009ef93f8: 6802088b  add	x8, x19, x8
0xfffffff009ef93fc: 890640f9  ldr	x9, [x20, #8]
0xfffffff009ef9400: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009ef9404: 88cafef0  adrp	x8, #0xfffffff00784c000
0xfffffff009ef9408: 08c13991  add	x8, x8, #0xe70
0xfffffff009ef940c: 69778752  mov	w9, #0x3bbb
0xfffffff009ef9410: e82700a9  stp	x8, x9, [sp]
0xfffffff009ef9414: 80cafef0  adrp	x0, #0xfffffff00784c000
0xfffffff009ef9418: 006c3891  add	x0, x0, #0xe1b
0xfffffff009ef941c: 2a19fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ef9420: 35008052  mov	w21, #1
0xfffffff009ef9424: b7ffff17  b	#0xfffffff009ef9300
0xfffffff009ef9428: e00313aa  mov	x0, x19
0xfffffff009ef942c: e10314aa  mov	x1, x20
0xfffffff009ef9430: 12eeff97  bl	#0xfffffff009ef4c78
0xfffffff009ef9434: 1f040071  cmp	w0, #1
0xfffffff009ef9438: e1040054  b.ne	#0xfffffff009ef94d4
0xfffffff009ef943c: e5430191  add	x5, sp, #0x50
0xfffffff009ef9440: e00313aa  mov	x0, x19
0xfffffff009ef9444: 81008052  mov	w1, #4
0xfffffff009ef9448: 62008052  mov	w2, #3
0xfffffff009ef944c: 030080d2  mov	x3, #0
0xfffffff009ef9450: 04008052  mov	w4, #0
0xfffffff009ef9454: 64e3ff97  bl	#0xfffffff009ef21e4
0xfffffff009ef9458: f50300aa  mov	x21, x0
0xfffffff009ef945c: 20f5ff35  cbnz	w0, #0xfffffff009ef9300
0xfffffff009ef9460: e00314aa  mov	x0, x20
0xfffffff009ef9464: 99ddff97  bl	#0xfffffff009ef0ac8
0xfffffff009ef9468: e20300aa  mov	x2, x0
0xfffffff009ef946c: f62b40f9  ldr	x22, [sp, #0x50]
0xfffffff009ef9470: e00313aa  mov	x0, x19
0xfffffff009ef9474: e10314aa  mov	x1, x20
0xfffffff009ef9478: e30316aa  mov	x3, x22
0xfffffff009ef947c: ddf6ff97  bl	#0xfffffff009ef6ff0
0xfffffff009ef9480: f50300aa  mov	x21, x0
0xfffffff009ef9484: 40150034  cbz	w0, #0xfffffff009ef972c
0xfffffff009ef9488: 083e8452  mov	w8, #0x21f0
0xfffffff009ef948c: 7702088b  add	x23, x19, x8
0xfffffff009ef9490: 980640f9  ldr	x24, [x20, #8]
