; Candidate 907
; ADRP+ADD at VM 0xfffffff008100c90 (fileoff 0x10fcc90): page=0x1fef79000 add_imm=0xe28

0xfffffff008100c10: d5aef297  bl	#0xfffffff007dac764
0xfffffff008100c14: d9ffff17  b	#0xfffffff008100b78
0xfffffff008100c18: 80080190  adrp	x0, #0xfffffff00a210000
0xfffffff008100c1c: 00202791  add	x0, x0, #0x9c8
0xfffffff008100c20: e10314aa  mov	x1, x20
0xfffffff008100c24: 02008052  mov	w2, #0
0xfffffff008100c28: b4abf297  bl	#0xfffffff007dabaf8
0xfffffff008100c2c: 97ffff17  b	#0xfffffff008100a88
0xfffffff008100c30: 80080190  adrp	x0, #0xfffffff00a210000
0xfffffff008100c34: 00202791  add	x0, x0, #0x9c8
0xfffffff008100c38: e10314aa  mov	x1, x20
0xfffffff008100c3c: 02008052  mov	w2, #0
0xfffffff008100c40: aeabf297  bl	#0xfffffff007dabaf8
0xfffffff008100c44: b1ffff17  b	#0xfffffff008100b08
0xfffffff008100c48: c87bffb0  adrp	x8, #0xfffffff007079000
0xfffffff008100c4c: 08d13691  add	x8, x8, #0xdb4
0xfffffff008100c50: e9278052  mov	w9, #0x13f
0xfffffff008100c54: e82700a9  stp	x8, x9, [sp]
0xfffffff008100c58: c07bffb0  adrp	x0, #0xfffffff007079000
0xfffffff008100c5c: 00f03591  add	x0, x0, #0xd7c
0xfffffff008100c60: 2b4e0e94  bl	#0xfffffff00849450c
0xfffffff008100c64: c87bffb0  adrp	x8, #0xfffffff007079000
0xfffffff008100c68: 08d13691  add	x8, x8, #0xdb4
0xfffffff008100c6c: 292c8052  mov	w9, #0x161
0xfffffff008100c70: e82700a9  stp	x8, x9, [sp]
0xfffffff008100c74: c07bffb0  adrp	x0, #0xfffffff007079000
0xfffffff008100c78: 00f03691  add	x0, x0, #0xdbc
0xfffffff008100c7c: 244e0e94  bl	#0xfffffff00849450c
0xfffffff008100c80: c87bffb0  adrp	x8, #0xfffffff007079000
0xfffffff008100c84: 08d13691  add	x8, x8, #0xdb4
0xfffffff008100c88: 492f8052  mov	w9, #0x17a
0xfffffff008100c8c: e82700a9  stp	x8, x9, [sp]
0xfffffff008100c90: c07bffb0  adrp	x0, #0xfffffff007079000
0xfffffff008100c94: 00a03891  add	x0, x0, #0xe28
0xfffffff008100c98: 1d4e0e94  bl	#0xfffffff00849450c
0xfffffff008100c9c: c87bffb0  adrp	x8, #0xfffffff007079000
0xfffffff008100ca0: 08d13691  add	x8, x8, #0xdb4
0xfffffff008100ca4: 89828052  mov	w9, #0x414
0xfffffff008100ca8: e82700a9  stp	x8, x9, [sp]
0xfffffff008100cac: c07bffd0  adrp	x0, #0xfffffff00707a000
0xfffffff008100cb0: 00242791  add	x0, x0, #0x9c9
0xfffffff008100cb4: 164e0e94  bl	#0xfffffff00849450c
0xfffffff008100cb8: c87bffb0  adrp	x8, #0xfffffff007079000
0xfffffff008100cbc: 08d13691  add	x8, x8, #0xdb4
0xfffffff008100cc0: a92e8052  mov	w9, #0x175
0xfffffff008100cc4: e82700a9  stp	x8, x9, [sp]
0xfffffff008100cc8: c07bffb0  adrp	x0, #0xfffffff007079000
0xfffffff008100ccc: 00d83791  add	x0, x0, #0xdf6
0xfffffff008100cd0: 0f4e0e94  bl	#0xfffffff00849450c
0xfffffff008100cd4: 7f2303d5  pacibsp	
0xfffffff008100cd8: fc6fbca9  stp	x28, x27, [sp, #-0x40]!
0xfffffff008100cdc: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008100ce0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008100ce4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008100ce8: fdc30091  add	x29, sp, #0x30
0xfffffff008100cec: ffc30cd1  sub	sp, sp, #0x330
0xfffffff008100cf0: 280601f0  adrp	x8, #0xfffffff00a1c7000
0xfffffff008100cf4: 08010091  add	x8, x8, #0
0xfffffff008100cf8: 080140f9  ldr	x8, [x8]
0xfffffff008100cfc: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff008100d00: 88050190  adrp	x8, #0xfffffff00a1b0000
0xfffffff008100d04: 081148b9  ldr	w8, [x8, #0x810]
0xfffffff008100d08: 68000034  cbz	w8, #0xfffffff008100d14
0xfffffff008100d0c: 000080d2  mov	x0, #0
