; Candidate 15262
; ADRP+ADD at VM 0xfffffff009b45730 (fileoff 0x2b41730): page=0x1fdae3000 add_imm=0xed0

0xfffffff009b456b0: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b456b4: e00313aa  mov	x0, x19
0xfffffff009b456b8: 010080d2  mov	x1, #0
0xfffffff009b456bc: f10308aa  mov	x17, x8
0xfffffff009b456c0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b456c4: 31093fd7  blraa	x9, x17
0xfffffff009b456c8: fc0300aa  mov	x28, x0
0xfffffff009b456cc: 700240f9  ldr	x16, [x19]
0xfffffff009b456d0: f10313aa  mov	x17, x19
0xfffffff009b456d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b456d8: 301ac1da  autda	x16, x17
0xfffffff009b456dc: f10310aa  mov	x17, x16
0xfffffff009b456e0: f147c1da  xpacd	x17
0xfffffff009b456e4: 1f0211eb  cmp	x16, x17
0xfffffff009b456e8: 40000054  b.eq	#0xfffffff009b456f0
0xfffffff009b456ec: 408e38d4  brk	#0xc472
0xfffffff009b456f0: 08620891  add	x8, x16, #0x218
0xfffffff009b456f4: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b456f8: e00313aa  mov	x0, x19
0xfffffff009b456fc: 010080d2  mov	x1, #0
0xfffffff009b45700: f10308aa  mov	x17, x8
0xfffffff009b45704: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b45708: 31093fd7  blraa	x9, x17
0xfffffff009b4570c: e80319aa  mov	x8, x25
0xfffffff009b45710: e81300f9  str	x8, [sp, #0x20]
0xfffffff009b45714: 28d7feb0  adrp	x8, #0xfffffff00762a000
0xfffffff009b45718: 09692591  add	x9, x8, #0x95a
0xfffffff009b4571c: 28d7fe90  adrp	x8, #0xfffffff007629000
0xfffffff009b45720: 08f11f91  add	x8, x8, #0x7fc
0xfffffff009b45724: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009b45728: fc0300a9  stp	x28, x0, [sp]
0xfffffff009b4572c: fc2740f9  ldr	x28, [sp, #0x48]
0xfffffff009b45730: 00d7fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b45734: 00403b91  add	x0, x0, #0xed0
0xfffffff009b45738: e10316aa  mov	x1, x22
0xfffffff009b4573c: e2031baa  mov	x2, x27
0xfffffff009b45740: 23d7fef0  adrp	x3, #0xfffffff00762c000
0xfffffff009b45744: 63341e91  add	x3, x3, #0x78d
0xfffffff009b45748: 7ab69f97  bl	#0xfffffff008333130
0xfffffff009b4574c: f70318aa  mov	x23, x24
0xfffffff009b45750: 794603b9  str	w25, [x19, #0x344]
0xfffffff009b45754: 2a070011  add	w10, w25, #1
0xfffffff009b45758: 68a24d39  ldrb	w8, [x19, #0x368]
0xfffffff009b4575c: 69a64d39  ldrb	w9, [x19, #0x369]
0xfffffff009b45760: 2b01080b  add	w11, w9, w8
0xfffffff009b45764: b50a0011  add	w21, w21, #2
0xfffffff009b45768: 6c4243b9  ldr	w12, [x19, #0x340]
0xfffffff009b4576c: f80317aa  mov	x24, x23
0xfffffff009b45770: fa0314aa  mov	x26, x20
0xfffffff009b45774: f9030aaa  mov	x25, x10
0xfffffff009b45778: 7f010c6b  cmp	w11, w12
0xfffffff009b4577c: 63c9ff54  b.lo	#0xfffffff009b450a8
0xfffffff009b45780: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b45784: b4111836  tbz	w20, #3, #0xfffffff009b459b8
0xfffffff009b45788: 9406f036  tbz	w20, #0x1e, #0xfffffff009b45858
0xfffffff009b4578c: c4218e97  bl	#0xfffffff007ecde9c
0xfffffff009b45790: 1f040071  cmp	w0, #1
0xfffffff009b45794: 21060054  b.ne	#0xfffffff009b45858
0xfffffff009b45798: 700240f9  ldr	x16, [x19]
0xfffffff009b4579c: f10313aa  mov	x17, x19
0xfffffff009b457a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b457a4: 301ac1da  autda	x16, x17
0xfffffff009b457a8: 113d80d2  mov	x17, #0x1e8
0xfffffff009b457ac: 1002118b  add	x16, x16, x17
