; Candidate 12134
; ADRP+ADD at VM 0xfffffff009012e00 (fileoff 0x200ee00): page=0x12fb000 add_imm=0xda0

0xfffffff009012d80: 1f7c09a9  stp	xzr, xzr, [x0, #0x90]
0xfffffff009012d84: 0028803d  str	q0, [x0, #0xa0]
0xfffffff009012d88: 1fb000b9  str	wzr, [x0, #0xb0]
0xfffffff009012d8c: 1fd00239  strb	wzr, [x0, #0xb4]
0xfffffff009012d90: 00808b3c  stur	q0, [x0, #0xb8]
0xfffffff009012d94: 00808c3c  stur	q0, [x0, #0xc8]
0xfffffff009012d98: 00808d3c  stur	q0, [x0, #0xd8]
0xfffffff009012d9c: 00808e3c  stur	q0, [x0, #0xe8]
0xfffffff009012da0: 00808f3c  stur	q0, [x0, #0xf8]
0xfffffff009012da4: 600200ad  stp	q0, q0, [x19]
0xfffffff009012da8: 600a803d  str	q0, [x19, #0x20]
0xfffffff009012dac: 1f3801b9  str	wzr, [x0, #0x138]
0xfffffff009012db0: 6042833c  stur	q0, [x19, #0x34]
0xfffffff009012db4: 6042843c  stur	q0, [x19, #0x44]
0xfffffff009012db8: 6042853c  stur	q0, [x19, #0x54]
0xfffffff009012dbc: 604206fc  stur	d0, [x19, #0x64]
0xfffffff009012dc0: 1f7401b9  str	wzr, [x0, #0x174]
0xfffffff009012dc4: 1ff00279  strh	wzr, [x0, #0x178]
0xfffffff009012dc8: 60420afc  stur	d0, [x19, #0xa4]
0xfffffff009012dcc: 1fb401b9  str	wzr, [x0, #0x1b4]
0xfffffff009012dd0: 00e000fd  str	d0, [x0, #0x1c0]
0xfffffff009012dd4: 1fc801b9  str	wzr, [x0, #0x1c8]
0xfffffff009012dd8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009012ddc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009012de0: ff0f5fd6  retab	
0xfffffff009012de4: 5f2403d5  bti	c
0xfffffff009012de8: d951cb17  b	#0xfffffff0082e754c
0xfffffff009012dec: 5f2403d5  bti	c
0xfffffff009012df0: 200020d4  brk	#1
0xfffffff009012df4: 5f2403d5  bti	c
0xfffffff009012df8: 200020d4  brk	#1
0xfffffff009012dfc: 5f2403d5  bti	c
0xfffffff009012e00: c09700f0  adrp	x0, #0xfffffff00a30d000
0xfffffff009012e04: 00803691  add	x0, x0, #0xda0
0xfffffff009012e08: c0035fd6  ret	
0xfffffff009012e0c: 7f2303d5  pacibsp	
0xfffffff009012e10: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009012e14: fd030091  mov	x29, sp
0xfffffff009012e18: 6121fff0  adrp	x1, #0xfffffff007441000
0xfffffff009012e1c: 21942491  add	x1, x1, #0x925
0xfffffff009012e20: 2259ff90  adrp	x2, #0xfffffff007b36000
0xfffffff009012e24: 42a844f9  ldr	x2, [x2, #0x950]
0xfffffff009012e28: 033d8052  mov	w3, #0x1e8
0xfffffff009012e2c: 4343cb97  bl	#0xfffffff0082e3b38
0xfffffff009012e30: 5059ffb0  adrp	x16, #0xfffffff007b3b000
0xfffffff009012e34: 10222f91  add	x16, x16, #0xbc8
0xfffffff009012e38: 10420091  add	x16, x16, #0x10
0xfffffff009012e3c: f10300aa  mov	x17, x0
0xfffffff009012e40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009012e44: 300ac1da  pacda	x16, x17
0xfffffff009012e48: 100000f9  str	x16, [x0]
0xfffffff009012e4c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009012e50: ff0f5fd6  retab	
0xfffffff009012e54: 5f2403d5  bti	c
0xfffffff009012e58: 000080d2  mov	x0, #0
0xfffffff009012e5c: c0035fd6  ret	
0xfffffff009012e60: 5f2403d5  bti	c
0xfffffff009012e64: e10300aa  mov	x1, x0
0xfffffff009012e68: 4059ffd0  adrp	x0, #0xfffffff007b3c000
0xfffffff009012e6c: 00003791  add	x0, x0, #0xdc0
0xfffffff009012e70: f251cb17  b	#0xfffffff0082e7638
0xfffffff009012e74: 5f2403d5  bti	c
0xfffffff009012e78: e20301aa  mov	x2, x1
0xfffffff009012e7c: e10300aa  mov	x1, x0
