; Candidate 14269
; ADRP+ADD at VM 0xfffffff00975c17c (fileoff 0x275817c): page=0xc2f000 add_imm=0xea8

0xfffffff00975c0fc: c00100b5  cbnz	x0, #0xfffffff00975c134
0xfffffff00975c100: 900240f9  ldr	x16, [x20]
0xfffffff00975c104: f10314aa  mov	x17, x20
0xfffffff00975c108: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975c10c: 301ac1da  autda	x16, x17
0xfffffff00975c110: 113d80d2  mov	x17, #0x1e8
0xfffffff00975c114: 1002118b  add	x16, x16, x17
0xfffffff00975c118: 080240f9  ldr	x8, [x16]
0xfffffff00975c11c: e90310aa  mov	x9, x16
0xfffffff00975c120: e00314aa  mov	x0, x20
0xfffffff00975c124: 010080d2  mov	x1, #0
0xfffffff00975c128: f10309aa  mov	x17, x9
0xfffffff00975c12c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975c130: 11093fd7  blraa	x8, x17
0xfffffff00975c134: e00314aa  mov	x0, x20
0xfffffff00975c138: 4932fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c13c: e00314aa  mov	x0, x20
0xfffffff00975c140: 4732fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c144: c00100b5  cbnz	x0, #0xfffffff00975c17c
0xfffffff00975c148: 900240f9  ldr	x16, [x20]
0xfffffff00975c14c: f10314aa  mov	x17, x20
0xfffffff00975c150: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975c154: 301ac1da  autda	x16, x17
0xfffffff00975c158: 114380d2  mov	x17, #0x218
0xfffffff00975c15c: 1002118b  add	x16, x16, x17
0xfffffff00975c160: 080240f9  ldr	x8, [x16]
0xfffffff00975c164: e90310aa  mov	x9, x16
0xfffffff00975c168: e00314aa  mov	x0, x20
0xfffffff00975c16c: 010080d2  mov	x1, #0
0xfffffff00975c170: f10309aa  mov	x17, x9
0xfffffff00975c174: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00975c178: 11093fd7  blraa	x8, x17
0xfffffff00975c17c: 606100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff00975c180: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975c184: f521ae97  bl	#0xfffffff0082e4958
0xfffffff00975c188: f60300aa  mov	x22, x0
0xfffffff00975c18c: e00314aa  mov	x0, x20
0xfffffff00975c190: 3332fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c194: f70300aa  mov	x23, x0
0xfffffff00975c198: e00100b5  cbnz	x0, #0xfffffff00975c1d4
0xfffffff00975c19c: 900240f9  ldr	x16, [x20]
0xfffffff00975c1a0: f10314aa  mov	x17, x20
0xfffffff00975c1a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975c1a8: 301ac1da  autda	x16, x17
0xfffffff00975c1ac: 113d80d2  mov	x17, #0x1e8
0xfffffff00975c1b0: 1002118b  add	x16, x16, x17
0xfffffff00975c1b4: 080240f9  ldr	x8, [x16]
0xfffffff00975c1b8: e90310aa  mov	x9, x16
0xfffffff00975c1bc: e00314aa  mov	x0, x20
0xfffffff00975c1c0: 010080d2  mov	x1, #0
0xfffffff00975c1c4: f10309aa  mov	x17, x9
0xfffffff00975c1c8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975c1cc: 11093fd7  blraa	x8, x17
0xfffffff00975c1d0: f70300aa  mov	x23, x0
0xfffffff00975c1d4: e00314aa  mov	x0, x20
0xfffffff00975c1d8: 2132fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c1dc: 9cf1feb0  adrp	x28, #0xfffffff00758d000
0xfffffff00975c1e0: 9cc73491  add	x28, x28, #0xd31
0xfffffff00975c1e4: 88f1feb0  adrp	x8, #0xfffffff00758d000
0xfffffff00975c1e8: 08c93491  add	x8, x8, #0xd32
0xfffffff00975c1ec: 1f0000f1  cmp	x0, #0
0xfffffff00975c1f0: 18019c9a  csel	x24, x8, x28, eq
0xfffffff00975c1f4: e00314aa  mov	x0, x20
0xfffffff00975c1f8: 1932fd97  bl	#0xfffffff0096a8a5c
