; Candidate 10850
; ADRP+ADD at VM 0xfffffff008de9ae8 (fileoff 0x1de5ae8): page=0x1fe5db000 add_imm=0xe15

0xfffffff008de9a68: 4a092191  add	x10, x10, #0x842
0xfffffff008de9a6c: ceffff17  b	#0xfffffff008de99a4
0xfffffff008de9a70: e8768052  mov	w8, #0x3b7
0xfffffff008de9a74: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9a78: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9a7c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9a80: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9a84: 08493991  add	x8, x8, #0xe52
0xfffffff008de9a88: ca2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008de9a8c: 4a4d0391  add	x10, x10, #0xd3
0xfffffff008de9a90: c5ffff17  b	#0xfffffff008de99a4
0xfffffff008de9a94: 287a8052  mov	w8, #0x3d1
0xfffffff008de9a98: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9a9c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9aa0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9aa4: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9aa8: 08493991  add	x8, x8, #0xe52
0xfffffff008de9aac: ca2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008de9ab0: 4a850391  add	x10, x10, #0xe1
0xfffffff008de9ab4: bcffff17  b	#0xfffffff008de99a4
0xfffffff008de9ab8: f60300aa  mov	x22, x0
0xfffffff008de9abc: c87e4093  sxtw	x8, w22
0xfffffff008de9ac0: 697a8052  mov	w9, #0x3d3
0xfffffff008de9ac4: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de9ac8: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de9acc: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de9ad0: c92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de9ad4: 29493991  add	x9, x9, #0xe52
0xfffffff008de9ad8: cb2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de9adc: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de9ae0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de9ae4: eb0300f9  str	x11, [sp]
0xfffffff008de9ae8: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de9aec: 00543891  add	x0, x0, #0xe15
0xfffffff008de9af0: 4cb5d597  bl	#0xfffffff008357020
0xfffffff008de9af4: b2ffff17  b	#0xfffffff008de99bc
0xfffffff008de9af8: 887a8052  mov	w8, #0x3d4
0xfffffff008de9afc: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9b00: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9b04: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de9b08: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9b0c: 08493991  add	x8, x8, #0xe52
0xfffffff008de9b10: ca2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008de9b14: 4ac50391  add	x10, x10, #0xf1
0xfffffff008de9b18: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de9b1c: ea0300f9  str	x10, [sp]
0xfffffff008de9b20: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de9b24: 00543891  add	x0, x0, #0xe15
0xfffffff008de9b28: 3eb5d597  bl	#0xfffffff008357020
0xfffffff008de9b2c: 76008012  mov	w22, #-4
0xfffffff008de9b30: a3ffff17  b	#0xfffffff008de99bc
0xfffffff008de9b34: f80300aa  mov	x24, x0
0xfffffff008de9b38: 087f4093  sxtw	x8, w24
0xfffffff008de9b3c: 89808052  mov	w9, #0x404
0xfffffff008de9b40: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de9b44: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de9b48: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de9b4c: c92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de9b50: 29493991  add	x9, x9, #0xe52
0xfffffff008de9b54: cb2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de9b58: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de9b5c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de9b60: eb0300f9  str	x11, [sp]
0xfffffff008de9b64: c02efff0  adrp	x0, #0xfffffff0073c4000
