; Candidate 7110
; ADRP+ADD at VM 0xfffffff00885840c (fileoff 0x185440c): page=0x1fe9ce000 add_imm=0xd98

0xfffffff00885838c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008858390: 02008052  mov	w2, #0
0xfffffff008858394: 676beb97  bl	#0xfffffff008333130
0xfffffff008858398: 42000014  b	#0xfffffff0088584a0
0xfffffff00885839c: 800c8052  mov	w0, #0x64
0xfffffff0088583a0: 81008052  mov	w1, #4
0xfffffff0088583a4: 0b8d0094  bl	#0xfffffff00887b7d0
0xfffffff0088583a8: e02f0034  cbz	w0, #0xfffffff0088589a4
0xfffffff0088583ac: 800c8052  mov	w0, #0x64
0xfffffff0088583b0: 1a8d0094  bl	#0xfffffff00887b818
0xfffffff0088583b4: f80300aa  mov	x24, x0
0xfffffff0088583b8: 7d6f0194  bl	#0xfffffff0088b41ac
0xfffffff0088583bc: f70300aa  mov	x23, x0
0xfffffff0088583c0: 80008052  mov	w0, #4
0xfffffff0088583c4: 238d0094  bl	#0xfffffff00887b850
0xfffffff0088583c8: 582b0034  cbz	w24, #0xfffffff008858930
0xfffffff0088583cc: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff0088583d0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff0088583d4: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff0088583d8: cb5a40b9  ldr	w11, [x22, #0x58]
0xfffffff0088583dc: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff0088583e0: f62f05a9  stp	x22, x11, [sp, #0x50]
0xfffffff0088583e4: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff0088583e8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088583ec: 68288152  mov	w8, #0x943
0xfffffff0088583f0: 694effd0  adrp	x9, #0xfffffff007226000
0xfffffff0088583f4: 29ad3491  add	x9, x9, #0xd2b
0xfffffff0088583f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088583fc: 684efff0  adrp	x8, #0xfffffff007227000
0xfffffff008858400: 08811191  add	x8, x8, #0x460
0xfffffff008858404: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008858408: 880c8052  mov	w8, #0x64
0xfffffff00885840c: 604effd0  adrp	x0, #0xfffffff007226000
0xfffffff008858410: 00603691  add	x0, x0, #0xd98
0xfffffff008858414: f72300a9  stp	x23, x8, [sp]
0xfffffff008858418: 127cd597  bl	#0xfffffff007db7460
0xfffffff00885841c: 62010014  b	#0xfffffff0088589a4
0xfffffff008858420: 636f0194  bl	#0xfffffff0088b41ac
0xfffffff008858424: f70300aa  mov	x23, x0
0xfffffff008858428: 80008052  mov	w0, #4
0xfffffff00885842c: 098d0094  bl	#0xfffffff00887b850
0xfffffff008858430: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff008858434: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008858438: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff00885843c: cb5a40b9  ldr	w11, [x22, #0x58]
0xfffffff008858440: 8c2640b9  ldr	w12, [x20, #0x24]
0xfffffff008858444: 4d7e8012  mov	w13, #-0x3f3
0xfffffff008858448: ec3707a9  stp	x12, x13, [sp, #0x70]
0xfffffff00885844c: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff008858450: f62f05a9  stp	x22, x11, [sp, #0x50]
0xfffffff008858454: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008858458: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00885845c: a8268152  mov	w8, #0x935
0xfffffff008858460: 694effd0  adrp	x9, #0xfffffff007226000
0xfffffff008858464: 29ad3491  add	x9, x9, #0xd2b
0xfffffff008858468: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885846c: 684efff0  adrp	x8, #0xfffffff007227000
0xfffffff008858470: 08811191  add	x8, x8, #0x460
0xfffffff008858474: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008858478: 880c8052  mov	w8, #0x64
0xfffffff00885847c: e34fff90  adrp	x3, #0xfffffff007254000
0xfffffff008858480: 63300d91  add	x3, x3, #0x34c
0xfffffff008858484: f72300a9  stp	x23, x8, [sp]
0xfffffff008858488: 804cffb0  adrp	x0, #0xfffffff0071e9000
