; Candidate 15109
; ADRP+ADD at VM 0xfffffff009aa430c (fileoff 0x2aa030c): page=0x1fe21a000 add_imm=0xe20

0xfffffff009aa428c: 080080d2  mov	x8, #0
0xfffffff009aa4290: 605e40f9  ldr	x0, [x19, #0xb8]
0xfffffff009aa4294: 800100b4  cbz	x0, #0xfffffff009aa42c4
0xfffffff009aa4298: 100040f9  ldr	x16, [x0]
0xfffffff009aa429c: f10300aa  mov	x17, x0
0xfffffff009aa42a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009aa42a4: 301ac1da  autda	x16, x17
0xfffffff009aa42a8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009aa42ac: e90310aa  mov	x9, x16
0xfffffff009aa42b0: f10309aa  mov	x17, x9
0xfffffff009aa42b4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009aa42b8: 11093fd7  blraa	x8, x17
0xfffffff009aa42bc: 7f5e00f9  str	xzr, [x19, #0xb8]
0xfffffff009aa42c0: 684a40f9  ldr	x8, [x19, #0x90]
0xfffffff009aa42c4: a80200b4  cbz	x8, #0xfffffff009aa4318
0xfffffff009aa42c8: 000140f9  ldr	x0, [x8]
0xfffffff009aa42cc: 600000b4  cbz	x0, #0xfffffff009aa42d8
0xfffffff009aa42d0: f7cca297  bl	#0xfffffff0083576ac
0xfffffff009aa42d4: 684a40f9  ldr	x8, [x19, #0x90]
0xfffffff009aa42d8: 000540f9  ldr	x0, [x8, #8]
0xfffffff009aa42dc: 400100b4  cbz	x0, #0xfffffff009aa4304
0xfffffff009aa42e0: 100040f9  ldr	x16, [x0]
0xfffffff009aa42e4: f10300aa  mov	x17, x0
0xfffffff009aa42e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009aa42ec: 301ac1da  autda	x16, x17
0xfffffff009aa42f0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009aa42f4: e90310aa  mov	x9, x16
0xfffffff009aa42f8: f10309aa  mov	x17, x9
0xfffffff009aa42fc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009aa4300: 11093fd7  blraa	x8, x17
0xfffffff009aa4304: 614a40f9  ldr	x1, [x19, #0x90]
0xfffffff009aa4308: 7f4a00f9  str	xzr, [x19, #0x90]
0xfffffff009aa430c: c010ffd0  adrp	x0, #0xfffffff007cbe000
0xfffffff009aa4310: 00803891  add	x0, x0, #0xe20
0xfffffff009aa4314: fec8a297  bl	#0xfffffff00835670c
0xfffffff009aa4318: 00008052  mov	w0, #0
0xfffffff009aa431c: 60000014  b	#0xfffffff009aa449c
0xfffffff009aa4320: 140080d2  mov	x20, #0
0xfffffff009aa4324: 700240f9  ldr	x16, [x19]
0xfffffff009aa4328: d01ac1da  autda	x16, x22
0xfffffff009aa432c: 116080d2  mov	x17, #0x300
0xfffffff009aa4330: 1002118b  add	x16, x16, x17
0xfffffff009aa4334: 080240f9  ldr	x8, [x16]
0xfffffff009aa4338: e90310aa  mov	x9, x16
0xfffffff009aa433c: e00313aa  mov	x0, x19
0xfffffff009aa4340: 21008052  mov	w1, #1
0xfffffff009aa4344: f10309aa  mov	x17, x9
0xfffffff009aa4348: 51d6f8f2  movk	x17, #0xc6b2, lsl #48
0xfffffff009aa434c: 11093fd7  blraa	x8, x17
0xfffffff009aa4350: e00313aa  mov	x0, x19
0xfffffff009aa4354: 4082a397  bl	#0xfffffff008384c54
0xfffffff009aa4358: a0000036  tbz	w0, #0, #0xfffffff009aa436c
0xfffffff009aa435c: 18008052  mov	w24, #0
0xfffffff009aa4360: 17008052  mov	w23, #0
0xfffffff009aa4364: 15008052  mov	w21, #0
0xfffffff009aa4368: 0b000014  b	#0xfffffff009aa4394
0xfffffff009aa436c: f40000b4  cbz	x20, #0xfffffff009aa4388
0xfffffff009aa4370: 68b240b9  ldr	w8, [x19, #0xb0]
0xfffffff009aa4374: 1f010071  cmp	w8, #0
0xfffffff009aa4378: f8179f1a  cset	w24, eq
0xfffffff009aa437c: f5079f1a  cset	w21, ne
0xfffffff009aa4380: f70318aa  mov	x23, x24
0xfffffff009aa4384: 04000014  b	#0xfffffff009aa4394
0xfffffff009aa4388: 18008052  mov	w24, #0
