; Candidate 2935
; ADRP+ADD at VM 0xfffffff0086f7144 (fileoff 0x16f3144): page=0x1fea3a000 add_imm=0xd90

0xfffffff0086f70c4: 000101ad  stp	q0, q0, [x8, #0x20]
0xfffffff0086f70c8: 000100ad  stp	q0, q0, [x8]
0xfffffff0086f70cc: a04302d1  sub	x0, x29, #0x90
0xfffffff0086f70d0: 01008052  mov	w1, #0
0xfffffff0086f70d4: 02098052  mov	w2, #0x48
0xfffffff0086f70d8: ba56d997  bl	#0xfffffff007d4cbc0
0xfffffff0086f70dc: 608245f9  ldr	x0, [x19, #0xb00]
0xfffffff0086f70e0: a00317f8  stur	x0, [x29, #-0x90]
0xfffffff0086f70e4: 084041b9  ldr	w8, [x0, #0x140]
0xfffffff0086f70e8: a88317b8  stur	w8, [x29, #-0x88]
0xfffffff0086f70ec: 68224bb9  ldr	w8, [x19, #0xb20]
0xfffffff0086f70f0: d552ffd0  adrp	x21, #0xfffffff007151000
0xfffffff0086f70f4: b5161591  add	x21, x21, #0x545
0xfffffff0086f70f8: 88040034  cbz	w8, #0xfffffff0086f7188
0xfffffff0086f70fc: a18358b8  ldur	w1, [x29, #-0x78]
0xfffffff0086f7100: a20359b8  ldur	w2, [x29, #-0x70]
0xfffffff0086f7104: 73750294  bl	#0xfffffff0087946d0
0xfffffff0086f7108: 00040034  cbz	w0, #0xfffffff0086f7188
0xfffffff0086f710c: f50300f9  str	x21, [sp]
0xfffffff0086f7110: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f7114: 00403691  add	x0, x0, #0xd90
0xfffffff0086f7118: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f711c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f7120: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f7124: 63b41891  add	x3, x3, #0x62d
0xfffffff0086f7128: 02008052  mov	w2, #0
0xfffffff0086f712c: 01f0f097  bl	#0xfffffff008333130
0xfffffff0086f7130: 16268052  mov	w22, #0x130
0xfffffff0086f7134: 16000014  b	#0xfffffff0086f718c
0xfffffff0086f7138: c852ffd0  adrp	x8, #0xfffffff007151000
0xfffffff0086f713c: 08151591  add	x8, x8, #0x545
0xfffffff0086f7140: e80300f9  str	x8, [sp]
0xfffffff0086f7144: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f7148: 00403691  add	x0, x0, #0xd90
0xfffffff0086f714c: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f7150: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f7154: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f7158: 63cc1791  add	x3, x3, #0x5f3
0xfffffff0086f715c: 02008052  mov	w2, #0
0xfffffff0086f7160: f4eff097  bl	#0xfffffff008333130
0xfffffff0086f7164: 34268052  mov	w20, #0x131
0xfffffff0086f7168: e00314aa  mov	x0, x20
0xfffffff0086f716c: ff030b91  add	sp, sp, #0x2c0
0xfffffff0086f7170: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0086f7174: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0086f7178: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0086f717c: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0086f7180: fc6fc5a8  ldp	x28, x27, [sp], #0x50
0xfffffff0086f7184: ff0f5fd6  retab	
0xfffffff0086f7188: 16008052  mov	w22, #0
0xfffffff0086f718c: 08008052  mov	w8, #0
0xfffffff0086f7190: 8953ff90  adrp	x9, #0xfffffff007167000
0xfffffff0086f7194: 205947fd  ldr	d0, [x9, #0xeb0]
0xfffffff0086f7198: a00319fc  stur	d0, [x29, #-0x70]
0xfffffff0086f719c: b75a8052  mov	w23, #0x2d5
0xfffffff0086f71a0: 1700bc72  movk	w23, #0xe000, lsl #16
0xfffffff0086f71a4: f80308aa  mov	x24, x8
0xfffffff0086f71a8: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff0086f71ac: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff0086f71b0: a14302d1  sub	x1, x29, #0x90
0xfffffff0086f71b4: 62018052  mov	w2, #0xb
0xfffffff0086f71b8: 562e0194  bl	#0xfffffff008742b10
0xfffffff0086f71bc: f40300aa  mov	x20, x0
0xfffffff0086f71c0: 1f00176b  cmp	w0, w23
