; Candidate 1801
; ADRP+ADD at VM 0xfffffff0085169f8 (fileoff 0x15129f8): page=0x1ff48c000 add_imm=0xe60

0xfffffff008516978: 008c2e91  add	x0, x0, #0xba3
0xfffffff00851697c: 9ed6ff97  bl	#0xfffffff00850c3f4
0xfffffff008516980: 405efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff008516984: 00583291  add	x0, x0, #0xc96
0xfffffff008516988: 9bd6ff97  bl	#0xfffffff00850c3f4
0xfffffff00851698c: 7f2303d5  pacibsp	
0xfffffff008516990: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff008516994: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008516998: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00851699c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0085169a0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0085169a4: fd030191  add	x29, sp, #0x40
0xfffffff0085169a8: f50301aa  mov	x21, x1
0xfffffff0085169ac: f40300aa  mov	x20, x0
0xfffffff0085169b0: 086840b9  ldr	w8, [x0, #0x68]
0xfffffff0085169b4: e9038052  mov	w9, #0x1f
0xfffffff0085169b8: 0825011b  madd	w8, w8, w1, w9
0xfffffff0085169bc: 19691b12  and	w25, w8, #0xffffffe0
0xfffffff0085169c0: 087d0353  lsr	w8, w8, #3
0xfffffff0085169c4: 13691e12  and	w19, w8, #0x1ffffffc
0xfffffff0085169c8: 01010034  cbz	w1, #0xfffffff0085169e8
0xfffffff0085169cc: 3f072071  cmp	w25, #0x801
0xfffffff0085169d0: 23010054  b.lo	#0xfffffff0085169f4
0xfffffff0085169d4: 88a240b9  ldr	w8, [x20, #0xa0]
0xfffffff0085169d8: 1f012071  cmp	w8, #0x800
0xfffffff0085169dc: c1000054  b.ne	#0xfffffff0085169f4
0xfffffff0085169e0: 00008052  mov	w0, #0
0xfffffff0085169e4: 4e000014  b	#0xfffffff008516b1c
0xfffffff0085169e8: 170080d2  mov	x23, #0
0xfffffff0085169ec: 160080d2  mov	x22, #0
0xfffffff0085169f0: 29000014  b	#0xfffffff008516a94
0xfffffff0085169f4: b87e7dd3  ubfiz	x24, x21, #3, #0x20
0xfffffff0085169f8: 60a4ff90  adrp	x0, #0xfffffff0079a2000
0xfffffff0085169fc: 00803991  add	x0, x0, #0xe60
0xfffffff008516a00: e10318aa  mov	x1, x24
0xfffffff008516a04: f300f997  bl	#0xfffffff008356dd0
0xfffffff008516a08: f70300aa  mov	x23, x0
0xfffffff008516a0c: e00313aa  mov	x0, x19
0xfffffff008516a10: c900f997  bl	#0xfffffff008356d34
0xfffffff008516a14: f60300aa  mov	x22, x0
0xfffffff008516a18: 170a00b4  cbz	x23, #0xfffffff008516b58
0xfffffff008516a1c: f60900b4  cbz	x22, #0xfffffff008516b58
0xfffffff008516a20: 892640f9  ldr	x9, [x20, #0x48]
0xfffffff008516a24: 885680b9  ldrsw	x8, [x20, #0x54]
0xfffffff008516a28: 0afd7f93  asr	x10, x8, #0x3f
0xfffffff008516a2c: 210108ab  adds	x1, x9, x8
0xfffffff008516a30: 4a358a9a  cinc	x10, x10, hs
0xfffffff008516a34: 49014093  sbfx	x9, x10, #0, #1
0xfffffff008516a38: 2a010aca  eor	x10, x9, x10
0xfffffff008516a3c: 2a0800b5  cbnz	x10, #0xfffffff008516b40
0xfffffff008516a40: 0908f8b7  tbnz	x9, #0x3f, #0xfffffff008516b40
0xfffffff008516a44: 810100b4  cbz	x1, #0xfffffff008516a74
0xfffffff008516a48: 895a40b9  ldr	w9, [x20, #0x58]
0xfffffff008516a4c: 3f01156b  cmp	w9, w21
0xfffffff008516a50: 2931951a  csel	w9, w9, w21, lo
0xfffffff008516a54: 0807f837  tbnz	w8, #0x1f, #0xfffffff008516b34
0xfffffff008516a58: 08210011  add	w8, w8, #8
0xfffffff008516a5c: 8a5240b9  ldr	w10, [x20, #0x50]
0xfffffff008516a60: 1f010a6b  cmp	w8, w10
0xfffffff008516a64: 88060054  b.hi	#0xfffffff008516b34
0xfffffff008516a68: 22711d53  lsl	w2, w9, #3
0xfffffff008516a6c: e00317aa  mov	x0, x23
0xfffffff008516a70: c8d7e097  bl	#0xfffffff007d4c990
0xfffffff008516a74: 814e40f9  ldr	x1, [x20, #0x98]
