; Candidate 14076
; ADRP+ADD at VM 0xfffffff0096bcc74 (fileoff 0x26b8c74): page=0x1fded2000 add_imm=0xd60

0xfffffff0096bcbf4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0096bcbf8: 11093fd7  blraa	x8, x17
0xfffffff0096bcbfc: ceffff17  b	#0xfffffff0096bcb34
0xfffffff0096bcc00: 7f2303d5  pacibsp	
0xfffffff0096bcc04: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0096bcc08: fd030091  mov	x29, sp
0xfffffff0096bcc0c: 686600f0  adrp	x8, #0xfffffff00a38b000
0xfffffff0096bcc10: 015141f9  ldr	x1, [x8, #0x2a0]
0xfffffff0096bcc14: 100040f9  ldr	x16, [x0]
0xfffffff0096bcc18: f10300aa  mov	x17, x0
0xfffffff0096bcc1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096bcc20: 301ac1da  autda	x16, x17
0xfffffff0096bcc24: 112180d2  mov	x17, #0x108
0xfffffff0096bcc28: 1002118b  add	x16, x16, x17
0xfffffff0096bcc2c: 080240f9  ldr	x8, [x16]
0xfffffff0096bcc30: e90310aa  mov	x9, x16
0xfffffff0096bcc34: f10309aa  mov	x17, x9
0xfffffff0096bcc38: 715df0f2  movk	x17, #0x82eb, lsl #48
0xfffffff0096bcc3c: 11093fd7  blraa	x8, x17
0xfffffff0096bcc40: c82affd0  adrp	x8, #0xfffffff007c16000
0xfffffff0096bcc44: 081143f9  ldr	x8, [x8, #0x620]
0xfffffff0096bcc48: 080140f9  ldr	x8, [x8]
0xfffffff0096bcc4c: 080140f9  ldr	x8, [x8]
0xfffffff0096bcc50: 1f0008eb  cmp	x0, x8
0xfffffff0096bcc54: e0179f1a  cset	w0, eq
0xfffffff0096bcc58: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0096bcc5c: ff0f5fd6  retab	
0xfffffff0096bcc60: 5f2403d5  bti	c
0xfffffff0096bcc64: c85c9052  mov	w8, #0x82e6
0xfffffff0096bcc68: e87fbc72  movk	w8, #0xe3ff, lsl #16
0xfffffff0096bcc6c: 3f00086b  cmp	w1, w8
0xfffffff0096bcc70: 81000054  b.ne	#0xfffffff0096bcc80
0xfffffff0096bcc74: 80f6fed0  adrp	x0, #0xfffffff00758e000
0xfffffff0096bcc78: 00803591  add	x0, x0, #0xd60
0xfffffff0096bcc7c: c0035fd6  ret	
0xfffffff0096bcc80: c82bfff0  adrp	x8, #0xfffffff007c37000
0xfffffff0096bcc84: 08011291  add	x8, x8, #0x480
0xfffffff0096bcc88: 02011291  add	x2, x8, #0x480
0xfffffff0096bcc8c: 104142f9  ldr	x16, [x8, #0x480]
0xfffffff0096bcc90: f10302aa  mov	x17, x2
0xfffffff0096bcc94: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff0096bcc98: 110a1fd7  braa	x16, x17
0xfffffff0096bcc9c: 7f2303d5  pacibsp	
0xfffffff0096bcca0: ff4301d1  sub	sp, sp, #0x50
0xfffffff0096bcca4: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0096bcca8: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0096bccac: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0096bccb0: fd030191  add	x29, sp, #0x40
0xfffffff0096bccb4: f40301aa  mov	x20, x1
0xfffffff0096bccb8: f30300aa  mov	x19, x0
0xfffffff0096bccbc: 08004839  ldrb	w8, [x0, #0x200]
0xfffffff0096bccc0: a8061036  tbz	w8, #2, #0xfffffff0096bcd94
0xfffffff0096bccc4: 606600f0  adrp	x0, #0xfffffff00a38b000
0xfffffff0096bccc8: 00400c91  add	x0, x0, #0x310
0xfffffff0096bcccc: 239fb097  bl	#0xfffffff0082e4958
0xfffffff0096bccd0: f50300aa  mov	x21, x0
0xfffffff0096bccd4: 700240f9  ldr	x16, [x19]
0xfffffff0096bccd8: f10313aa  mov	x17, x19
0xfffffff0096bccdc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096bcce0: 301ac1da  autda	x16, x17
0xfffffff0096bcce4: 116e80d2  mov	x17, #0x370
0xfffffff0096bcce8: 1002118b  add	x16, x16, x17
0xfffffff0096bccec: 080240f9  ldr	x8, [x16]
0xfffffff0096bccf0: e90310aa  mov	x9, x16
