; Candidate 10367
; ADRP+ADD at VM 0xfffffff008d1b158 (fileoff 0x1d17158): page=0x1fe661000 add_imm=0xea2

0xfffffff008d1b0d8: 00283291  add	x0, x0, #0xc8a
0xfffffff008d1b0dc: c8540094  bl	#0xfffffff008d303fc
0xfffffff008d1b0e0: 78de42a9  ldp	x24, x23, [x19, #0x28]
0xfffffff008d1b0e4: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008d1b0e8: 100040f9  ldr	x16, [x0]
0xfffffff008d1b0ec: f10300aa  mov	x17, x0
0xfffffff008d1b0f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d1b0f4: 301ac1da  autda	x16, x17
0xfffffff008d1b0f8: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008d1b0fc: e90310aa  mov	x9, x16
0xfffffff008d1b100: f10309aa  mov	x17, x9
0xfffffff008d1b104: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff008d1b108: 11093fd7  blraa	x8, x17
0xfffffff008d1b10c: f80301a9  stp	x24, x0, [sp, #0x10]
0xfffffff008d1b110: f65f00a9  stp	x22, x23, [sp]
0xfffffff008d1b114: 0033ffb0  adrp	x0, #0xfffffff00737c000
0xfffffff008d1b118: 00dc3291  add	x0, x0, #0xcb7
0xfffffff008d1b11c: b8540094  bl	#0xfffffff008d303fc
0xfffffff008d1b120: 69a242a9  ldp	x9, x8, [x19, #0x28]
0xfffffff008d1b124: 0a01158b  add	x10, x8, x21
0xfffffff008d1b128: 0801148b  add	x8, x8, x20
0xfffffff008d1b12c: 6aa203a9  stp	x10, x8, [x19, #0x38]
0xfffffff008d1b130: 2801158b  add	x8, x9, x21
0xfffffff008d1b134: 2901148b  add	x9, x9, x20
0xfffffff008d1b138: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008d1b13c: f60300f9  str	x22, [sp]
0xfffffff008d1b140: 0033ffb0  adrp	x0, #0xfffffff00737c000
0xfffffff008d1b144: 00f03391  add	x0, x0, #0xcfc
0xfffffff008d1b148: ad540094  bl	#0xfffffff008d303fc
0xfffffff008d1b14c: 68a643a9  ldp	x8, x9, [x19, #0x38]
0xfffffff008d1b150: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008d1b154: f60300f9  str	x22, [sp]
0xfffffff008d1b158: 0033ffb0  adrp	x0, #0xfffffff00737c000
0xfffffff008d1b15c: 00883a91  add	x0, x0, #0xea2
0xfffffff008d1b160: a7540094  bl	#0xfffffff008d303fc
0xfffffff008d1b164: 20008052  mov	w0, #1
0xfffffff008d1b168: 0e000014  b	#0xfffffff008d1b1a0
0xfffffff008d1b16c: 0833ffb0  adrp	x8, #0xfffffff00737c000
0xfffffff008d1b170: 08dd3891  add	x8, x8, #0xe37
0xfffffff008d1b174: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008d1b178: 0033ffb0  adrp	x0, #0xfffffff00737c000
0xfffffff008d1b17c: 00fc1a91  add	x0, x0, #0x6bf
0xfffffff008d1b180: 06000014  b	#0xfffffff008d1b198
0xfffffff008d1b184: 0833ffb0  adrp	x8, #0xfffffff00737c000
0xfffffff008d1b188: 08dd3891  add	x8, x8, #0xe37
0xfffffff008d1b18c: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008d1b190: 0033ffb0  adrp	x0, #0xfffffff00737c000
0xfffffff008d1b194: 00ec1b91  add	x0, x0, #0x6fb
0xfffffff008d1b198: 99540094  bl	#0xfffffff008d303fc
0xfffffff008d1b19c: 00008052  mov	w0, #0
0xfffffff008d1b1a0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008d1b1a4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008d1b1a8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008d1b1ac: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008d1b1b0: ff830191  add	sp, sp, #0x60
0xfffffff008d1b1b4: ff0f5fd6  retab	
0xfffffff008d1b1b8: 5f2403d5  bti	c
0xfffffff008d1b1bc: 004000d1  sub	x0, x0, #0x10
0xfffffff008d1b1c0: 72ffff17  b	#0xfffffff008d1af88
0xfffffff008d1b1c4: 5f2403d5  bti	c
0xfffffff008d1b1c8: 09008052  mov	w9, #0
0xfffffff008d1b1cc: 081c40f9  ldr	x8, [x0, #0x38]
0xfffffff008d1b1d0: 1f0100b9  str	wzr, [x8]
0xfffffff008d1b1d4: 0a2040f9  ldr	x10, [x0, #0x40]
