; Candidate 1046
; ADRP+ADD at VM 0xfffffff0081bd10c (fileoff 0x11b910c): page=0x1ff7bd000 add_imm=0xcf0

0xfffffff0081bd08c: 48abbe72  movk	w8, #0xf55a, lsl #16
0xfffffff0081bd090: 680600b9  str	w8, [x19, #4]
0xfffffff0081bd094: 768a40f9  ldr	x22, [x19, #0x110]
0xfffffff0081bd098: d60100b4  cbz	x22, #0xfffffff0081bd0d0
0xfffffff0081bd09c: 7f8a00f9  str	xzr, [x19, #0x110]
0xfffffff0081bd0a0: 88bdffd0  adrp	x8, #0xfffffff00796f000
0xfffffff0081bd0a4: 08a11991  add	x8, x8, #0x668
0xfffffff0081bd0a8: 176140a9  ldp	x23, x24, [x8]
0xfffffff0081bd0ac: f96a4079  ldrh	w25, [x23, #0x34]
0xfffffff0081bd0b0: e00316aa  mov	x0, x22
0xfffffff0081bd0b4: e10319aa  mov	x1, x25
0xfffffff0081bd0b8: a23eee97  bl	#0xfffffff007d4cb40
0xfffffff0081bd0bc: e00317aa  mov	x0, x23
0xfffffff0081bd0c0: e10318aa  mov	x1, x24
0xfffffff0081bd0c4: e20316aa  mov	x2, x22
0xfffffff0081bd0c8: e30319aa  mov	x3, x25
0xfffffff0081bd0cc: e91df197  bl	#0xfffffff007e04870
0xfffffff0081bd0d0: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff0081bd0d4: 69020591  add	x9, x19, #0x140
0xfffffff0081bd0d8: e20308aa  mov	x2, x8
0xfffffff0081bd0dc: 3ffda288  casl	w2, wzr, [x9]
0xfffffff0081bd0e0: 5f00086b  cmp	w2, w8
0xfffffff0081bd0e4: 61040054  b.ne	#0xfffffff0081bd170
0xfffffff0081bd0e8: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff0081bd0ec: e20308aa  mov	x2, x8
0xfffffff0081bd0f0: 5fffa288  casl	w2, wzr, [x26]
0xfffffff0081bd0f4: 5f00086b  cmp	w2, w8
0xfffffff0081bd0f8: 41040054  b.ne	#0xfffffff0081bd180
0xfffffff0081bd0fc: e00313aa  mov	x0, x19
0xfffffff0081bd100: 01008052  mov	w1, #0
0xfffffff0081bd104: 02298052  mov	w2, #0x148
0xfffffff0081bd108: ae3eee97  bl	#0xfffffff007d4cbc0
0xfffffff0081bd10c: e0bdffb0  adrp	x0, #0xfffffff00797a000
0xfffffff0081bd110: 00c03391  add	x0, x0, #0xcf0
0xfffffff0081bd114: e10313aa  mov	x1, x19
0xfffffff0081bd118: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0081bd11c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0081bd120: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0081bd124: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0081bd128: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0081bd12c: ffc30191  add	sp, sp, #0x70
0xfffffff0081bd130: ff2303d5  autibsp	
0xfffffff0081bd134: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0081bd138: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0081bd140
0xfffffff0081bd13c: 208e38d4  brk	#0xc471
0xfffffff0081bd140: b332f117  b	#0xfffffff007e09c0c
0xfffffff0081bd144: 800201f0  adrp	x0, #0xfffffff00a210000
0xfffffff0081bd148: 00803191  add	x0, x0, #0xc60
0xfffffff0081bd14c: e10314aa  mov	x1, x20
0xfffffff0081bd150: 02008052  mov	w2, #0
0xfffffff0081bd154: 69baef97  bl	#0xfffffff007dabaf8
0xfffffff0081bd158: a9ffff17  b	#0xfffffff0081bcffc
0xfffffff0081bd15c: e00315aa  mov	x0, x21
0xfffffff0081bd160: e10314aa  mov	x1, x20
0xfffffff0081bd164: 02008052  mov	w2, #0
0xfffffff0081bd168: 64baef97  bl	#0xfffffff007dabaf8
0xfffffff0081bd16c: aaffff17  b	#0xfffffff0081bd014
0xfffffff0081bd170: e00315aa  mov	x0, x21
0xfffffff0081bd174: e10314aa  mov	x1, x20
0xfffffff0081bd178: 7bbdef97  bl	#0xfffffff007dac764
0xfffffff0081bd17c: dbffff17  b	#0xfffffff0081bd0e8
0xfffffff0081bd180: 800201f0  adrp	x0, #0xfffffff00a210000
0xfffffff0081bd184: 00803191  add	x0, x0, #0xc60
0xfffffff0081bd188: e10314aa  mov	x1, x20
