; Candidate 6311
; ADRP+ADD at VM 0xfffffff008822a70 (fileoff 0x181ea70): page=0x1fe9c7000 add_imm=0xe80

0xfffffff0088229f0: eb3704a9  stp	x11, x13, [sp, #0x40]
0xfffffff0088229f4: ea3303a9  stp	x10, x12, [sp, #0x30]
0xfffffff0088229f8: e84740f9  ldr	x8, [sp, #0x88]
0xfffffff0088229fc: e86302a9  stp	x8, x24, [sp, #0x20]
0xfffffff008822a00: f95b01a9  stp	x25, x22, [sp, #0x10]
0xfffffff008822a04: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008822a08: e80700f9  str	x8, [sp, #8]
0xfffffff008822a0c: e84fffd0  adrp	x8, #0xfffffff007220000
0xfffffff008822a10: 08f51f91  add	x8, x8, #0x7fd
0xfffffff008822a14: e80300f9  str	x8, [sp]
0xfffffff008822a18: e04fffd0  adrp	x0, #0xfffffff007220000
0xfffffff008822a1c: 00101f91  add	x0, x0, #0x7c4
0xfffffff008822a20: 9052d697  bl	#0xfffffff007db7460
0xfffffff008822a24: 1b000014  b	#0xfffffff008822a90
0xfffffff008822a28: 08008012  mov	w8, #-1
0xfffffff008822a2c: e90308aa  mov	x9, x8
0xfffffff008822a30: 0bab41a9  ldp	x11, x10, [x24, #0x18]
0xfffffff008822a34: 0c1340b9  ldr	w12, [x24, #0x10]
0xfffffff008822a38: 0d2b40b9  ldr	w13, [x24, #0x28]
0xfffffff008822a3c: 0e4340b9  ldr	w14, [x24, #0x40]
0xfffffff008822a40: 0f5b40b9  ldr	w15, [x24, #0x58]
0xfffffff008822a44: ef2706a9  stp	x15, x9, [sp, #0x60]
0xfffffff008822a48: e83b05a9  stp	x8, x14, [sp, #0x50]
0xfffffff008822a4c: ed2b04a9  stp	x13, x10, [sp, #0x40]
0xfffffff008822a50: ec2f03a9  stp	x12, x11, [sp, #0x30]
0xfffffff008822a54: f56302a9  stp	x21, x24, [sp, #0x20]
0xfffffff008822a58: f95b01a9  stp	x25, x22, [sp, #0x10]
0xfffffff008822a5c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008822a60: e80700f9  str	x8, [sp, #8]
0xfffffff008822a64: e84fffd0  adrp	x8, #0xfffffff007220000
0xfffffff008822a68: 08f51f91  add	x8, x8, #0x7fd
0xfffffff008822a6c: e80300f9  str	x8, [sp]
0xfffffff008822a70: 204efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008822a74: 00003a91  add	x0, x0, #0xe80
0xfffffff008822a78: 218fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008822a7c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008822a80: 02008052  mov	w2, #0
0xfffffff008822a84: 4351ff90  adrp	x3, #0xfffffff00724a000
0xfffffff008822a88: 63482d91  add	x3, x3, #0xb52
0xfffffff008822a8c: a941ec97  bl	#0xfffffff008333130
0xfffffff008822a90: e00318aa  mov	x0, x24
0xfffffff008822a94: 10330094  bl	#0xfffffff00882f6d4
0xfffffff008822a98: f80300aa  mov	x24, x0
0xfffffff008822a9c: e00316aa  mov	x0, x22
0xfffffff008822aa0: 4f350094  bl	#0xfffffff00882ffdc
0xfffffff008822aa4: 1f0300eb  cmp	x24, x0
0xfffffff008822aa8: a1ecff54  b.ne	#0xfffffff00882283c
0xfffffff008822aac: 00008052  mov	w0, #0
0xfffffff008822ab0: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff008822ab4: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff008822ab8: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff008822abc: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff008822ac0: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff008822ac4: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff008822ac8: ff830491  add	sp, sp, #0x120
0xfffffff008822acc: ff0f5fd6  retab	
0xfffffff008822ad0: 7f2303d5  pacibsp	
0xfffffff008822ad4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008822ad8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008822adc: fd430091  add	x29, sp, #0x10
0xfffffff008822ae0: f30303aa  mov	x19, x3
0xfffffff008822ae4: f40302aa  mov	x20, x2
0xfffffff008822ae8: e20301aa  mov	x2, x1
0xfffffff008822aec: 21008052  mov	w1, #1
