; Candidate 1546
; ADRP+ADD at VM 0xfffffff00846f154 (fileoff 0x146b154): page=0x1ff4ff000 add_imm=0xcf8

0xfffffff00846f0d4: 04008052  mov	w4, #0
0xfffffff00846f0d8: ca67e997  bl	#0xfffffff007ec9000
0xfffffff00846f0dc: 53ed00f0  adrp	x19, #0xfffffff00a21a000
0xfffffff00846f0e0: 607a05f9  str	x0, [x19, #0xaf0]
0xfffffff00846f0e4: 880240b9  ldr	w8, [x20]
0xfffffff00846f0e8: 08a50251  sub	w8, w8, #0xa9
0xfffffff00846f0ec: c9ee00b0  adrp	x9, #0xfffffff00a248000
0xfffffff00846f0f0: 28c107b9  str	w8, [x9, #0x7c0]
0xfffffff00846f0f4: 880240b9  ldr	w8, [x20]
0xfffffff00846f0f8: 54ed00f0  adrp	x20, #0xfffffff00a21a000
0xfffffff00846f0fc: 88d20bb9  str	w8, [x20, #0xbd0]
0xfffffff00846f100: 49ed00f0  adrp	x9, #0xfffffff00a21a000
0xfffffff00846f104: 207d05f9  str	x0, [x9, #0xaf8]
0xfffffff00846f108: 090040b9  ldr	w9, [x0]
0xfffffff00846f10c: 6a488a52  mov	w10, #0x5243
0xfffffff00846f110: 8a4aa872  movk	w10, #0x4254, lsl #16
0xfffffff00846f114: 3f010a6b  cmp	w9, w10
0xfffffff00846f118: 6aa88952  mov	w10, #0x4d43
0xfffffff00846f11c: 0a69aa72  movk	w10, #0x5348, lsl #16
0xfffffff00846f120: 24114a7a  ccmp	w9, w10, #4, ne
0xfffffff00846f124: 80010054  b.eq	#0xfffffff00846f154
0xfffffff00846f128: 6ac98952  mov	w10, #0x4e4b
0xfffffff00846f12c: aacaa872  movk	w10, #0x4655, lsl #16
0xfffffff00846f130: 3f010a6b  cmp	w9, w10
0xfffffff00846f134: c1000054  b.ne	#0xfffffff00846f14c
0xfffffff00846f138: c061ffd0  adrp	x0, #0xfffffff0070a9000
0xfffffff00846f13c: 00582d91  add	x0, x0, #0xb56
0xfffffff00846f140: c820e597  bl	#0xfffffff007db7460
0xfffffff00846f144: 607a45f9  ldr	x0, [x19, #0xaf0]
0xfffffff00846f148: 88d24bb9  ldr	w8, [x20, #0xbd0]
0xfffffff00846f14c: e103082a  mov	w1, w8
0xfffffff00846f150: 7c76e397  bl	#0xfffffff007d4cb40
0xfffffff00846f154: e0a7fff0  adrp	x0, #0xfffffff00796e000
0xfffffff00846f158: 00e03391  add	x0, x0, #0xcf8
0xfffffff00846f15c: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff00846f160: 1f0100f1  cmp	x8, #0
0xfffffff00846f164: 28008052  mov	w8, #1
0xfffffff00846f168: 0115881a  cinc	w1, w8, eq
0xfffffff00846f16c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00846f170: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00846f174: ff430191  add	sp, sp, #0x50
0xfffffff00846f178: ff2303d5  autibsp	
0xfffffff00846f17c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00846f180: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00846f188
0xfffffff00846f184: 208e38d4  brk	#0xc471
0xfffffff00846f188: c7f7e817  b	#0xfffffff007ead0a4
0xfffffff00846f18c: 7f2303d5  pacibsp	
0xfffffff00846f190: ff8300d1  sub	sp, sp, #0x20
0xfffffff00846f194: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00846f198: fd430091  add	x29, sp, #0x10
0xfffffff00846f19c: 48ed00f0  adrp	x8, #0xfffffff00a21a000
0xfffffff00846f1a0: 081546f9  ldr	x8, [x8, #0xc28]
0xfffffff00846f1a4: 29008052  mov	w9, #1
0xfffffff00846f1a8: e82700a9  stp	x8, x9, [sp]
0xfffffff00846f1ac: c8ee00b0  adrp	x8, #0xfffffff00a248000
0xfffffff00846f1b0: 08dd43f9  ldr	x8, [x8, #0x7b8]
0xfffffff00846f1b4: 880000b4  cbz	x8, #0xfffffff00846f1c4
0xfffffff00846f1b8: e0030091  mov	x0, sp
0xfffffff00846f1bc: d15785d2  mov	x17, #0x2abe
0xfffffff00846f1c0: 11093fd7  blraa	x8, x17
0xfffffff00846f1c4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00846f1c8: ff830091  add	sp, sp, #0x20
0xfffffff00846f1cc: ff0f5fd6  retab	
0xfffffff00846f1d0: 5f2403d5  bti	c
