; Candidate 13525
; ADRP+ADD at VM 0xfffffff00937c028 (fileoff 0x2378028): page=0x1003000 add_imm=0xd20

0xfffffff00937bfa8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00937bfac: 11093fd7  blraa	x8, x17
0xfffffff00937bfb0: 00008052  mov	w0, #0
0xfffffff00937bfb4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00937bfb8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00937bfbc: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00937bfc0: ff0f5fd6  retab	
0xfffffff00937bfc4: 5f2403d5  bti	c
0xfffffff00937bfc8: e1e4c017  b	#0xfffffff0083b534c
0xfffffff00937bfcc: 5f2403d5  bti	c
0xfffffff00937bfd0: c9a1bd17  b	#0xfffffff0082e46f4
0xfffffff00937bfd4: 7f2303d5  pacibsp	
0xfffffff00937bfd8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00937bfdc: fd030091  mov	x29, sp
0xfffffff00937bfe0: 20800090  adrp	x0, #0xfffffff00a37f000
0xfffffff00937bfe4: 00803491  add	x0, x0, #0xd20
0xfffffff00937bfe8: 010cff90  adrp	x1, #0xfffffff0074fb000
0xfffffff00937bfec: 21900391  add	x1, x1, #0xe4
0xfffffff00937bff0: 2242ff90  adrp	x2, #0xfffffff007bbf000
0xfffffff00937bff4: 421446f9  ldr	x2, [x2, #0xc28]
0xfffffff00937bff8: 03168052  mov	w3, #0xb0
0xfffffff00937bffc: cf9ebd97  bl	#0xfffffff0082e3b38
0xfffffff00937c000: 3042ff90  adrp	x16, #0xfffffff007bc0000
0xfffffff00937c004: 10c20791  add	x16, x16, #0x1f0
0xfffffff00937c008: 10420091  add	x16, x16, #0x10
0xfffffff00937c00c: f10300aa  mov	x17, x0
0xfffffff00937c010: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00937c014: 300ac1da  pacda	x16, x17
0xfffffff00937c018: 100000f9  str	x16, [x0]
0xfffffff00937c01c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00937c020: ff0f5fd6  retab	
0xfffffff00937c024: 5f2403d5  bti	c
0xfffffff00937c028: 008000f0  adrp	x0, #0xfffffff00a37f000
0xfffffff00937c02c: 00803491  add	x0, x0, #0xd20
0xfffffff00937c030: b1a1bd17  b	#0xfffffff0082e46f4
0xfffffff00937c034: 7f2303d5  pacibsp	
0xfffffff00937c038: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00937c03c: fd030091  mov	x29, sp
0xfffffff00937c040: e10bfff0  adrp	x1, #0xfffffff0074fb000
0xfffffff00937c044: 21740991  add	x1, x1, #0x25d
0xfffffff00937c048: 0242fff0  adrp	x2, #0xfffffff007bbf000
0xfffffff00937c04c: 422046f9  ldr	x2, [x2, #0xc40]
0xfffffff00937c050: 03048052  mov	w3, #0x20
0xfffffff00937c054: b99ebd97  bl	#0xfffffff0082e3b38
0xfffffff00937c058: 3042ff90  adrp	x16, #0xfffffff007bc0000
0xfffffff00937c05c: 10820c91  add	x16, x16, #0x320
0xfffffff00937c060: 10420091  add	x16, x16, #0x10
0xfffffff00937c064: f10300aa  mov	x17, x0
0xfffffff00937c068: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00937c06c: 300ac1da  pacda	x16, x17
0xfffffff00937c070: 100000f9  str	x16, [x0]
0xfffffff00937c074: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00937c078: ff0f5fd6  retab	
0xfffffff00937c07c: 5f2403d5  bti	c
0xfffffff00937c080: 9da1bd17  b	#0xfffffff0082e46f4
0xfffffff00937c084: 7f2303d5  pacibsp	
0xfffffff00937c088: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00937c08c: fd030091  mov	x29, sp
0xfffffff00937c090: b7adbd97  bl	#0xfffffff0082e776c
0xfffffff00937c094: 3042ff90  adrp	x16, #0xfffffff007bc0000
0xfffffff00937c098: 10220a91  add	x16, x16, #0x288
0xfffffff00937c09c: 10420091  add	x16, x16, #0x10
0xfffffff00937c0a0: f10300aa  mov	x17, x0
0xfffffff00937c0a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
