; Candidate 5334
; ADRP+ADD at VM 0xfffffff0087e72ac (fileoff 0x17e32ac): page=0x1fea02000 add_imm=0xe80

0xfffffff0087e722c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087e7230: e80b8052  mov	w8, #0x5f
0xfffffff0087e7234: 6051ff90  adrp	x0, #0xfffffff007213000
0xfffffff0087e7238: 006c3b91  add	x0, x0, #0xedb
0xfffffff0087e723c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087e7240: 8840d797  bl	#0xfffffff007db7460
0xfffffff0087e7244: 20000014  b	#0xfffffff0087e72c4
0xfffffff0087e7248: 740200f9  str	x20, [x19]
0xfffffff0087e724c: 750a00b9  str	w21, [x19, #8]
0xfffffff0087e7250: 760a00f9  str	x22, [x19, #0x10]
0xfffffff0087e7254: 40000014  b	#0xfffffff0087e7354
0xfffffff0087e7258: d5330394  bl	#0xfffffff0088b41ac
0xfffffff0087e725c: f70300aa  mov	x23, x0
0xfffffff0087e7260: 80008052  mov	w0, #4
0xfffffff0087e7264: 7b510294  bl	#0xfffffff00887b850
0xfffffff0087e7268: e80315aa  mov	x8, x21
0xfffffff0087e726c: e8db04a9  stp	x8, x22, [sp, #0x48]
0xfffffff0087e7270: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff0087e7274: 6851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e7278: 0a613c91  add	x10, x8, #0xf18
0xfffffff0087e727c: c8058052  mov	w8, #0x2e
0xfffffff0087e7280: 4951ffd0  adrp	x9, #0xfffffff007211000
0xfffffff0087e7284: 29892c91  add	x9, x9, #0xb22
0xfffffff0087e7288: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087e728c: 6851ffb0  adrp	x8, #0xfffffff007214000
0xfffffff0087e7290: 08290291  add	x8, x8, #0x8a
0xfffffff0087e7294: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e7298: e80b8052  mov	w8, #0x5f
0xfffffff0087e729c: a352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087e72a0: 63e01c91  add	x3, x3, #0x738
0xfffffff0087e72a4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e72a8: f70300f9  str	x23, [sp]
0xfffffff0087e72ac: 0050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e72b0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e72b4: 0191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e72b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e72bc: 02008052  mov	w2, #0
0xfffffff0087e72c0: 9c2fed97  bl	#0xfffffff008333130
0xfffffff0087e72c4: 177d8012  mov	w23, #-0x3e9
0xfffffff0087e72c8: 21000014  b	#0xfffffff0087e734c
0xfffffff0087e72cc: b8330394  bl	#0xfffffff0088b41ac
0xfffffff0087e72d0: f80300aa  mov	x24, x0
0xfffffff0087e72d4: 80008052  mov	w0, #4
0xfffffff0087e72d8: 5e510294  bl	#0xfffffff00887b850
0xfffffff0087e72dc: f90300aa  mov	x25, x0
0xfffffff0087e72e0: e00314aa  mov	x0, x20
0xfffffff0087e72e4: a0100194  bl	#0xfffffff00882b564
0xfffffff0087e72e8: e0df05a9  stp	x0, x23, [sp, #0x58]
0xfffffff0087e72ec: e80315aa  mov	x8, x21
0xfffffff0087e72f0: e8db04a9  stp	x8, x22, [sp, #0x48]
0xfffffff0087e72f4: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff0087e72f8: 4851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087e72fc: 0ab92791  add	x10, x8, #0x9ee
0xfffffff0087e7300: a8068052  mov	w8, #0x35
0xfffffff0087e7304: 4951ffd0  adrp	x9, #0xfffffff007211000
0xfffffff0087e7308: 29892c91  add	x9, x9, #0xb22
0xfffffff0087e730c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087e7310: 6851ffb0  adrp	x8, #0xfffffff007214000
0xfffffff0087e7314: 08290291  add	x8, x8, #0x8a
0xfffffff0087e7318: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e731c: e80b8052  mov	w8, #0x5f
0xfffffff0087e7320: a352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087e7324: 63d01d91  add	x3, x3, #0x774
0xfffffff0087e7328: e8e700a9  stp	x8, x25, [sp, #8]
