; Candidate 10722
; ADRP+ADD at VM 0xfffffff008de438c (fileoff 0x1de038c): page=0x1fe5e0000 add_imm=0xe15

0xfffffff008de430c: 4a490d91  add	x10, x10, #0x352
0xfffffff008de4310: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008de4314: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de4318: e90300f9  str	x9, [sp]
0xfffffff008de431c: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4320: 00543891  add	x0, x0, #0xe15
0xfffffff008de4324: 3fcbd597  bl	#0xfffffff008357020
0xfffffff008de4328: c8088052  mov	w8, #0x46
0xfffffff008de432c: 73008012  mov	w19, #-4
0xfffffff008de4330: f72effd0  adrp	x23, #0xfffffff0073c2000
0xfffffff008de4334: f70a0e91  add	x23, x23, #0x382
0xfffffff008de4338: f42effb0  adrp	x20, #0xfffffff0073c1000
0xfffffff008de433c: 949e0c91  add	x20, x20, #0x327
0xfffffff008de4340: d8a800f0  adrp	x24, #0xfffffff00a2ff000
0xfffffff008de4344: 18432c91  add	x24, x24, #0xb10
0xfffffff008de4348: 9dffff17  b	#0xfffffff008de41bc
0xfffffff008de434c: 08cc8052  mov	w8, #0x660
0xfffffff008de4350: d8a800f0  adrp	x24, #0xfffffff00a2ff000
0xfffffff008de4354: 18432c91  add	x24, x24, #0xb10
0xfffffff008de4358: 03000014  b	#0xfffffff008de4364
0xfffffff008de435c: 68cc8052  mov	w8, #0x663
0xfffffff008de4360: f30300aa  mov	x19, x0
0xfffffff008de4364: 697e4093  sxtw	x9, w19
0xfffffff008de4368: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de436c: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4370: 08493991  add	x8, x8, #0xe52
0xfffffff008de4374: 0a2fff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008de4378: 4af13a91  add	x10, x10, #0xebc
0xfffffff008de437c: eb2effb0  adrp	x11, #0xfffffff0073c1000
0xfffffff008de4380: 6b490d91  add	x11, x11, #0x352
0xfffffff008de4384: e82f01a9  stp	x8, x11, [sp, #0x10]
0xfffffff008de4388: ea2700a9  stp	x10, x9, [sp]
0xfffffff008de438c: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4390: 00543891  add	x0, x0, #0xe15
0xfffffff008de4394: 23cbd597  bl	#0xfffffff008357020
0xfffffff008de4398: 75ffff17  b	#0xfffffff008de416c
0xfffffff008de439c: 7f2303d5  pacibsp	
0xfffffff008de43a0: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008de43a4: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008de43a8: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008de43ac: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de43b0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de43b4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de43b8: fd430191  add	x29, sp, #0x50
0xfffffff008de43bc: ff4300d1  sub	sp, sp, #0x10
0xfffffff008de43c0: f50303aa  mov	x21, x3
0xfffffff008de43c4: f60302aa  mov	x22, x2
0xfffffff008de43c8: f40301aa  mov	x20, x1
0xfffffff008de43cc: f30300aa  mov	x19, x0
0xfffffff008de43d0: 6868ff90  adrp	x8, #0xfffffff007af0000
0xfffffff008de43d4: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff008de43d8: 080140f9  ldr	x8, [x8]
0xfffffff008de43dc: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008de43e0: dba800f0  adrp	x27, #0xfffffff00a2ff000
0xfffffff008de43e4: 7b432c91  add	x27, x27, #0xb10
0xfffffff008de43e8: 68034039  ldrb	w8, [x27]
0xfffffff008de43ec: f92effd0  adrp	x25, #0xfffffff0073c2000
0xfffffff008de43f0: 39c70e91  add	x25, x25, #0x3b1
0xfffffff008de43f4: fa2effb0  adrp	x26, #0xfffffff0073c1000
0xfffffff008de43f8: 5a9f0c91  add	x26, x26, #0x327
0xfffffff008de43fc: 1f290071  cmp	w8, #0xa
0xfffffff008de4400: c8000054  b.hi	#0xfffffff008de4418
0xfffffff008de4404: fa67bfa9  stp	x26, x25, [sp, #-0x10]!
0xfffffff008de4408: 002fff90  adrp	x0, #0xfffffff0073c4000
