; Candidate 16135
; ADRP+ADD at VM 0xfffffff009e24870 (fileoff 0x2e20870): page=0x1fd87f000 add_imm=0xe00

0xfffffff009e247f0: 140080d2  mov	x20, #0
0xfffffff009e247f4: 75008052  mov	w21, #3
0xfffffff009e247f8: d9ffff17  b	#0xfffffff009e2475c
0xfffffff009e247fc: e00313aa  mov	x0, x19
0xfffffff009e24800: d185ff97  bl	#0xfffffff009e05f44
0xfffffff009e24804: c00500b4  cbz	x0, #0xfffffff009e248bc
0xfffffff009e24808: f40300aa  mov	x20, x0
0xfffffff009e2480c: 24fdff97  bl	#0xfffffff009e23c9c
0xfffffff009e24810: 108c41f8  ldr	x16, [x0, #0x18]!
0xfffffff009e24814: 300400b4  cbz	x16, #0xfffffff009e24898
0xfffffff009e24818: f10300aa  mov	x17, x0
0xfffffff009e2481c: 9114f9f2  movk	x17, #0xc8a4, lsl #48
0xfffffff009e24820: 301ac1da  autda	x16, x17
0xfffffff009e24824: f10310aa  mov	x17, x16
0xfffffff009e24828: f147c1da  xpacd	x17
0xfffffff009e2482c: 1f0211eb  cmp	x16, x17
0xfffffff009e24830: 40000054  b.eq	#0xfffffff009e24838
0xfffffff009e24834: 408e38d4  brk	#0xc472
0xfffffff009e24838: 100300b4  cbz	x16, #0xfffffff009e24898
0xfffffff009e2483c: e00313aa  mov	x0, x19
0xfffffff009e24840: 77738e97  bl	#0xfffffff0081c161c
0xfffffff009e24844: e00313aa  mov	x0, x19
0xfffffff009e24848: f76d8e97  bl	#0xfffffff0081c0024
0xfffffff009e2484c: e00313aa  mov	x0, x19
0xfffffff009e24850: 73738e97  bl	#0xfffffff0081c161c
0xfffffff009e24854: f50300aa  mov	x21, x0
0xfffffff009e24858: e00313aa  mov	x0, x19
0xfffffff009e2485c: f26d8e97  bl	#0xfffffff0081c0024
0xfffffff009e24860: f58300a9  stp	x21, x0, [sp, #8]
0xfffffff009e24864: c8cffed0  adrp	x8, #0xfffffff00781e000
0xfffffff009e24868: 08891b91  add	x8, x8, #0x6e2
0xfffffff009e2486c: e80300f9  str	x8, [sp]
0xfffffff009e24870: e0c3fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e24874: 00003891  add	x0, x0, #0xe00
0xfffffff009e24878: 21f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2487c: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e24880: e3cffe90  adrp	x3, #0xfffffff007820000
0xfffffff009e24884: 63802f91  add	x3, x3, #0xbe0
0xfffffff009e24888: 02028052  mov	w2, #0x10
0xfffffff009e2488c: 293a9497  bl	#0xfffffff008333130
0xfffffff009e24890: b5058052  mov	w21, #0x2d
0xfffffff009e24894: 06000014  b	#0xfffffff009e248ac
0xfffffff009e24898: a1c300d1  sub	x1, x29, #0x30
0xfffffff009e2489c: e00314aa  mov	x0, x20
0xfffffff009e248a0: 2ef4ff97  bl	#0xfffffff009e21958
0xfffffff009e248a4: f50300aa  mov	x21, x0
0xfffffff009e248a8: 80030035  cbnz	w0, #0xfffffff009e24918
0xfffffff009e248ac: e00313aa  mov	x0, x19
0xfffffff009e248b0: b76c8e97  bl	#0xfffffff0081bfb8c
0xfffffff009e248b4: b3035df8  ldur	x19, [x29, #-0x30]
0xfffffff009e248b8: a9ffff17  b	#0xfffffff009e2475c
0xfffffff009e248bc: e00313aa  mov	x0, x19
0xfffffff009e248c0: 57738e97  bl	#0xfffffff0081c161c
0xfffffff009e248c4: e00313aa  mov	x0, x19
0xfffffff009e248c8: d76d8e97  bl	#0xfffffff0081c0024
0xfffffff009e248cc: e00313aa  mov	x0, x19
0xfffffff009e248d0: 53738e97  bl	#0xfffffff0081c161c
0xfffffff009e248d4: f40300aa  mov	x20, x0
0xfffffff009e248d8: e00313aa  mov	x0, x19
0xfffffff009e248dc: d26d8e97  bl	#0xfffffff0081c0024
0xfffffff009e248e0: f48300a9  stp	x20, x0, [sp, #8]
0xfffffff009e248e4: c8cffed0  adrp	x8, #0xfffffff00781e000
0xfffffff009e248e8: 08891b91  add	x8, x8, #0x6e2
0xfffffff009e248ec: e80300f9  str	x8, [sp]
