; Candidate 11163
; ADRP+ADD at VM 0xfffffff008e82f44 (fileoff 0x1e7ef44): page=0x1fec8b000 add_imm=0xd80

0xfffffff008e82ec4: e80301aa  mov	x8, x1
0xfffffff008e82ec8: f30300aa  mov	x19, x0
0xfffffff008e82ecc: 146000d1  sub	x20, x0, #0x18
0xfffffff008e82ed0: e92bfff0  adrp	x9, #0xfffffff007401000
0xfffffff008e82ed4: 29411e91  add	x9, x9, #0x790
0xfffffff008e82ed8: 21014079  ldrh	w1, [x9]
0xfffffff008e82edc: 22054079  ldrh	w2, [x9, #2]
0xfffffff008e82ee0: e00308aa  mov	x0, x8
0xfffffff008e82ee4: 23aefb97  bl	#0xfffffff008d6e770
0xfffffff008e82ee8: 607a10bd  str	s0, [x19, #0x1078]
0xfffffff008e82eec: e00314aa  mov	x0, x20
0xfffffff008e82ef0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e82ef4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e82ef8: ff2303d5  autibsp	
0xfffffff008e82efc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008e82f00: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008e82f08
0xfffffff008e82f04: 208e38d4  brk	#0xc471
0xfffffff008e82f08: 64ffff17  b	#0xfffffff008e82c98
0xfffffff008e82f0c: 5f2403d5  bti	c
0xfffffff008e82f10: 46feff17  b	#0xfffffff008e82828
0xfffffff008e82f14: 5f2403d5  bti	c
0xfffffff008e82f18: e30305aa  mov	x3, x5
0xfffffff008e82f1c: e20304aa  mov	x2, x4
0xfffffff008e82f20: 81fdff17  b	#0xfffffff008e82524
0xfffffff008e82f24: 5f2403d5  bti	c
0xfffffff008e82f28: 1b730014  b	#0xfffffff008e9fb94
0xfffffff008e82f2c: 7f2303d5  pacibsp	
0xfffffff008e82f30: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e82f34: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e82f38: fd430091  add	x29, sp, #0x10
0xfffffff008e82f3c: f30300aa  mov	x19, x0
0xfffffff008e82f40: 15730094  bl	#0xfffffff008e9fb94
0xfffffff008e82f44: 4064fff0  adrp	x0, #0xfffffff007b0d000
0xfffffff008e82f48: 00003691  add	x0, x0, #0xd80
0xfffffff008e82f4c: e10313aa  mov	x1, x19
0xfffffff008e82f50: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e82f54: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e82f58: ff2303d5  autibsp	
0xfffffff008e82f5c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008e82f60: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008e82f68
0xfffffff008e82f64: 208e38d4  brk	#0xc471
0xfffffff008e82f68: e94dd317  b	#0xfffffff00835670c
0xfffffff008e82f6c: 5f2403d5  bti	c
0xfffffff008e82f70: 00008052  mov	w0, #0
0xfffffff008e82f74: c0035fd6  ret	
0xfffffff008e82f78: 5f2403d5  bti	c
0xfffffff008e82f7c: e30301aa  mov	x3, x1
0xfffffff008e82f80: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff008e82f84: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff008e82f88: 01604039  ldrb	w1, [x0, #0x18]
0xfffffff008e82f8c: 02004139  ldrb	w2, [x0, #0x40]
0xfffffff008e82f90: 100140f9  ldr	x16, [x8]
0xfffffff008e82f94: f10308aa  mov	x17, x8
0xfffffff008e82f98: 5115e6f2  movk	x17, #0x30aa, lsl #48
0xfffffff008e82f9c: 301ac1da  autda	x16, x17
0xfffffff008e82fa0: 098e41f8  ldr	x9, [x16, #0x18]!
0xfffffff008e82fa4: e40310aa  mov	x4, x16
0xfffffff008e82fa8: f00309aa  mov	x16, x9
0xfffffff008e82fac: e00308aa  mov	x0, x8
0xfffffff008e82fb0: f10304aa  mov	x17, x4
0xfffffff008e82fb4: 1193eaf2  movk	x17, #0x5498, lsl #48
0xfffffff008e82fb8: 110a1fd7  braa	x16, x17
0xfffffff008e82fbc: 7f2303d5  pacibsp	
0xfffffff008e82fc0: ff8300d1  sub	sp, sp, #0x20
