; Candidate 7498
; ADRP+ADD at VM 0xfffffff0088703fc (fileoff 0x186c3fc): page=0x1fe9a3000 add_imm=0xe0f

0xfffffff00887037c: e00314aa  mov	x0, x20
0xfffffff008870380: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008870384: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008870388: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00887038c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008870390: ff030291  add	sp, sp, #0x80
0xfffffff008870394: ff0f5fd6  retab	
0xfffffff008870398: 7f2303d5  pacibsp	
0xfffffff00887039c: ff8301d1  sub	sp, sp, #0x60
0xfffffff0088703a0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088703a4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088703a8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088703ac: fd430191  add	x29, sp, #0x50
0xfffffff0088703b0: f30300aa  mov	x19, x0
0xfffffff0088703b4: 600b8052  mov	w0, #0x5b
0xfffffff0088703b8: 01018052  mov	w1, #8
0xfffffff0088703bc: 052d0094  bl	#0xfffffff00887b7d0
0xfffffff0088703c0: a0040034  cbz	w0, #0xfffffff008870454
0xfffffff0088703c4: 600b8052  mov	w0, #0x5b
0xfffffff0088703c8: 142d0094  bl	#0xfffffff00887b818
0xfffffff0088703cc: f50300aa  mov	x21, x0
0xfffffff0088703d0: 770f0194  bl	#0xfffffff0088b41ac
0xfffffff0088703d4: f40300aa  mov	x20, x0
0xfffffff0088703d8: 00018052  mov	w0, #8
0xfffffff0088703dc: 1d2d0094  bl	#0xfffffff00887b850
0xfffffff0088703e0: 75010034  cbz	w21, #0xfffffff00887040c
0xfffffff0088703e4: c84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff0088703e8: 08cd2391  add	x8, x8, #0x8f3
0xfffffff0088703ec: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088703f0: 680b8052  mov	w8, #0x5b
0xfffffff0088703f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088703f8: f40300f9  str	x20, [sp]
0xfffffff0088703fc: 004dfff0  adrp	x0, #0xfffffff007213000
0xfffffff008870400: 003c3891  add	x0, x0, #0xe0f
0xfffffff008870404: 171cd597  bl	#0xfffffff007db7460
0xfffffff008870408: 13000014  b	#0xfffffff008870454
0xfffffff00887040c: 680f0194  bl	#0xfffffff0088b41ac
0xfffffff008870410: f40300aa  mov	x20, x0
0xfffffff008870414: 00018052  mov	w0, #8
0xfffffff008870418: 0e2d0094  bl	#0xfffffff00887b850
0xfffffff00887041c: c84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008870420: 08cd2391  add	x8, x8, #0x8f3
0xfffffff008870424: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008870428: 680b8052  mov	w8, #0x5b
0xfffffff00887042c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008870430: f40300f9  str	x20, [sp]
0xfffffff008870434: c04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008870438: 00003a91  add	x0, x0, #0xe80
0xfffffff00887043c: c18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008870440: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008870444: 434fff90  adrp	x3, #0xfffffff007258000
0xfffffff008870448: 63a83291  add	x3, x3, #0xcaa
0xfffffff00887044c: 02008052  mov	w2, #0
0xfffffff008870450: 380beb97  bl	#0xfffffff008333130
0xfffffff008870454: e00313aa  mov	x0, x19
0xfffffff008870458: 01009052  mov	w1, #0x8000
0xfffffff00887045c: e102a072  movk	w1, #0x17, lsl #16
0xfffffff008870460: 02048052  mov	w2, #0x20
0xfffffff008870464: c202a072  movk	w2, #0x16, lsl #16
0xfffffff008870468: 23008052  mov	w3, #1
0xfffffff00887046c: 7d150094  bl	#0xfffffff008875a60
0xfffffff008870470: f40300aa  mov	x20, x0
0xfffffff008870474: 600b8052  mov	w0, #0x5b
0xfffffff008870478: 01018052  mov	w1, #8
