; Candidate 16431
; ADRP+ADD at VM 0xfffffff009e9e5d8 (fileoff 0x2e9a5d8): page=0x1fd99a000 add_imm=0xd22

0xfffffff009e9e558: 4ac51291  add	x10, x10, #0x4b1
0xfffffff009e9e55c: 12000014  b	#0xfffffff009e9e5a4
0xfffffff009e9e560: a8cb9152  mov	w8, #0x8e5d
0xfffffff009e9e564: a9ccfed0  adrp	x9, #0xfffffff007834000
0xfffffff009e9e568: 291d3591  add	x9, x9, #0xd47
0xfffffff009e9e56c: eaccfeb0  adrp	x10, #0xfffffff00783b000
0xfffffff009e9e570: 4a4d0a91  add	x10, x10, #0x293
0xfffffff009e9e574: 0c000014  b	#0xfffffff009e9e5a4
0xfffffff009e9e578: c8cb9152  mov	w8, #0x8e5e
0xfffffff009e9e57c: a9ccfed0  adrp	x9, #0xfffffff007834000
0xfffffff009e9e580: 291d3591  add	x9, x9, #0xd47
0xfffffff009e9e584: 8acdfed0  adrp	x10, #0xfffffff007850000
0xfffffff009e9e588: 4af10291  add	x10, x10, #0xbc
0xfffffff009e9e58c: 06000014  b	#0xfffffff009e9e5a4
0xfffffff009e9e590: e8cb9152  mov	w8, #0x8e5f
0xfffffff009e9e594: a9ccfed0  adrp	x9, #0xfffffff007834000
0xfffffff009e9e598: 291d3591  add	x9, x9, #0xd47
0xfffffff009e9e59c: 4acefe90  adrp	x10, #0xfffffff007866000
0xfffffff009e9e5a0: 4a011391  add	x10, x10, #0x4c0
0xfffffff009e9e5a4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009e9e5a8: ea0300f9  str	x10, [sp]
0xfffffff009e9e5ac: 20cefef0  adrp	x0, #0xfffffff007865000
0xfffffff009e9e5b0: 00783091  add	x0, x0, #0xc1e
0xfffffff009e9e5b4: d6d79797  bl	#0xfffffff00849450c
0xfffffff009e9e5b8: e00314aa  mov	x0, x20
0xfffffff009e9e5bc: 12000094  bl	#0xfffffff009e9e604
0xfffffff009e9e5c0: 80010034  cbz	w0, #0xfffffff009e9e5f0
0xfffffff009e9e5c4: e8ccfed0  adrp	x8, #0xfffffff00783c000
0xfffffff009e9e5c8: 08dd1391  add	x8, x8, #0x4f7
0xfffffff009e9e5cc: 89cc9152  mov	w9, #0x8e64
0xfffffff009e9e5d0: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff009e9e5d4: e80300f9  str	x8, [sp]
0xfffffff009e9e5d8: c0ccfed0  adrp	x0, #0xfffffff007838000
0xfffffff009e9e5dc: 00883491  add	x0, x0, #0xd22
0xfffffff009e9e5e0: a0637c97  bl	#0xfffffff007db7460
0xfffffff009e9e5e4: e00314aa  mov	x0, x20
0xfffffff009e9e5e8: 66000094  bl	#0xfffffff009e9e780
0xfffffff009e9e5ec: 03000014  b	#0xfffffff009e9e5f8
0xfffffff009e9e5f0: e00314aa  mov	x0, x20
0xfffffff009e9e5f4: b1000094  bl	#0xfffffff009e9e8b8
0xfffffff009e9e5f8: e00313aa  mov	x0, x19
0xfffffff009e9e5fc: e6357d97  bl	#0xfffffff007debd94
0xfffffff009e9e600: 200020d4  brk	#1
0xfffffff009e9e604: 7f2303d5  pacibsp	
0xfffffff009e9e608: ff8301d1  sub	sp, sp, #0x60
0xfffffff009e9e60c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009e9e610: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009e9e614: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009e9e618: fd430191  add	x29, sp, #0x50
0xfffffff009e9e61c: f30300aa  mov	x19, x0
0xfffffff009e9e620: 72be8097  bl	#0xfffffff007ecdfe8
0xfffffff009e9e624: 687e4ff9  ldr	x8, [x19, #0x1ef8]
0xfffffff009e9e628: 1f0008eb  cmp	x0, x8
0xfffffff009e9e62c: a1080054  b.ne	#0xfffffff009e9e740
0xfffffff009e9e630: f40300aa  mov	x20, x0
0xfffffff009e9e634: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff009e9e638: 680650f9  ldr	x8, [x19, #0x2008]
0xfffffff009e9e63c: 1f0100eb  cmp	x8, x0
0xfffffff009e9e640: 80000054  b.eq	#0xfffffff009e9e650
0xfffffff009e9e644: 08ff8352  mov	w8, #0x1ff8
0xfffffff009e9e648: 6002088b  add	x0, x19, x8
0xfffffff009e9e64c: 2f3d7c97  bl	#0xfffffff007dadb08
0xfffffff009e9e650: e1a30091  add	x1, sp, #0x28
0xfffffff009e9e654: e00313aa  mov	x0, x19
