; Candidate 598
; ADRP+ADD at VM 0xfffffff007fa2200 (fileoff 0xf9e200): page=0x1ff0c3000 add_imm=0xd1f

0xfffffff007fa2180: e2f18052  mov	w2, #0x78f
0xfffffff007fa2184: a4f51394  bl	#0xfffffff00849f814
0xfffffff007fa2188: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa218c: 001c3391  add	x0, x0, #0xcc7
0xfffffff007fa2190: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa2194: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa2198: a2118152  mov	w2, #0x88d
0xfffffff007fa219c: 9ef51394  bl	#0xfffffff00849f814
0xfffffff007fa21a0: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa21a4: 00f43691  add	x0, x0, #0xdbd
0xfffffff007fa21a8: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa21ac: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa21b0: c2268152  mov	w2, #0x936
0xfffffff007fa21b4: 98f51394  bl	#0xfffffff00849f814
0xfffffff007fa21b8: 25eff697  bl	#0xfffffff007d5de4c
0xfffffff007fa21bc: 0886fff0  adrp	x8, #0xfffffff007065000
0xfffffff007fa21c0: 08392291  add	x8, x8, #0x88e
0xfffffff007fa21c4: 09148152  mov	w9, #0x8a0
0xfffffff007fa21c8: e82700a9  stp	x8, x9, [sp]
0xfffffff007fa21cc: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa21d0: 003c3591  add	x0, x0, #0xd4f
0xfffffff007fa21d4: cec81394  bl	#0xfffffff00849450c
0xfffffff007fa21d8: a086ff90  adrp	x0, #0xfffffff007076000
0xfffffff007fa21dc: 00c03e91  add	x0, x0, #0xfb0
0xfffffff007fa21e0: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa21e4: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa21e8: e24f8052  mov	w2, #0x27f
0xfffffff007fa21ec: 8af51394  bl	#0xfffffff00849f814
0xfffffff007fa21f0: 0886fff0  adrp	x8, #0xfffffff007065000
0xfffffff007fa21f4: 08392291  add	x8, x8, #0x88e
0xfffffff007fa21f8: 69f58052  mov	w9, #0x7ab
0xfffffff007fa21fc: e82700a9  stp	x8, x9, [sp]
0xfffffff007fa2200: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa2204: 007c3491  add	x0, x0, #0xd1f
0xfffffff007fa2208: c1c81394  bl	#0xfffffff00849450c
0xfffffff007fa220c: 7f2303d5  pacibsp	
0xfffffff007fa2210: ff0301d1  sub	sp, sp, #0x40
0xfffffff007fa2214: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007fa2218: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007fa221c: fdc30091  add	x29, sp, #0x30
0xfffffff007fa2220: 087440b9  ldr	w8, [x0, #0x74]
0xfffffff007fa2224: 680ae837  tbnz	w8, #0x1d, #0xfffffff007fa2370
0xfffffff007fa2228: f30300aa  mov	x19, x0
0xfffffff007fa222c: 097040b9  ldr	w9, [x0, #0x70]
0xfffffff007fa2230: 2a050031  adds	w10, w9, #1
0xfffffff007fa2234: 0a7000b9  str	w10, [x0, #0x70]
0xfffffff007fa2238: 420b0054  b.hs	#0xfffffff007fa23a0
0xfffffff007fa223c: 29050035  cbnz	w9, #0xfffffff007fa22e0
0xfffffff007fa2240: 698a40f9  ldr	x9, [x19, #0x110]
0xfffffff007fa2244: e90400b4  cbz	x9, #0xfffffff007fa22e0
0xfffffff007fa2248: 29008452  mov	w9, #0x2001
0xfffffff007fa224c: 4998a072  movk	w9, #0x4c2, lsl #16
0xfffffff007fa2250: 0901090a  and	w9, w8, w9
0xfffffff007fa2254: 29814051  sub	w9, w9, #0x20, lsl #12
0xfffffff007fa2258: 3f050071  cmp	w9, #1
0xfffffff007fa225c: 21040054  b.ne	#0xfffffff007fa22e0
0xfffffff007fa2260: 699240f9  ldr	x9, [x19, #0x120]
0xfffffff007fa2264: 090200b4  cbz	x9, #0xfffffff007fa22a4
0xfffffff007fa2268: 08351312  and	w8, w8, #0x7ffe000
0xfffffff007fa226c: 084d0612  and	w8, w8, #0xfc003fff
0xfffffff007fa2270: 0980a052  mov	w9, #0x4000000
0xfffffff007fa2274: 1f01096b  cmp	w8, w9
0xfffffff007fa2278: 81080054  b.ne	#0xfffffff007fa2388
0xfffffff007fa227c: 60820191  add	x0, x19, #0x60
