; Candidate 10223
; ADRP+ADD at VM 0xfffffff008cc46d8 (fileoff 0x1cc06d8): page=0x1fe69b000 add_imm=0xddc

0xfffffff008cc4658: e84f00a9  stp	x8, x19, [sp]
0xfffffff008cc465c: e034ff90  adrp	x0, #0xfffffff007360000
0xfffffff008cc4660: 007c2a91  add	x0, x0, #0xa9f
0xfffffff008cc4664: bbabde97  bl	#0xfffffff00846f550
0xfffffff008cc4668: c80240b9  ldr	w8, [x22]
0xfffffff008cc466c: 48bf0f36  tbz	w8, #1, #0xfffffff008cc3e54
0xfffffff008cc4670: f30300f9  str	x19, [sp]
0xfffffff008cc4674: e034ff90  adrp	x0, #0xfffffff007360000
0xfffffff008cc4678: 00a42b91  add	x0, x0, #0xae9
0xfffffff008cc467c: 694ada97  bl	#0xfffffff008357020
0xfffffff008cc4680: f5fdff17  b	#0xfffffff008cc3e54
0xfffffff008cc4684: 14008052  mov	w20, #0
0xfffffff008cc4688: 683a7b39  ldrb	w8, [x19, #0xece]
0xfffffff008cc468c: c8030034  cbz	w8, #0xfffffff008cc4704
0xfffffff008cc4690: c80240b9  ldr	w8, [x22]
0xfffffff008cc4694: 28032036  tbz	w8, #4, #0xfffffff008cc46f8
0xfffffff008cc4698: 09050012  and	w9, w8, #3
0xfffffff008cc469c: e9020034  cbz	w9, #0xfffffff008cc46f8
0xfffffff008cc46a0: 48020036  tbz	w8, #0, #0xfffffff008cc46e8
0xfffffff008cc46a4: 0b3fc897  bl	#0xfffffff007ed42d0
0xfffffff008cc46a8: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff008cc46ac: e1830091  add	x1, sp, #0x20
0xfffffff008cc46b0: 6440c897  bl	#0xfffffff007ed4840
0xfffffff008cc46b4: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff008cc46b8: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc46bc: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc46c0: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc46c4: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc46c8: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc46cc: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc46d0: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc46d4: e80300f9  str	x8, [sp]
0xfffffff008cc46d8: c034fff0  adrp	x0, #0xfffffff00735f000
0xfffffff008cc46dc: 00703791  add	x0, x0, #0xddc
0xfffffff008cc46e0: 9cabde97  bl	#0xfffffff00846f550
0xfffffff008cc46e4: c80240b9  ldr	w8, [x22]
0xfffffff008cc46e8: 88000836  tbz	w8, #1, #0xfffffff008cc46f8
0xfffffff008cc46ec: c034fff0  adrp	x0, #0xfffffff00735f000
0xfffffff008cc46f0: 00b83891  add	x0, x0, #0xe2e
0xfffffff008cc46f4: 4b4ada97  bl	#0xfffffff008357020
0xfffffff008cc46f8: 7f3a3b39  strb	wzr, [x19, #0xece]
0xfffffff008cc46fc: e00313aa  mov	x0, x19
0xfffffff008cc4700: e77adb97  bl	#0xfffffff0083a329c
0xfffffff008cc4704: 683e7b39  ldrb	w8, [x19, #0xecf]
0xfffffff008cc4708: a8010034  cbz	w8, #0xfffffff008cc473c
0xfffffff008cc470c: 08050051  sub	w8, w8, #1
0xfffffff008cc4710: 683e3b39  strb	w8, [x19, #0xecf]
0xfffffff008cc4714: 700240f9  ldr	x16, [x19]
0xfffffff008cc4718: f10313aa  mov	x17, x19
0xfffffff008cc471c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cc4720: 301ac1da  autda	x16, x17
0xfffffff008cc4724: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008cc4728: e90310aa  mov	x9, x16
0xfffffff008cc472c: e00313aa  mov	x0, x19
0xfffffff008cc4730: f10309aa  mov	x17, x9
0xfffffff008cc4734: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008cc4738: 11093fd7  blraa	x8, x17
0xfffffff008cc473c: 68167a39  ldrb	w8, [x19, #0xe85]
0xfffffff008cc4740: 68010034  cbz	w8, #0xfffffff008cc476c
0xfffffff008cc4744: 68367b39  ldrb	w8, [x19, #0xecd]
0xfffffff008cc4748: 08060035  cbnz	w8, #0xfffffff008cc4808
0xfffffff008cc474c: 68327b39  ldrb	w8, [x19, #0xecc]
0xfffffff008cc4750: e8000034  cbz	w8, #0xfffffff008cc476c
0xfffffff008cc4754: 68827b39  ldrb	w8, [x19, #0xee0]
