; Candidate 2992
; ADRP+ADD at VM 0xfffffff008700b38 (fileoff 0x16fcb38): page=0x1fea31000 add_imm=0xd90

0xfffffff008700ab8: 288900b9  str	w8, [x9, #0x88]
0xfffffff008700abc: a86e40b9  ldr	w8, [x21, #0x6c]
0xfffffff008700ac0: 288d00b9  str	w8, [x9, #0x8c]
0xfffffff008700ac4: 880340f9  ldr	x8, [x28]
0xfffffff008700ac8: 098d40b9  ldr	w9, [x8, #0x8c]
0xfffffff008700acc: 7652fff0  adrp	x22, #0xfffffff00714f000
0xfffffff008700ad0: d6be1991  add	x22, x22, #0x66f
0xfffffff008700ad4: 3f190072  tst	w9, #0x7f
0xfffffff008700ad8: 60010054  b.eq	#0xfffffff008700b04
0xfffffff008700adc: f62700a9  stp	x22, x9, [sp]
0xfffffff008700ae0: 8051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008700ae4: 00403691  add	x0, x0, #0xd90
0xfffffff008700ae8: e197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008700aec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008700af0: a351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff008700af4: 63941291  add	x3, x3, #0x4a5
0xfffffff008700af8: 02008052  mov	w2, #0
0xfffffff008700afc: 8dc9f097  bl	#0xfffffff008333130
0xfffffff008700b00: 880340f9  ldr	x8, [x28]
0xfffffff008700b04: f42340f9  ldr	x20, [sp, #0x40]
0xfffffff008700b08: a91a40b9  ldr	w9, [x21, #0x18]
0xfffffff008700b0c: aa4240b9  ldr	w10, [x21, #0x40]
0xfffffff008700b10: 4901090b  add	w9, w10, w9
0xfffffff008700b14: 099900b9  str	w9, [x8, #0x98]
0xfffffff008700b18: a97240b9  ldr	w9, [x21, #0x70]
0xfffffff008700b1c: 099d00b9  str	w9, [x8, #0x9c]
0xfffffff008700b20: 880340f9  ldr	x8, [x28]
0xfffffff008700b24: 09714239  ldrb	w9, [x8, #0x9c]
0xfffffff008700b28: 3f190072  tst	w9, #0x7f
0xfffffff008700b2c: 80010054  b.eq	#0xfffffff008700b5c
0xfffffff008700b30: c8408052  mov	w8, #0x206
0xfffffff008700b34: f62300a9  stp	x22, x8, [sp]
0xfffffff008700b38: 8051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008700b3c: 00403691  add	x0, x0, #0xd90
0xfffffff008700b40: e197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008700b44: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008700b48: a351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff008700b4c: 63841391  add	x3, x3, #0x4e1
0xfffffff008700b50: 02008052  mov	w2, #0
0xfffffff008700b54: 77c9f097  bl	#0xfffffff008333130
0xfffffff008700b58: 880340f9  ldr	x8, [x28]
0xfffffff008700b5c: 09118052  mov	w9, #0x88
0xfffffff008700b60: 894e099b  madd	x9, x20, x9, x19
0xfffffff008700b64: 2a2540f9  ldr	x10, [x9, #0x48]
0xfffffff008700b68: 0a9100b9  str	w10, [x8, #0x90]
0xfffffff008700b6c: 296540b9  ldr	w9, [x9, #0x64]
0xfffffff008700b70: 099500b9  str	w9, [x8, #0x94]
0xfffffff008700b74: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008700b78: 09514239  ldrb	w9, [x8, #0x94]
0xfffffff008700b7c: 3f190072  tst	w9, #0x7f
0xfffffff008700b80: 80010054  b.eq	#0xfffffff008700bb0
0xfffffff008700b84: 28418052  mov	w8, #0x209
0xfffffff008700b88: f62300a9  stp	x22, x8, [sp]
0xfffffff008700b8c: 8051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008700b90: 00403691  add	x0, x0, #0xd90
0xfffffff008700b94: e197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008700b98: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008700b9c: a351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff008700ba0: 63501491  add	x3, x3, #0x514
0xfffffff008700ba4: 02008052  mov	w2, #0
0xfffffff008700ba8: 62c9f097  bl	#0xfffffff008333130
0xfffffff008700bac: 880340f9  ldr	x8, [x28]
0xfffffff008700bb0: 69da74b9  ldr	w9, [x19, #0x34d8]
0xfffffff008700bb4: 09510179  strh	w9, [x8, #0xa8]
