; Candidate 5273
; ADRP+ADD at VM 0xfffffff0087e3e70 (fileoff 0x17dfe70): page=0x1fea06000 add_imm=0xe80

0xfffffff0087e3df0: 8a5e0294  bl	#0xfffffff00887b818
0xfffffff0087e3df4: f90300aa  mov	x25, x0
0xfffffff0087e3df8: ed400394  bl	#0xfffffff0088b41ac
0xfffffff0087e3dfc: f80300aa  mov	x24, x0
0xfffffff0087e3e00: 80008052  mov	w0, #4
0xfffffff0087e3e04: 935e0294  bl	#0xfffffff00887b850
0xfffffff0087e3e08: 390f0034  cbz	w25, #0xfffffff0087e3fec
0xfffffff0087e3e0c: e80317aa  mov	x8, x23
0xfffffff0087e3e10: 692640b9  ldr	w9, [x19, #0x24]
0xfffffff0087e3e14: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e3e18: 28008052  mov	w8, #1
0xfffffff0087e3e1c: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e3e20: f31b00f9  str	x19, [sp, #0x30]
0xfffffff0087e3e24: 6851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087e3e28: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e3e2c: 29798052  mov	w9, #0x3c9
0xfffffff0087e3e30: 1f010014  b	#0xfffffff0087e42ac
0xfffffff0087e3e34: de400394  bl	#0xfffffff0088b41ac
0xfffffff0087e3e38: f60300aa  mov	x22, x0
0xfffffff0087e3e3c: 80008052  mov	w0, #4
0xfffffff0087e3e40: 845e0294  bl	#0xfffffff00887b850
0xfffffff0087e3e44: 28038052  mov	w8, #0x19
0xfffffff0087e3e48: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087e3e4c: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3e50: 083d1691  add	x8, x8, #0x58f
0xfffffff0087e3e54: c9768052  mov	w9, #0x3b6
0xfffffff0087e3e58: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087e3e5c: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3e60: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e3e64: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e3e68: 680e8052  mov	w8, #0x73
0xfffffff0087e3e6c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087e3e70: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e3e74: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e3e78: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e3e7c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e3e80: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e3e84: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0087e3e88: 02008052  mov	w2, #0
0xfffffff0087e3e8c: a93ced97  bl	#0xfffffff008333130
0xfffffff0087e3e90: 577d8012  mov	w23, #-0x3eb
0xfffffff0087e3e94: 19010014  b	#0xfffffff0087e42f8
0xfffffff0087e3e98: c5400394  bl	#0xfffffff0088b41ac
0xfffffff0087e3e9c: f80300aa  mov	x24, x0
0xfffffff0087e3ea0: 80008052  mov	w0, #4
0xfffffff0087e3ea4: 6b5e0294  bl	#0xfffffff00887b850
0xfffffff0087e3ea8: e80317aa  mov	x8, x23
0xfffffff0087e3eac: 290f40b9  ldr	w9, [x25, #0xc]
0xfffffff0087e3eb0: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e3eb4: f6ff03a9  stp	x22, xzr, [sp, #0x38]
0xfffffff0087e3eb8: 6851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087e3ebc: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e3ec0: 49788052  mov	w9, #0x3c2
0xfffffff0087e3ec4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e3ec8: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3ecc: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e3ed0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e3ed4: 680e8052  mov	w8, #0x73
0xfffffff0087e3ed8: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e3edc: 63b43291  add	x3, x3, #0xcad
0xfffffff0087e3ee0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e3ee4: f80300f9  str	x24, [sp]
0xfffffff0087e3ee8: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e3eec: 00003a91  add	x0, x0, #0xe80
