; Candidate 961
; ADRP+ADD at VM 0xfffffff008126358 (fileoff 0x1122358): page=0x2098000 add_imm=0xe70

0xfffffff0081262d8: 1f0100f1  cmp	x8, #0
0xfffffff0081262dc: c1020054  b.ne	#0xfffffff008126334
0xfffffff0081262e0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0081262e4: 08050031  adds	w8, w8, #1
0xfffffff0081262e8: 681200b9  str	w8, [x19, #0x10]
0xfffffff0081262ec: c2030054  b.hs	#0xfffffff008126364
0xfffffff0081262f0: 681e40f9  ldr	x8, [x19, #0x38]
0xfffffff0081262f4: a80000b4  cbz	x8, #0xfffffff008126308
0xfffffff0081262f8: e00313aa  mov	x0, x19
0xfffffff0081262fc: 21008052  mov	w1, #1
0xfffffff008126300: f1a09ad2  mov	x17, #0xd507
0xfffffff008126304: 11093fd7  blraa	x8, x17
0xfffffff008126308: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff00812630c: 69220091  add	x9, x19, #8
0xfffffff008126310: e20308aa  mov	x2, x8
0xfffffff008126314: 3ffda288  casl	w2, wzr, [x9]
0xfffffff008126318: 5f00086b  cmp	w2, w8
0xfffffff00812631c: 61010054  b.ne	#0xfffffff008126348
0xfffffff008126320: e00313aa  mov	x0, x19
0xfffffff008126324: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008126328: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00812632c: ff030191  add	sp, sp, #0x40
0xfffffff008126330: ff0f5fd6  retab	
0xfffffff008126334: e00313aa  mov	x0, x19
0xfffffff008126338: e10314aa  mov	x1, x20
0xfffffff00812633c: 02008052  mov	w2, #0
0xfffffff008126340: ee15f297  bl	#0xfffffff007dabaf8
0xfffffff008126344: e7ffff17  b	#0xfffffff0081262e0
0xfffffff008126348: e00313aa  mov	x0, x19
0xfffffff00812634c: e10314aa  mov	x1, x20
0xfffffff008126350: 0519f297  bl	#0xfffffff007dac764
0xfffffff008126354: f3ffff17  b	#0xfffffff008126320
0xfffffff008126358: c0040190  adrp	x0, #0xfffffff00a1be000
0xfffffff00812635c: 00c03991  add	x0, x0, #0xe70
0xfffffff008126360: abe70d94  bl	#0xfffffff0084a020c
0xfffffff008126364: 08b18152  mov	w8, #0xd88
0xfffffff008126368: a97affb0  adrp	x9, #0xfffffff00707b000
0xfffffff00812636c: 297d3b91  add	x9, x9, #0xedf
0xfffffff008126370: aa7affd0  adrp	x10, #0xfffffff00707c000
0xfffffff008126374: 4ac10491  add	x10, x10, #0x130
0xfffffff008126378: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00812637c: ea4f00a9  stp	x10, x19, [sp]
0xfffffff008126380: a07affd0  adrp	x0, #0xfffffff00707c000
0xfffffff008126384: 002c0491  add	x0, x0, #0x10b
0xfffffff008126388: 61b80d94  bl	#0xfffffff00849450c
0xfffffff00812638c: 7f2303d5  pacibsp	
0xfffffff008126390: ffc300d1  sub	sp, sp, #0x30
0xfffffff008126394: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008126398: fd830091  add	x29, sp, #0x20
0xfffffff00812639c: 08504039  ldrb	w8, [x0, #0x14]
0xfffffff0081263a0: a8031036  tbz	w8, #2, #0xfffffff008126414
0xfffffff0081263a4: 08600391  add	x8, x0, #0xd8
0xfffffff0081263a8: 09602791  add	x9, x0, #0x9d8
0xfffffff0081263ac: 3f000071  cmp	w1, #0
0xfffffff0081263b0: 0a088052  mov	w10, #0x40
0xfffffff0081263b4: 4b088052  mov	w11, #0x42
0xfffffff0081263b8: 6a018a9a  csel	x10, x11, x10, eq
0xfffffff0081263bc: 2801889a  csel	x8, x9, x8, eq
0xfffffff0081263c0: 09000a8b  add	x9, x0, x10
0xfffffff0081263c4: 2a008052  mov	w10, #1
0xfffffff0081263c8: 29012a78  ldaddh	w10, w9, [x9]
0xfffffff0081263cc: 29110012  and	w9, w9, #0x1f
0xfffffff0081263d0: 0a098052  mov	w10, #0x48
0xfffffff0081263d4: 2021aa9b  umaddl	x0, w9, w10, x8
