; Candidate 12478
; ADRP+ADD at VM 0xfffffff0090a687c (fileoff 0x20a287c): page=0x1fe3bd000 add_imm=0xd2d

0xfffffff0090a67fc: e00315aa  mov	x0, x21
0xfffffff0090a6800: ba59c497  bl	#0xfffffff0081bcee8
0xfffffff0090a6804: 0e000014  b	#0xfffffff0090a683c
0xfffffff0090a6808: c8024039  ldrb	w8, [x22]
0xfffffff0090a680c: 1f190171  cmp	w8, #0x46
0xfffffff0090a6810: 28010054  b.hi	#0xfffffff0090a6834
0xfffffff0090a6814: 881dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090a6818: 08d53091  add	x8, x8, #0xc35
0xfffffff0090a681c: e91dffb0  adrp	x9, #0xfffffff007463000
0xfffffff0090a6820: 29212d91  add	x9, x9, #0xb48
0xfffffff0090a6824: e92300a9  stp	x9, x8, [sp]
0xfffffff0090a6828: e01dffb0  adrp	x0, #0xfffffff007463000
0xfffffff0090a682c: 00703391  add	x0, x0, #0xcdc
0xfffffff0090a6830: fcc1ca97  bl	#0xfffffff008357020
0xfffffff0090a6834: 08008012  mov	w8, #-1
0xfffffff0090a6838: 88ea00b9  str	w8, [x20, #0xe8]
0xfffffff0090a683c: c8024039  ldrb	w8, [x22]
0xfffffff0090a6840: 1fa10071  cmp	w8, #0x28
0xfffffff0090a6844: 28020054  b.hi	#0xfffffff0090a6888
0xfffffff0090a6848: a81dff90  adrp	x8, #0xfffffff00745a000
0xfffffff0090a684c: 089d2191  add	x8, x8, #0x867
0xfffffff0090a6850: a91dff90  adrp	x9, #0xfffffff00745a000
0xfffffff0090a6854: 29891691  add	x9, x9, #0x5a2
0xfffffff0090a6858: bf0200f1  cmp	x21, #0
0xfffffff0090a685c: 2801889a  csel	x8, x9, x8, eq
0xfffffff0090a6860: 89ea40b9  ldr	w9, [x20, #0xe8]
0xfffffff0090a6864: 8a1dfff0  adrp	x10, #0xfffffff007459000
0xfffffff0090a6868: 4ad53091  add	x10, x10, #0xc35
0xfffffff0090a686c: eb1dffb0  adrp	x11, #0xfffffff007463000
0xfffffff0090a6870: 6b212d91  add	x11, x11, #0xb48
0xfffffff0090a6874: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0090a6878: eb2b00a9  stp	x11, x10, [sp]
0xfffffff0090a687c: e01dffb0  adrp	x0, #0xfffffff007463000
0xfffffff0090a6880: 00b43491  add	x0, x0, #0xd2d
0xfffffff0090a6884: e7c1ca97  bl	#0xfffffff008357020
0xfffffff0090a6888: 0855fff0  adrp	x8, #0xfffffff007b49000
0xfffffff0090a688c: 089941f9  ldr	x8, [x8, #0x330]
0xfffffff0090a6890: 09010b91  add	x9, x8, #0x2c0
0xfffffff0090a6894: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff0090a6898: e00314aa  mov	x0, x20
0xfffffff0090a689c: e10313aa  mov	x1, x19
0xfffffff0090a68a0: f10309aa  mov	x17, x9
0xfffffff0090a68a4: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0090a68a8: 11093fd7  blraa	x8, x17
0xfffffff0090a68ac: 80030036  tbz	w0, #0, #0xfffffff0090a691c
0xfffffff0090a68b0: 33008052  mov	w19, #1
0xfffffff0090a68b4: c8024039  ldrb	w8, [x22]
0xfffffff0090a68b8: 1f790071  cmp	w8, #0x1e
0xfffffff0090a68bc: 08020054  b.hi	#0xfffffff0090a68fc
0xfffffff0090a68c0: e81dffb0  adrp	x8, #0xfffffff007463000
0xfffffff0090a68c4: 08b53291  add	x8, x8, #0xcad
0xfffffff0090a68c8: e91dffb0  adrp	x9, #0xfffffff007463000
0xfffffff0090a68cc: 29a53291  add	x9, x9, #0xca9
0xfffffff0090a68d0: 7f020071  cmp	w19, #0
0xfffffff0090a68d4: 2811889a  csel	x8, x9, x8, ne
0xfffffff0090a68d8: 891dfff0  adrp	x9, #0xfffffff007459000
0xfffffff0090a68dc: 29d53091  add	x9, x9, #0xc35
0xfffffff0090a68e0: ea1dffb0  adrp	x10, #0xfffffff007463000
0xfffffff0090a68e4: 4a212d91  add	x10, x10, #0xb48
0xfffffff0090a68e8: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090a68ec: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a68f0: e01dffb0  adrp	x0, #0xfffffff007463000
0xfffffff0090a68f4: 001c3291  add	x0, x0, #0xc87
0xfffffff0090a68f8: cac1ca97  bl	#0xfffffff008357020
