; Candidate 4597
; ADRP+ADD at VM 0xfffffff0087bd2b8 (fileoff 0x17b92b8): page=0x1fe974000 add_imm=0xd90

0xfffffff0087bd238: 21bc3191  add	x1, x1, #0xc6f
0xfffffff0087bd23c: e00313aa  mov	x0, x19
0xfffffff0087bd240: c2008052  mov	w2, #6
0xfffffff0087bd244: 1ff8ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd248: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bd24c: 009501b9  str	w0, [x8, #0x194]
0xfffffff0087bd250: 1f000171  cmp	w0, #0x40
0xfffffff0087bd254: a3010054  b.lo	#0xfffffff0087bd288
0xfffffff0087bd258: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd25c: 08d13091  add	x8, x8, #0xc34
0xfffffff0087bd260: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd264: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd268: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd26c: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd270: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd274: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd278: 63d41a91  add	x3, x3, #0x6b5
0xfffffff0087bd27c: 02008052  mov	w2, #0
0xfffffff0087bd280: acd7ed97  bl	#0xfffffff008333130
0xfffffff0087bd284: a6ffff17  b	#0xfffffff0087bd11c
0xfffffff0087bd288: 014dffb0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bd28c: 210c3291  add	x1, x1, #0xc83
0xfffffff0087bd290: e00313aa  mov	x0, x19
0xfffffff0087bd294: c2008052  mov	w2, #6
0xfffffff0087bd298: 0af8ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd29c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bd2a0: 009901b9  str	w0, [x8, #0x198]
0xfffffff0087bd2a4: 1f000171  cmp	w0, #0x40
0xfffffff0087bd2a8: a3010054  b.lo	#0xfffffff0087bd2dc
0xfffffff0087bd2ac: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd2b0: 08d13091  add	x8, x8, #0xc34
0xfffffff0087bd2b4: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd2b8: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd2bc: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd2c0: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd2c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd2c8: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd2cc: 636c1b91  add	x3, x3, #0x6db
0xfffffff0087bd2d0: 02008052  mov	w2, #0
0xfffffff0087bd2d4: 97d7ed97  bl	#0xfffffff008333130
0xfffffff0087bd2d8: 91ffff17  b	#0xfffffff0087bd11c
0xfffffff0087bd2dc: 814cfff0  adrp	x1, #0xfffffff007150000
0xfffffff0087bd2e0: 21201191  add	x1, x1, #0x448
0xfffffff0087bd2e4: e00313aa  mov	x0, x19
0xfffffff0087bd2e8: 62008052  mov	w2, #3
0xfffffff0087bd2ec: f5f7ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd2f0: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bd2f4: 009d01b9  str	w0, [x8, #0x19c]
0xfffffff0087bd2f8: 1f200071  cmp	w0, #8
0xfffffff0087bd2fc: a3010054  b.lo	#0xfffffff0087bd330
0xfffffff0087bd300: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd304: 08d13091  add	x8, x8, #0xc34
0xfffffff0087bd308: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd30c: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd310: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd314: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd318: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd31c: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd320: 63041c91  add	x3, x3, #0x701
0xfffffff0087bd324: 02008052  mov	w2, #0
0xfffffff0087bd328: 82d7ed97  bl	#0xfffffff008333130
0xfffffff0087bd32c: 7cffff17  b	#0xfffffff0087bd11c
0xfffffff0087bd330: 1f850639  strb	wzr, [x8, #0x1a1]
0xfffffff0087bd334: 814cfff0  adrp	x1, #0xfffffff007150000
