; Candidate 4019
; ADRP+ADD at VM 0xfffffff008784e84 (fileoff 0x1780e84): page=0x1fe9ad000 add_imm=0xd90

0xfffffff008784e04: 4a050011  add	w10, w10, #1
0xfffffff008784e08: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff008784e0c: 4b1d0011  add	w11, w10, #7
0xfffffff008784e10: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff008784e14: 3f050071  cmp	w9, #1
0xfffffff008784e18: 49018b1a  csel	w9, w10, w11, eq
0xfffffff008784e1c: 3f210071  cmp	w9, #8
0xfffffff008784e20: 88020054  b.hi	#0xfffffff008784e70
0xfffffff008784e24: e80300aa  mov	x8, x0
0xfffffff008784e28: f00309aa  mov	x16, x9
0xfffffff008784e2c: 1f2200f1  cmp	x16, #8
0xfffffff008784e30: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008784e34: 11000090  adrp	x17, #0xfffffff008784000
0xfffffff008784e38: 31123e91  add	x17, x17, #0xf84
0xfffffff008784e3c: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008784e40: 11000010  adr	x17, #0xfffffff008784e40
0xfffffff008784e44: 3002108b  add	x16, x17, x16
0xfffffff008784e48: 00021fd6  br	x16
0xfffffff008784e4c: 9f2403d5  bti	j
0xfffffff008784e50: 00008052  mov	w0, #0
0xfffffff008784e54: 29fc0011  add	w9, w1, #0x3f
0xfffffff008784e58: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008784e5c: 099922b9  str	w9, [x8, #0x2298]
0xfffffff008784e60: 29781f53  lsl	w9, w1, #1
0xfffffff008784e64: 41000014  b	#0xfffffff008784f68
0xfffffff008784e68: 00008052  mov	w0, #0
0xfffffff008784e6c: 43000014  b	#0xfffffff008784f78
0xfffffff008784e70: 9f2403d5  bti	j
0xfffffff008784e74: 28210011  add	w8, w9, #8
0xfffffff008784e78: 494efff0  adrp	x9, #0xfffffff00714f000
0xfffffff008784e7c: 29351b91  add	x9, x9, #0x6cd
0xfffffff008784e80: e92300a9  stp	x9, x8, [sp]
0xfffffff008784e84: 604dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008784e88: 00403691  add	x0, x0, #0xd90
0xfffffff008784e8c: c193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008784e90: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008784e94: 034effb0  adrp	x3, #0xfffffff007145000
0xfffffff008784e98: 63d42191  add	x3, x3, #0x875
0xfffffff008784e9c: 02008052  mov	w2, #0
0xfffffff008784ea0: a4b8ee97  bl	#0xfffffff008333130
0xfffffff008784ea4: 00008012  mov	w0, #-1
0xfffffff008784ea8: 34000014  b	#0xfffffff008784f78
0xfffffff008784eac: 9f2403d5  bti	j
0xfffffff008784eb0: 00008052  mov	w0, #0
0xfffffff008784eb4: 29080011  add	w9, w1, #2
0xfffffff008784eb8: 6a559552  mov	w10, #0xaaab
0xfffffff008784ebc: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff008784ec0: 297daa9b  umull	x9, w9, w10
0xfffffff008784ec4: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008784ec8: 29791f53  lsl	w9, w9, #1
0xfffffff008784ecc: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff008784ed0: 29fd0011  add	w9, w9, #0x3f
0xfffffff008784ed4: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008784ed8: 099922b9  str	w9, [x8, #0x2298]
0xfffffff008784edc: 29781f53  lsl	w9, w1, #1
0xfffffff008784ee0: 2909c41a  udiv	w9, w9, w4
0xfffffff008784ee4: 29150011  add	w9, w9, #5
0xfffffff008784ee8: 297daa9b  umull	x9, w9, w10
0xfffffff008784eec: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008784ef0: 29791f53  lsl	w9, w9, #1
0xfffffff008784ef4: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff008784ef8: 1d000014  b	#0xfffffff008784f6c
0xfffffff008784efc: 9f2403d5  bti	j
0xfffffff008784f00: 00008052  mov	w0, #0
