; Candidate 3688
; ADRP+ADD at VM 0xfffffff00874e1d0 (fileoff 0x174a1d0): page=0x1fe9e3000 add_imm=0xd90

0xfffffff00874e150: ff830191  add	sp, sp, #0x60
0xfffffff00874e154: ff0f5fd6  retab	
0xfffffff00874e158: 08098052  mov	w8, #0x48
0xfffffff00874e15c: c825089b  madd	x8, x14, x8, x9
0xfffffff00874e160: 0001c03d  ldr	q0, [x8]
0xfffffff00874e164: 6002803d  str	q0, [x19]
0xfffffff00874e168: 008540ad  ldp	q0, q1, [x8, #0x10]
0xfffffff00874e16c: 020dc03d  ldr	q2, [x8, #0x30]
0xfffffff00874e170: 082140f9  ldr	x8, [x8, #0x40]
0xfffffff00874e174: 682200f9  str	x8, [x19, #0x40]
0xfffffff00874e178: 610a01ad  stp	q1, q2, [x19, #0x20]
0xfffffff00874e17c: 6006803d  str	q0, [x19, #0x10]
0xfffffff00874e180: 800e40f9  ldr	x0, [x20, #0x18]
0xfffffff00874e184: 6e79d997  bl	#0xfffffff007dac73c
0xfffffff00874e188: 15008052  mov	w21, #0
0xfffffff00874e18c: edffff17  b	#0xfffffff00874e140
0xfffffff00874e190: 7f2303d5  pacibsp	
0xfffffff00874e194: ff4301d1  sub	sp, sp, #0x50
0xfffffff00874e198: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00874e19c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00874e1a0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00874e1a4: fd030191  add	x29, sp, #0x40
0xfffffff00874e1a8: f40301aa  mov	x20, x1
0xfffffff00874e1ac: f30300aa  mov	x19, x0
0xfffffff00874e1b0: 000c40f9  ldr	x0, [x0, #0x18]
0xfffffff00874e1b4: 4676d997  bl	#0xfffffff007dabacc
0xfffffff00874e1b8: 69564629  ldp	w9, w21, [x19, #0x30]
0xfffffff00874e1bc: bf02096b  cmp	w21, w9
0xfffffff00874e1c0: a1010054  b.ne	#0xfffffff00874e1f4
0xfffffff00874e1c4: 4850ffd0  adrp	x8, #0xfffffff007158000
0xfffffff00874e1c8: 08352891  add	x8, x8, #0xa0d
0xfffffff00874e1cc: e80300f9  str	x8, [sp]
0xfffffff00874e1d0: 004ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00874e1d4: 00403691  add	x0, x0, #0xd90
0xfffffff00874e1d8: 6195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874e1dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874e1e0: 834fffd0  adrp	x3, #0xfffffff007140000
0xfffffff00874e1e4: 63841a91  add	x3, x3, #0x6a1
0xfffffff00874e1e8: 02008052  mov	w2, #0
0xfffffff00874e1ec: d193ef97  bl	#0xfffffff008333130
0xfffffff00874e1f0: 30000014  b	#0xfffffff00874e2b0
0xfffffff00874e1f4: 6a1240f9  ldr	x10, [x19, #0x20]
0xfffffff00874e1f8: 880a40b9  ldr	w8, [x20, #8]
0xfffffff00874e1fc: 0d098052  mov	w13, #0x48
0xfffffff00874e200: 8c2e4429  ldp	w12, w11, [x20, #0x20]
0xfffffff00874e204: ae2aad9b  umaddl	x14, w21, w13, x10
0xfffffff00874e208: ce0940b9  ldr	w14, [x14, #8]
0xfffffff00874e20c: df01086b  cmp	w14, w8
0xfffffff00874e210: 81010054  b.ne	#0xfffffff00874e240
0xfffffff00874e214: ee03152a  mov	w14, w21
0xfffffff00874e218: cf290d9b  madd	x15, x14, x13, x10
0xfffffff00874e21c: ef2540b9  ldr	w15, [x15, #0x24]
0xfffffff00874e220: ff010b6b  cmp	w15, w11
0xfffffff00874e224: e1000054  b.ne	#0xfffffff00874e240
0xfffffff00874e228: 7f050071  cmp	w11, #1
0xfffffff00874e22c: e1080054  b.ne	#0xfffffff00874e348
0xfffffff00874e230: ce290d9b  madd	x14, x14, x13, x10
0xfffffff00874e234: ce2140b9  ldr	w14, [x14, #0x20]
0xfffffff00874e238: df010c6b  cmp	w14, w12
0xfffffff00874e23c: 60080054  b.eq	#0xfffffff00874e348
0xfffffff00874e240: ae060011  add	w14, w21, #1
0xfffffff00874e244: 6f2e40b9  ldr	w15, [x19, #0x2c]
0xfffffff00874e248: f5010e0a  and	w21, w15, w14
0xfffffff00874e24c: bf02096b  cmp	w21, w9
