; Candidate 12580
; ADRP+ADD at VM 0xfffffff0090c03cc (fileoff 0x20bc3cc): page=0x1fe399000 add_imm=0xe24

0xfffffff0090c034c: 180109cb  sub	x24, x8, x9
0xfffffff0090c0350: 1f030091  mov	sp, x24
0xfffffff0090c0354: e00318aa  mov	x0, x24
0xfffffff0090c0358: e10317aa  mov	x1, x23
0xfffffff0090c035c: f931b297  bl	#0xfffffff007d4cb40
0xfffffff0090c0360: 28008052  mov	w8, #1
0xfffffff0090c0364: 08570029  stp	w8, w21, [x24]
0xfffffff0090c0368: b50000b4  cbz	x21, #0xfffffff0090c037c
0xfffffff0090c036c: 00230091  add	x0, x24, #8
0xfffffff0090c0370: e10316aa  mov	x1, x22
0xfffffff0090c0374: e20315aa  mov	x2, x21
0xfffffff0090c0378: 8631b297  bl	#0xfffffff007d4c990
0xfffffff0090c037c: e00314aa  mov	x0, x20
0xfffffff0090c0380: a1058052  mov	w1, #0x2d
0xfffffff0090c0384: 02008052  mov	w2, #0
0xfffffff0090c0388: e30318aa  mov	x3, x24
0xfffffff0090c038c: e40317aa  mov	x4, x23
0xfffffff0090c0390: 050080d2  mov	x5, #0
0xfffffff0090c0394: 060080d2  mov	x6, #0
0xfffffff0090c0398: 519081d2  mov	x17, #0xc82
0xfffffff0090c039c: 710a3fd7  blraa	x19, x17
0xfffffff0090c03a0: f30300aa  mov	x19, x0
0xfffffff0090c03a4: a0090035  cbnz	w0, #0xfffffff0090c04d8
0xfffffff0090c03a8: 9f030091  mov	sp, x28
0xfffffff0090c03ac: 48018052  mov	w8, #0xa
0xfffffff0090c03b0: 69034039  ldrb	w9, [x27]
0xfffffff0090c03b4: 1f01096b  cmp	w8, w9
0xfffffff0090c03b8: 23010054  b.lo	#0xfffffff0090c03dc
0xfffffff0090c03bc: e80313aa  mov	x8, x19
0xfffffff0090c03c0: 087d4093  sxtw	x8, w8
0xfffffff0090c03c4: fa67bea9  stp	x26, x25, [sp, #-0x20]!
0xfffffff0090c03c8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c03cc: c01cffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090c03d0: 00903891  add	x0, x0, #0xe24
0xfffffff0090c03d4: 135bca97  bl	#0xfffffff008357020
0xfffffff0090c03d8: ff830091  add	sp, sp, #0x20
0xfffffff0090c03dc: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0090c03e0: 4954ffb0  adrp	x9, #0xfffffff007b49000
0xfffffff0090c03e4: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090c03e8: 290140f9  ldr	x9, [x9]
0xfffffff0090c03ec: 3f0108eb  cmp	x9, x8
0xfffffff0090c03f0: a1090054  b.ne	#0xfffffff0090c0524
0xfffffff0090c03f4: e00313aa  mov	x0, x19
0xfffffff0090c03f8: bf4301d1  sub	sp, x29, #0x50
0xfffffff0090c03fc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090c0400: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090c0404: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090c0408: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0090c040c: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0090c0410: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0090c0414: ff0f5fd6  retab	
0xfffffff0090c0418: ffc300d1  sub	sp, sp, #0x30
0xfffffff0090c041c: e8ce8052  mov	w8, #0x677
0xfffffff0090c0420: 291dfff0  adrp	x9, #0xfffffff007467000
0xfffffff0090c0424: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c0428: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090c042c: c81cffb0  adrp	x8, #0xfffffff007459000
0xfffffff0090c0430: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c0434: 4a1dff90  adrp	x10, #0xfffffff007468000
0xfffffff0090c0438: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090c043c: 1e000014  b	#0xfffffff0090c04b4
0xfffffff0090c0440: ffc300d1  sub	sp, sp, #0x30
0xfffffff0090c0444: 08cf8052  mov	w8, #0x678
0xfffffff0090c0448: 291dfff0  adrp	x9, #0xfffffff007467000
