; Candidate 9189
; ADRP+ADD at VM 0xfffffff008a09c84 (fileoff 0x1a05c84): page=0x1fe890000 add_imm=0xe40

0xfffffff008a09c04: f45701a9  stp	x20, x21, [sp, #0x10]
0xfffffff008a09c08: 8844ffb0  adrp	x8, #0xfffffff00729a000
0xfffffff008a09c0c: 08793891  add	x8, x8, #0xe1e
0xfffffff008a09c10: f90700f9  str	x25, [sp, #8]
0xfffffff008a09c14: 79000014  b	#0xfffffff008a09df8
0xfffffff008a09c18: fa0300aa  mov	x26, x0
0xfffffff008a09c1c: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a09c20: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a09c24: e00313aa  mov	x0, x19
0xfffffff008a09c28: 010080d2  mov	x1, #0
0xfffffff008a09c2c: f10308aa  mov	x17, x8
0xfffffff008a09c30: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a09c34: 31093fd7  blraa	x9, x17
0xfffffff008a09c38: 700240f9  ldr	x16, [x19]
0xfffffff008a09c3c: f10313aa  mov	x17, x19
0xfffffff008a09c40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a09c44: 301ac1da  autda	x16, x17
0xfffffff008a09c48: 113d80d2  mov	x17, #0x1e8
0xfffffff008a09c4c: 1002118b  add	x16, x16, x17
0xfffffff008a09c50: 080240f9  ldr	x8, [x16]
0xfffffff008a09c54: e90310aa  mov	x9, x16
0xfffffff008a09c58: e00313aa  mov	x0, x19
0xfffffff008a09c5c: 010080d2  mov	x1, #0
0xfffffff008a09c60: f10309aa  mov	x17, x9
0xfffffff008a09c64: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a09c68: 11093fd7  blraa	x8, x17
0xfffffff008a09c6c: f7eb02a9  stp	x23, x26, [sp, #0x28]
0xfffffff008a09c70: f5db01a9  stp	x21, x22, [sp, #0x18]
0xfffffff008a09c74: 9844ffb0  adrp	x24, #0xfffffff00729a000
0xfffffff008a09c78: 185b3691  add	x24, x24, #0xd96
0xfffffff008a09c7c: f8d300a9  stp	x24, x20, [sp, #8]
0xfffffff008a09c80: e00300f9  str	x0, [sp]
0xfffffff008a09c84: 8044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a09c88: 00003991  add	x0, x0, #0xe40
0xfffffff008a09c8c: 0182ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a09c90: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a09c94: a344ffb0  adrp	x3, #0xfffffff00729e000
0xfffffff008a09c98: 63e43691  add	x3, x3, #0xdb9
0xfffffff008a09c9c: 02028052  mov	w2, #0x10
0xfffffff008a09ca0: 24a5e497  bl	#0xfffffff008333130
0xfffffff008a09ca4: 700240f9  ldr	x16, [x19]
0xfffffff008a09ca8: f10313aa  mov	x17, x19
0xfffffff008a09cac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a09cb0: 301ac1da  autda	x16, x17
0xfffffff008a09cb4: f10310aa  mov	x17, x16
0xfffffff008a09cb8: f147c1da  xpacd	x17
0xfffffff008a09cbc: 1f0211eb  cmp	x16, x17
0xfffffff008a09cc0: 40000054  b.eq	#0xfffffff008a09cc8
0xfffffff008a09cc4: 408e38d4  brk	#0xc472
0xfffffff008a09cc8: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a09ccc: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a09cd0: e00313aa  mov	x0, x19
0xfffffff008a09cd4: 010080d2  mov	x1, #0
0xfffffff008a09cd8: f10308aa  mov	x17, x8
0xfffffff008a09cdc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a09ce0: 31093fd7  blraa	x9, x17
0xfffffff008a09ce4: f7eb02a9  stp	x23, x26, [sp, #0x28]
0xfffffff008a09ce8: f5db01a9  stp	x21, x22, [sp, #0x18]
0xfffffff008a09cec: f40b00f9  str	x20, [sp, #0x10]
0xfffffff008a09cf0: 8844ffb0  adrp	x8, #0xfffffff00729a000
0xfffffff008a09cf4: 08993691  add	x8, x8, #0xda6
0xfffffff008a09cf8: 3f000014  b	#0xfffffff008a09df4
0xfffffff008a09cfc: fa0300aa  mov	x26, x0
0xfffffff008a09d00: 700240f9  ldr	x16, [x19]
